name,restaurant_address,subzone_name,website,serves_veg_flag,pure_veg_flag,temp_closed_flag,is_seating_available,lat,phone,cuisine_mexican,cuisine_fusion,cuisine_sandwich,cuisine_bakery,cuisine_burger,cuisine_canadian,cuisine_vegetarian,cuisine_bar_food,cuisine_tapas,cuisine_american,cuisine_bbq,cuisine_southern,cuisine_desserts,cuisine_seafood,cuisine_cafe,cuisine_italian,cuisine_pizza,cuisine_diner,cuisine_french,cuisine_steak,cuisine_asian,cuisine_international,cuisine_ice_cream,cuisine_middle_eastern,cuisine_indian,cuisine_european,cuisine_thai,cuisine_greek,cuisine_sushi,cuisine_korean,cuisine_mediterranean,cuisine_malaysian,cuisine_german,cuisine_dim_sum,cuisine_japanese,cuisine_chinese,cuisine_healthy_food,cuisine_juices,cuisine_grill,cuisine_sri_lankan,cuisine_spanish,cuisine_latin_american,cuisine_north_indian,cuisine_turkish,cuisine_breakfast,cuisine_fast_food,cuisine_vietnamese,cuisine_tex-mex,cuisine_cantonese,cuisine_sichuan,cuisine_ramen,cuisine_ethiopian,cuisine_scottish,cuisine_irish,cuisine_african,cuisine_asian_fusion,cuisine_fish_and chips,cuisine_portuguese,cuisine_iranian,cuisine_south_indian,cuisine_lebanese,cuisine_hong_kong style,cuisine_tea,cuisine_afghan,cuisine_moroccan,cuisine_caribbean,cuisine_salvadorean,cuisine_british,cuisine_arabian,cuisine_swedish,cuisine_pakistani,cuisine_beverages,cuisine_eastern_european,cuisine_bubble_tea,cuisine_cajun,cuisine_taiwanese,cuisine_deli,cuisine_jamaican,cuisine_donuts,cuisine_coffee_and tea,cuisine_drinks_only,cuisine_somali,cuisine_filipino,cuisine_frozen_yogurt,cuisine_pub_food,cuisine_kebab,cuisine_syrian,cuisine_northern_chinese,cuisine_salad,cuisine_polish,cuisine_burmese,cuisine_teriyaki,cuisine_russian,cuisine_cuban
Union Local 613,"315 Somerset Street West, Ottawa K2P 0J8",Centretown,http://union613.ca/,0,0,0,TRUE,45.4161905000,+1 (613) 231-1010,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whalesbone Oyster House,"430 Bank Street, Ottawa K2P 1Y8",Centretown,http://www.thewhalesbone.com/,0,0,0,TRUE,45.4122430000,+1 (613) 231-8569,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Scone Witch,"150 Elgin Street, Ottawa K2P 1L4",Centretown,http://sconewitch.ca/,0,0,0,TRUE,45.4200638889,+1 (613) 232-2173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Bottega Nicastro,"64 George Street, Ottawa K1N 5V9",ByWard Market,http://www.labottega.ca/,0,0,0,TRUE,45.4269640000,+1 (613) 789-7575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker Street Cafe,"385 Richmond Road, Ottawa K2A 0E7",Westboro,NA,0,0,0,TRUE,45.3912388889,+1 (613) 761-7171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Works,"580 Bank Street, Ottawa K1S 3T3",The Glebe,http://www.worksburger.com/,0,0,0,TRUE,45.4079277778,+1 (613) 235-0406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beckta,"150 Elgin Street, Ottawa K2P 1L4",Centretown,http://www.beckta.com,0,0,0,TRUE,45.4204166667,+1 (613) 238-7063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoneface Dolly's,"416 Preston Street, Ottawa K1S 4M9",Little Italy,NA,0,0,0,TRUE,45.4007050000,+1 (613) 564-2222,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kettleman's,"912 Bank Street, Ottawa K1S 3W4",The Glebe,http://www.kettlemansbagels.ca/,0,0,0,TRUE,45.4000194444,+1 (613) 567-7100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elgin Street Diner,"374 Elgin Street, Ottawa K2P 1M9",Centretown,NA,0,0,0,TRUE,45.4149680000,+1 (613) 237-9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atelier,"540 Rochester Street, Ottawa K1A 0E4",Little Italy,http://www.atelierrestaurant.ca/,0,0,0,TRUE,45.3995580000,+1 (613) 321-3537,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply and Demand,"1335 Wellington Street West, Ottawa K1Y 3B7",Wellington West,http://www.supplyanddemandfoods.ca/,0,0,0,TRUE,45.3986361111,+1 (613) 680-2949,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vittoria Trattoria,"35 William Street, Ottawa K1N 6Z9",ByWard Market,http://www.vittoriatrattoria.com/,0,0,0,TRUE,45.4279638889,+1 (613) 789-8959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corazón De Maíz,"55 ByWard Market Square, Ottawa K1N 1K1",ByWard Market,http://www.corazondemaizottawa.com/,0,0,0,TRUE,45.4270457000,+1 (613) 244-1661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absinthe,"1208 Wellington Street West, Ottawa K1Y 2Z8",Wellington West,http://www.absinthecafe.ca/,0,0,0,TRUE,45.4002222222,+1 (613) 761-1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidedoor,"18 York Street, Unit B, Ottawa K1N 5T5",ByWard Market,http://www.sidedoorrestaurant.com/,0,0,0,TRUE,45.4271916667,+1 (613) 562-9331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Albion Rooms,"Hotel Novotel Ottawa, 33 Nicholas Street, Ottawa K1N 9M7",ByWard Market,http://www.thealbionrooms.com/,0,0,0,TRUE,45.4258915000,+1 (613) 760-4771,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stella Luna Gelato Café,"1103 Bank Street, Ottawa K1S 3X4",Old Ottawa South,http://www.slgelato.com/,0,0,0,TRUE,45.3938666667,+1 (613) 523-1116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petit Bill's Bistro,"1293 Wellington Street, Ottawa K1Y 3A8",Wellington West,http://www.petitbillsbistro.com/,0,0,0,TRUE,45.3990472222,+1 (613) 729-2500,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gezellig,"337 Richmond Road, Ottawa K2A 0E7",Westboro,NA,0,0,0,TRUE,45.3921583333,+1 (613) 680-9086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Oat,"817 Bank Street, Ottawa K1S 3V7",The Glebe,NA,0,0,0,TRUE,45.4025083333,+1 (613) 232-6232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh So Good!,"25 York Street, Ottawa K1N 9J6",ByWard Market,http://www.ohsogooddesserts.com/,0,0,0,TRUE,45.4278760000,+1 (613) 241-8028,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessy Willems,"1082 Wellington Street, Ottawa K1Y 2Y4",Wellington West,http://www.twpizza.com/,0,0,0,TRUE,45.4032972222,+1 (613) 722-0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two Six {Ate},"268 Preston Street, Ottawa K1R 7R3",Little Italy,http://www.twosixate.com/,0,0,0,TRUE,45.4041958000,+1 (613) 695-8200,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawarma Palace,"464 Rideau Street, Ottawa K1N 5Z4",Lower Town,NA,0,0,0,TRUE,45.4309100000,+1 (613) 789-9533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coconut Lagoon,"853 St. Laurent Boulevard, Ottawa K1K 3B1",Vanier,http://www.coconutlagoon.ca/,0,0,0,TRUE,45.4331583333,+1 (613) 742-4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Town,"296 Elgin Street, Ottawa K2P 1M3",Centretown,http://townlovesyou.ca/,0,0,0,TRUE,45.4166339000,+1 (613) 695-8696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zak's Diner,"14 ByWard Market Square, Ottawa K1N 5M4",ByWard Market,http://www.zaksdiner.com/,0,0,0,TRUE,45.4283100000,+1 (613) 241-2401,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cheshire Cat,"2193 Richardson Side Road, Carp K0A 1L0",Carp,http://www.cheshirecatpub.com/,0,0,0,TRUE,45.2936638889,+1 (613) 831-2183,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pub Italia,"434 Preston Street, Ottawa K1S 4N4",Little Italy,http://www.pubitalia.ca/,0,0,0,TRUE,45.3996130000,+1 (613) 232-2326,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill Street Brew Pub,"555 Wellington Street, Ottawa K1R 1C5",Centretown West,http://ottawa.millstreetbrewpub.ca/,0,0,0,TRUE,45.4195416667,+1 (613) 567-2337,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Green Door,"198 Main Street, Ottawa K1S 1C6",Old Ottawa East,https://ethicaltree.com/listings/ottawa/green-door-vegetarian-restaurant,0,0,0,TRUE,45.4083583333,+1 (613) 234-9597,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fauna,"425 Bank Street, Ottawa K2P 1Y7",Centretown,http://www.faunaottawa.ca/,0,0,0,TRUE,45.4123916667,+1 (613) 563-2862,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colonnade Pizza,"280 Metcalfe Street, Ottawa K2P 1R6",Centretown,http://www.colonnadepizza.com/,0,0,0,TRUE,45.4159760000,+1 (613) 237-3179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
