name,address,phone,lat,lng,category2,category3,dataset,chain,nems_code,Nbhd,update_date
36 Pho Viet Cuisine,"1600 Merivale Road, Ottawa K2G 3K3",+1 (613) 228-6786,45.349475,-75.7333916667,restaurant,regular,new,0,0,Cityview - Crestview - Meadowlands,2021-11-11
73 NORTH RESTAURANT & LOUNGE,73 SPARKS STREET,NA,45.42356873,-75.69667053,restaurant,regular,old,0,0,Centretown,2018-07-06
A & R Breakfast & Lunch Cafe,"Fuller Building, 75 Albert Street, Lower Level, Ottawa K1P 5E7",+1 (613) 695-6100,45.422202,-75.695296,restaurant,regular,new,0,0,Centretown,2021-11-11
A&W,"1017, Chemin de Masson, Gatineau, QC, J8M 1R4",NA,45.55848,-75.41951,fast food,regular,new,1,0,(None),2021-11-11
A&W,"1100, boulevard Maloney Ouest, (Foire alimentaire), Gatineau, QC, J8T 6G3",NA,45.47632,-75.697962,fast food,regular,new,1,0,(None),2021-11-11
A&W,"1454 Merivale Road, Ottawa, ON, K2E 5P1",NA,45.362571,-75.733921,fast food,regular,new,1,0,Skyline - Fisher Heights,2021-11-11
A&W,"1510, boulevard Greber, Gatineau, QC, J8R 0E1",NA,45.503424,-75.678106,fast food,regular,new,1,0,(None),2021-11-11
A&W,"155 Queen St, Ottawa, ON, K1A 1K2",NA,45.421533,-75.699217,fast food,regular,new,1,0,Centretown,2021-11-11
A&W,"245 Daniel Street South, Arnprior, ON, K7S 3K5",NA,45.42567,-76.36458,fast food,regular,new,1,0,(None),2021-11-11
A&W,"30 Highbury Park Drive, Greenbank & Highbury, Barrhaven, ON, K2J 6K8",NA,45.277,-75.75022,fast food,regular,new,1,0,Old Barrhaven East,2021-11-11
A&W,300 EAGLESON ROAD,NA,45.30237579,-75.87768555,fast food,regular,old,1,236,Glen Cairn - Kanata South Business Park,2018-06-28
A&W,"305 Colonade Drive, RR 3, Kemptville, ON, K0G 1J0",NA,45.029296,-75.632465,fast food,regular,new,1,0,(None),2021-11-11
A&W,"320, boulevard St-Joseph, (Foire alimentaire), Gatineau, QC, J8Y 3Y8",NA,45.441955,-75.73192,fast food,regular,new,1,0,(None),2021-11-11
A&W,"395, montée Paiement, Petro Canada, Gatineau, QC, J8P 6M7",NA,45.490099,-75.676293,fast food,regular,new,1,0,(None),2021-11-11
A&W,"479 Chemin Vanier, Gatineau, QC, J9J 1Z4",NA,45.41775,-75.80899,fast food,regular,new,1,0,(None),2021-11-11
A&W,"506 McNeely Avenue, Carleton Place, ON, K7C 0A7",NA,45.131587,-76.120138,fast food,regular,new,1,0,(None),2021-11-11
A&W,"6045 Bank Street, Greely, ON, K4P 0G5",NA,45.264158,-75.555914,fast food,regular,new,1,0,Greely,2021-11-11
A&W,"635 Principale Street, Casselman, ON, K0A 1M0",NA,45.30689,-75.08214,fast food,regular,new,1,0,(None),2021-11-11
A&W,"7 - 2016 Ogilvie Road, Ottawa, ON, K1J 6M6",NA,45.43392,-75.612465,fast food,regular,new,1,0,Carson Grove - Carson Meadows,2021-11-11
Absolute Comedy,"412 Preston Street, Ottawa, ON, Canada",NA,45.40078,-75.70972,nightlife,nightlife,old,0,0,West Centretown,2018-07-06
Ad Mare,"150 Slater Street, Ottawa, ON K1P 5M8",NA,45.4201613,-75.6974389,restaurant,regular,old,0,0,Centretown,2018-07-10
Adam's Sausages,"1437 Michael Street, Ottawa K1B 3R3",+1 (613) 749-3336,45.415925,-75.6284166667,restaurant,regular,new,0,0,East Industrial,2021-11-11
AGAVE GRILL,1331 WELLINGTON STREET WEST,NA,45.39870834,-75.73705292,restaurant,regular,old,0,0,Island Park - Wellington Village,2018-07-06
Agop's Bakery,"304 McArthur Avenue, Ottawa K1L 6P2",+1 (613) 744-6000,45.4316333333,-75.6556861111,restaurant,regular,new,0,0,Overbrook - McArthur,2021-11-11
AL-OUMARA MEAT SHOP,25 TAPIOLA CRESCENT,NA,45.36384583,-75.64667511,fast food,regular,old,0,453,South Keys - Greenboro West,2018-07-06
Al Noor Bakery,"70 Wylie Avenue, Ottawa K2B 6M4",+1 (613) 829-2253,45.354675,-75.8066777778,restaurant,regular,new,0,0,Bayshore - Belltown,2021-11-11
Aladdin,"1020 St. Laurent Boulevard, Ottawa K1K 4S1",+1 (613) 742-4244,45.4278972222,-75.63955,restaurant,regular,new,0,0,Overbrook - McArthur,2021-11-11
Aladdin Convenience & Bakery,"1801 Carling Avenue, Ottawa K2A 1C9",+1 (613) 728-5331,45.3773416667,-75.7548833333,restaurant,regular,new,0,0,Laurentian,2021-11-11
Aladdin Pizza,"272 Montreal Road, Ottawa K1L 6C3",+1 (613) 746-8888,45.4366916667,-75.65995,restaurant,regular,new,0,0,Vanier South,2021-11-11
ALADDIN PIZZERIA,274 MONTREAL ROAD,NA,45.4366188,-75.65998077,fast food,regular,old,0,393,Vanier South,2018-07-06
Alex's Food Truck,"1890 Innes Road, Ottawa, ON K1B 3K5",NA,45.4173555556,-75.5996388889,restaurant,regular,new,0,0,Greenbelt,2021-11-11
Alhuda Restaurant,"380 Terminal Avenue, Ottawa K1G 0Z3",+1 (613) 859-6840,45.414057,-75.65423,restaurant,regular,new,0,0,East Industrial,2021-11-11
ALIMENTS RINAG FOODS INC.,88 JAMIE AVENUE,NA,45.33623505,-75.71559906,restaurant,regular,old,0,0,Hunt Club South Industrial,2018-07-06
All Seasons,"1460 Cyrville Road, Ottawa K1B 3L9",+1 (613) 749-6687,45.4201611111,-75.6192333333,restaurant,regular,new,0,0,East Industrial,2021-11-11
ALLIUM,87 HOLLAND AVENUE,NA,45.40077591,-75.73246002,restaurant,regular,old,0,0,Hintonburg - Mechanicsville,2018-07-06
Allô! Mon Coco,"2277 Riverside Drive, Ottawa, ON K1H 7X6",NA,45.3855413,-75.6774625,restaurant,regular,old,0,0,Billings Bridge - Alta Vista,2018-07-10
Almonte Pizzeria & Shawarma,"27 Bridge Street, Mississippi Mills K0A 1A0",+1 (613) 461-6161,45.225798,-76.193854,restaurant,regular,new,0,0,(None),2021-11-11
Amazon cafe Gelato & Crepes,"4100 Strandherd Drive, Ottawa, ON K2J 0V2",NA,45.2603845,-75.7684158,fast food,regular,old,0,0,Old Barrhaven East,2018-07-26
Amberwood Lounge & Eatery,"54 Springbrook Drive, Stittsville, ON K2S 1B9",NA,45.2712729,-75.9237165,restaurant,regular,old,0,0,Stittsville,2018-07-26
American Grille,"2400 Alert Road, Ottawa, ON K1V 0R4",NA,45.3279915,-75.6521822,restaurant,nightlife,old,0,0,Hunt Club - Ottawa Airport,2018-07-10
Amici Caffe,"226 Preston Street, Ottawa K1R 7R2",+1 (613) 233-9666,45.4053166667,-75.7124638889,restaurant,regular,new,0,0,West Centretown,2021-11-11
AMICI CAFFE,226-1 PRESTON STREET,NA,45.405357359999996,-75.71256256,restaurant,regular,old,0,0,West Centretown,2018-07-06
AMORE SICILIAN GRILL LTEE.,4100 ALBION ROAD,NA,45.31702423,-75.62229156,restaurant,regular,old,0,0,Findlay Creek,2018-07-06
ANDY-CAN CAFETERIA,1111 PRINCE OF WALES DRIVE,NA,45.37615204,-75.70623779,fast food,regular,old,0,255,Civic Hospital-Central Park,2018-07-06
ANGELO'S,303 ST PATRICK STREET,NA,45.4316597,-75.69130707,restaurant,regular,old,0,0,Byward Market,2018-07-06
Angelo's Pizza House,"303 Saint Patrick Street, Ottawa K1N 5K4",+1 (613) 241-4444,45.4316588,-75.6913001,restaurant,regular,new,0,0,Byward Market,2021-11-11
Anthony’s Pizza,"753 Bank Street, Ottawa, ON K1S 3V3",NA,45.4041714,-75.6887442,restaurant,regular,old,0,0,Glebe - Dows Lake,2018-07-10
Antipazzo Italian Plates and Wine,"1091 Bank Street, Ottawa K1S 0R8",+1 (613) 730-5672,45.3941559,-75.6833199,restaurant,regular,new,0,0,Old Ottawa South,2021-11-11
Aperitivo,"655 Kanata Avenue, Unit L2, Ottawa K2T 1H6",+1 (613) 592-0004,45.3100277778,-75.9096972222,restaurant,regular,new,0,0,Kanata Lakes - Arcardia,2021-11-11
Arby's,"474 Hazledean Road, Ottawa K2L 4E5",+1 (613) 831-3030,45.2973027778,-75.8888388889,restaurant,regular,new,0,0,Glen Cairn - Kanata South Business Park,2021-11-11
ARBYS,474 HAZELDEAN ROAD,NA,45.29732895,-75.88865662,fast food,regular,old,0,50,Glen Cairn - Kanata South Business Park,2018-07-06
ARC LOUNGE,140-1 SLATER STREET,NA,45.42086411,-75.69636536,restaurant,regular,old,0,0,Centretown,2018-07-06
ARC Lounge,"Arc The Hotel, 140 Slater Street, Ottawa K1P 5H6",+1 (613) 238-9998,45.4205972222,-75.6971138889,restaurant,regular,new,0,0,Centretown,2021-11-11
Ariey,"419 McArthur Avenue, Ottawa K1K 1G5",+1 (613) 695-5594,45.432454,-75.647651,restaurant,regular,new,0,0,Vanier South,2021-11-11
Armada Lounge,"23 York St, Ottawa, ON K1N 5S7",NA,45.4281421,-75.6945443,restaurant,nightlife,old,0,0,Byward Market,2018-06-01
Aroma Espresso Bar,Unit 109 — 200 Marché Way K1S 3W7,+1 (613) 223-4747,45.400391,-75.683628,restaurant,regular,new,0,0,Glebe - Dows Lake,2021-11-11
Art Haven,"200 Kennevale Drive, Ottawa, ON K2J 6B6",NA,45.2653836,-75.7769071,fast food,regular,old,0,0,Old Barrhaven West,2018-07-26
ARTA CAFE,425 MCARTHUR ROAD,NA,45.43246841,-75.64689636,fast food,regular,old,0,59,Vanier South,2018-07-06
ARUM RESTAURANT,512 BANK ST,NA,45.40995026,-75.69242096,restaurant,regular,old,0,0,Centretown,2018-07-06
ARZ,"St. Laurent Shopping Centre, 1200 St. Laurent Boulevard, Ottawa K1K 3B8",+1 (613) 746-1015,45.422178099999996,-75.6378913,restaurant,regular,new,0,0,Overbrook - McArthur,2021-11-11
ARZ FINE LEBANESE CUISINE,305-1200 ST LAURENT BOULEVARD,NA,45.42279053,-75.63780212,fast food,regular,old,0,147,Overbrook - McArthur,2018-07-06
ASIA WOK,2026 TENTH LINE ROAD,NA,45.45868683,-75.48806,fast food,regular,old,0,190,Portobello South,2018-07-06
Asian Alley,"8 Byward Market Square, Ottawa, ON K1N 7A1",NA,45.4285258,-75.6936866,restaurant,regular,old,0,0,Byward Market,2018-07-10
Asian Bistro‎,"646 Principale Street, Casselman K0A 1M0",+1 (613) 764-2999,45.3081805556,-75.0829,restaurant,regular,new,0,0,(None),2021-11-11
ASIAN GOURMET,208-111 ALBERT STREET,NA,45.42166901,-75.69737244,fast food,regular,old,0,464,Centretown,2018-06-28
ATHEN'S GRILL,2150 ROBERTSON ROAD,NA,45.32017136,-75.83689117,restaurant,regular,old,0,0,Bells Corners West,2018-07-06
Athens Grill,"150 Robertson Road, Ottawa K2H 8R2",+1 (613) 288-0134,45.3193027778,-75.8365472222,restaurant,regular,new,0,0,Bells Corners West,2021-11-11
Aulde Dubliner & Pour House,"62 William Street, Ottawa K1N 7A3",+1 (613) 241-0066,45.427027,-75.691808,restaurant,regular,new,0,0,Byward Market,2021-11-11
Authentic Vietnamese Pho House,"Greenbank Hunt Club Centre, 250 Greenbank Road, Ottawa K2H 1E9",+1 (613) 695-8388,45.3252666667,-75.7795416667,restaurant,regular,new,0,0,Trend-Arlington,2021-11-11
AUTHENTIC VIETNAMESE PHO HOUSE,250-2A GREENBANK ROAD,NA,45.32448196,-75.78009033,restaurant,regular,old,0,0,Trend-Arlington,2018-07-06
Avant-Garde Bar,"135 1/2 Besserer Street, Ottawa K1N 6A7",+1 (613) 321-8908,45.426649,-75.688948,restaurant,regular,new,0,0,Sandy Hill,2021-11-11
Avant Garde Bar And Gift Store,"135 Besserer Street, Ottawa, ON K1N 6A7, Canada",NA,45.426756,-75.688542,restaurant,nightlife,old,0,0,Sandy Hill,2018-06-01
B Cafe,"525 Legget Drive, Kanata, ON K2K 2W2",NA,45.3482179,-75.9182498,fast food,regular,old,0,0,Brookside - Briarbrook - Morgan's Grant,2018-07-26
Bab el Hara Cafe,"1818 Bank Street, Ottawa K1V 7Y6",+1 (343) 700-1442,45.3714435,-75.6641326,restaurant,regular,new,0,0,Billings Bridge - Alta Vista,2021-11-11
Bab El Hara Cafe and Shawarma,"257 McArthur Avenue, Ottawa K1L 6P3",+1 (613) 695-8955,45.4317,-75.658334,restaurant,regular,new,0,0,Vanier South,2021-11-11
Babbo's Cucina,"1160 Beaverwood Road, Ottawa K4M 1L6",+1 (613) 692-6100,45.2238388889,-75.6847833333,restaurant,regular,new,0,0,Manotick,2021-11-11
Babi’s Restaurant,"21 Nadolny Sachs Private, Ottawa, ON K2A 1R9",NA,45.3759104,-75.7517995,restaurant,regular,old,0,0,Carlingwood West - Glabar Park - McKellar Heights,2018-07-10
Babylon Cafe,"270 Albert Street, Floor B1, Ottawa K1P 5G8",+1 (613) 565-2233,45.419416,-75.701338,restaurant,regular,new,0,0,Centretown,2021-11-11
Bac à Frites,"University of Ottawa, 56 University Private, Ottawa K1N 6N5",+1 (613) 234-5454,45.423698,-75.684706,restaurant,regular,new,0,0,Sandy Hill,2021-11-11
BACKDROP,160 METCALFE STREET,NA,45.41939926,-75.69456482,restaurant,regular,old,0,0,Centretown,2018-07-06
Bagan Indian Food,"1980 Ogilvie Road, Gloucester K1J 9L3",+1 (613) 695-9220,45.4320111111,-75.6098333333,restaurant,regular,new,0,0,Carson Grove - Carson Meadows,2021-11-11
BAGEL BAGEL,1616 MICHAEL STREET,NA,45.40927505,-75.62559509,fast food,regular,old,0,405,East Industrial,2018-07-06
BAGEL RUN,3-2026 TENTH LINE ROAD,NA,45.45855331,-75.48799133,fast food,regular,old,0,328,Portobello South,2018-07-06
Baker's,"Carleton University, University Centre, 1125 Colonel By Drive, Fourth Floor, Ottawa K1S 5B6",+1 (613) 520-5635,45.3836222222,-75.69725,restaurant,regular,new,0,0,Carleton University,2021-11-11
Baker Bob's,"74 Little Bridge Street, Mississippi Mills K0A 1A0",+1 (613) 256-7674,45.225589,-76.195465,restaurant,regular,new,0,0,(None),2021-11-11
BALTYK DELICATESSEN,935 CARLING ROAD,NA,45.395504,-75.71327972,fast food,regular,old,0,256,West Centretown,2018-07-06
BAMBU RESTAURANT,3993 RIVERSIDE DRIVE,NA,45.33287048,-75.69261169,restaurant,regular,old,0,0,Hunt Club - Ottawa Airport,2018-07-06
Bambú Restaurant,"3993 Riverside Drive, Ottawa K1V 1E5",+1 (613) 738-8800,45.3329111111,-75.6927111111,restaurant,regular,new,0,0,Hunt Club - Ottawa Airport,2021-11-11
BANH MI MY HANG VIETNAMESE SUBMARINE & FAST FOOD,788A SOMERSET STREET WEST,NA,45.40969849,-75.70996857,fast food,regular,old,0,197,West Centretown,2018-07-06
Bap By Raon Kitchen,"124 Bank Street, Ottawa, ON K1P 6E5",NA,45.4193147,-75.7004497,restaurant,nightlife,old,0,0,Centretown,2018-07-10
Bar Acuda,"Mooney's Bay Beach, 2926 Riverside Drive, Ottawa K1V 8W6",+1 (613) 247-4883,45.367959,-75.690762,restaurant,regular,new,0,0,Riverside Park,2021-11-11
Bar Burrito South Nepean,"280 West Hunt Club Road, Unit 3, Ottawa",+1 (613) 225-8777,45.339527,-75.712035,restaurant,regular,new,0,0,Hunt Club South Industrial,2021-11-11
Bar Lupulus,"1242 Wellington St W, Ottawa, ON K1Y 3A4",NA,45.3994489,-75.7322566,restaurant,nightlife,old,0,0,Island Park - Wellington Village,2018-06-01
Barbarella's,"340 Queen, Ottawa, ON K1R 5A5, Canada",NA,45.418528,-75.705315,restaurant,nightlife,old,0,0,Centretown,2018-06-01
BARBURRITO,100 BAYSHORE DRIVE,NA,45.34756088,-75.80564117,fast food,regular,old,0,24,Bayshore - Belltown,2018-07-06
BarBurrito,"280 West Hunt Club Road, Unit 2-3, Ottawa K2E 1A5",+1 (613) 241-1234,45.339524,-75.712045,restaurant,regular,new,0,0,Hunt Club South Industrial,2021-11-11
BarBurrito - Hunt Club,"280 W Hunt Club Rd, Ottawa, ON K2E 1A5",NA,45.3395459,-75.711934,fast food,regular,old,0,0,Hunt Club South Industrial,2018-07-26
Barefax,"27 York Street, Ottawa, ON K1N 9J6, Canada",NA,45.427874,-75.694013,restaurant,nightlife,old,0,0,Byward Market,2018-06-01
BARLEY MOW,"1060 Bank Street, Ottawa, ON K1S 3W9",NA,45.349146,-75.924883,restaurant,nightlife,old,1,0,Brookside - Briarbrook - Morgan's Grant,2018-06-01
BARLEY MOW,"1160 Carp Road, Stittsville, ON K2S 0T2",NA,45.2683062,-75.9403861,restaurant,nightlife,old,1,0,Stittsville,2018-06-01
BARLEY MOW,"1481 Greenbank Road, Ottawa, ON K2J 4Y6",NA,45.2740604,-75.7479788,restaurant,nightlife,old,1,0,Old Barrhaven East,2018-06-01
BARLEY MOW,"1541 Merivale Rd, Ottawa ON, K2G 5W1",NA,45.3557643,-75.7349647,restaurant,nightlife,old,1,0,Skyline - Fisher Heights,2018-06-01
BARLEY MOW,"2034 Tenth Line Road, Ottawa, ON K4A 4X4",NA,45.4584282,-75.4868796,restaurant,nightlife,old,1,0,Portobello South,2018-06-01
BARLEY MOW,"399 Richmond Road, Ottawa, ON K2A 0E9",NA,45.3911465,-75.7565668,restaurant,nightlife,old,1,0,Westboro,2018-06-01
BARLEY MOW,"700 March Road, Kanata, ON K2K 2R9",NA,45.3501933,-75.9245944,restaurant,nightlife,old,1,0,Brookside - Briarbrook - Morgan's Grant,2018-06-01
Barney's Pizza & Sub,"2843 Dumaurier Avenue, Ottawa K2B 7W3",+1 (613) 596-6666,45.350575,-75.7935194444,restaurant,regular,new,0,0,Whitehaven - Queensway Terrace North,2021-11-11
BARNEYS PIZZA & CONVENIENCE,2843 DUMAURIER AVENUE,NA,45.35053635,-75.79363251,fast food,regular,old,0,254,Whitehaven - Queensway Terrace North,2018-07-06
Barrymore`s Music Hall,"323 Bank Street, Ottawa, ON K2P 1X9, Canada",NA,45.414567,-75.695615,nightlife,nightlife,old,0,0,Centretown,2018-07-06
Baskin Robbins,"200 Earl Grey Drive, Ottawa K2T 1K4",+1 (613) 592-3535,45.3118583333,-75.9155194444,restaurant,regular,new,0,0,Kanata Lakes - Arcardia,2021-11-11
Basmati,"373 Somerset Street West, Ottawa K2P 0K1",+1 (613) 233-0303,45.4150873,-75.6970347,restaurant,regular,new,0,0,Centretown,2021-11-11
BASSLINE STATION PUB & EATERY,2557 BASELINE ROAD,NA,45.34171677,-75.78699493,restaurant,nightlife,old,0,0,Iris - Queensway Terrance South,2018-07-06
BATON ROUGE STEAKHOUSE & BAR,"270 W Hunt Club Rd, Ottawa, ON K2E 0B7",NA,45.3395091,-75.7118605,restaurant,regular,old,1,0,Hunt Club South Industrial,2018-07-13
BATON ROUGE STEAKHOUSE & BAR,360 ALBERT STREET,NA,45.41814804,-75.70413971,restaurant,nightlife,old,1,0,Centretown,2018-07-06
BATON ROUGE STEAKHOUSE & BAR,790 EARL GREY DRIVE,NA,45.3106308,-75.90927887,restaurant,nightlife,old,1,0,Kanata Lakes - Arcardia,2018-07-06
Bâton Rouge Steakhouse & Bar,"270 W Hunt Club Road, Ottawa K2E 0B7",+1 (613) 224-2570,45.339651,-75.711135,restaurant,regular,new,1,0,Hunt Club South Industrial,2021-11-11
Bâton Rouge Steakhouse & Bar,"790 Earl Grey Drive, Unit M3, Kanata K2T 1H8",+1 (613) 591-3655,45.3104944444,-75.9092638889,restaurant,regular,new,1,0,Kanata Lakes - Arcardia,2021-11-11
Bazille,"50 Rideau St, Ottawa, ON K1N 9J7",NA,45.4251195,-75.6917194,restaurant,regular,old,1,0,Sandy Hill,2018-07-10
Bazille,500-50 Rideau Street K1N 9J7,+1 (613) 788-6110: +1 (613) 788-6110,45.4245850955,-75.6899539828,restaurant,regular,new,1,0,Sandy Hill,2021-11-11
Beach House Bistro Bar,"2926 Riverside Drive, Ottawa, ON K1V",NA,45.3679398,-75.6896572,restaurant,nightlife,old,0,0,Riverside Park,2018-07-10
Beachconers Microcreamery,"273 Britannia Road, Ottawa, ON K2B 6W7",NA,45.3656178,-75.7960952,fast food,coffee shop,old,0,0,Britannia Village,2018-07-26
BEECHWOOD GASTROPUB,18 BEECHWOOD AVENUE,NA,45.43884659,-75.67710876,restaurant,regular,old,0,0,Vanier North,2018-07-06
Bellavia Cafe,"1975 Wellington Street West, Ottawa K1Y 2X3",+1 (613) 728-2929,45.4009166667,-75.7290583333,restaurant,regular,new,0,0,Hintonburg - Mechanicsville,2021-11-11
Belmont,"1169 Bank Street, Ottawa K1S 3X7",+1 (613) 979-3663,45.3925222222,-75.6818472222,restaurant,regular,new,0,0,Old Ottawa South,2021-11-11
BENECI PIZZERIA,1105 COBDEN ROAD,NA,45.35296631,-75.77809143,fast food,regular,old,0,443,Iris - Queensway Terrance South,2018-06-28
Bent Coin,"Carleton University, Robertson Hall, 1125 Colonel By Drive, Fifth Floor, Ottawa K1S 5B6",+1 (613) 520-2600,45.3836638889,-75.694,restaurant,regular,new,0,0,Carleton University,2021-11-11
BENTO SUSHI,1200 ST LAURENT BOULEVARD,NA,45.42272568,-75.63829803,fast food,regular,old,1,431,Overbrook - McArthur,2018-06-28
BENTO SUSHI,1980 OGILVIE ROAD,NA,45.43225098,-75.60967255,fast food,regular,old,1,431,Carson Grove - Carson Meadows,2018-06-28
BENTO SUSHI,"50 Rideau St, Ottawa, ON K1N 9J7",NA,45.4251195,-75.6917194,fast food,regular,old,1,431,Sandy Hill,2018-06-28
Bento Sushi,"606 Rideau Street, Ottawa K1N 6A2",+1 (613) 562-2563,45.432768,-75.675795,restaurant,regular,new,0,0,Sandy Hill,2021-11-11
Bier Markt,"156 Sparks Street, Ottawa K1P 5C1",+1 (613) 780-7575,45.4217861111,-75.6998361111,restaurant,regular,new,0,0,Centretown,2021-11-11
Big Bone BBQ,"701 Eagleson Road, Ottawa K2M 2G1",+1 (613) 435-5453,45.287689,-75.866832,restaurant,regular,new,0,0,Bridlewood - Emerald Meadows,2021-11-11
Big Boss Burgers,1748 Laurier,+1 (613) 419-1119,45.55,-75.29,restaurant,regular,new,0,0,(None),2021-11-11
Big Mort's Little Pub,"2011 Robertson Rd, Nepean, ON K2H 7P4",NA,45.324836,-75.827418,restaurant,nightlife,old,0,0,Bells Corners East,2018-06-01
Bilal's Kabob House,"4055 Carling Avenue, Ottawa K2K 2A4",+1 (613) 270-8866,45.3384944444,-75.9075472222,restaurant,regular,new,0,0,Brookside - Briarbrook - Morgan's Grant,2021-11-11
Binh-go Fries,"85 Robertson Road, Ottawa K2H 8G3",+1 (613) 858-7456,45.321653,-75.835398,restaurant,regular,new,0,0,Bells Corners West,2021-11-11
Biryani Tikka House,"283 Queen Mary Street, Ottawa K1K 1X1",+1 (613) 422-4886,45.425199,-75.653237,restaurant,regular,new,0,0,Overbrook - McArthur,2021-11-11
Bistro 360,"360 Laurier Avenue W, Ottawa K1P 5K3",NA,45.417926,-75.699901,restaurant,regular,new,0,0,Centretown,2021-11-11
Black Thorn Café,"15 Clarence Street, Ottawa, ON K1N 5P4",NA,45.4283732,-75.695106,restaurant,regular,old,0,0,Byward Market,2018-07-10
Black Walnut Bakery,"979 Cameron Street, Ottawa, ON K4C 1A1",NA,45.5179599,-75.4106861,fast food,coffee shop,old,0,0,Cumberland,2018-07-26
Blades Bar & Grill,"Minto Skating Centre, 2571 Lancaster Road, Main Level, Ottawa K1B 4L5",+1 (613) 733-7800,45.4000388889,-75.6124583333,restaurant,regular,new,0,0,East Industrial,2021-11-11
Blue Gardenia,"222 Queen Street, Ottawa K1P 5V9",+1 (613) 232-9314,45.4205694444,-75.7012166667,restaurant,regular,new,0,0,Centretown,2021-11-11
Blue Nile,"577 Gladstone Avenue, Ottawa K1R 5P2",+1 (613) 321-0774,45.4094305556,-75.7008361111,restaurant,regular,new,1,0,Centretown,2021-11-11
Blue Nile,"707 Gladstone Avenue, Ottawa, ON K1R 6X2",NA,45.4077677,-75.7043431,restaurant,regular,old,1,0,West Centretown,2018-07-10
BLUE NILE ETHIOPIAN RESTAURANT,575 GLADSTONE AVENUE,NA,45.40939713,-75.7008667,restaurant,regular,old,0,0,Centretown,2018-07-06
