name,address,phone,lat,lng,category2,category3,dataset,Chain,Update date,NEMS Code,num_name,name_word,check,n
The Albion Rooms,"Hotel Novotel Ottawa, 33 Nicholas Street, Ottawa K1N 9M7",+1 (613) 760-4771,45.4258915,-75.689616,restaurant,nightlife,new,NA,NA,NA,33 NICHOLAS,THE,TRUE,3
The Waverley,"339 Elgin Street, Ottawa K2P 1M5",+1 (613) 627-4140,45.4156494,-75.6884339,restaurant,nightlife,new,NA,NA,NA,339 ELGIN,THE,TRUE,3
Viet-Thai,"312 Bank Street, Ottawa K2P 1X7",+1 (613) 567-9029,45.414611,-75.695846,restaurant,regular,new,NA,NA,NA,312 BANK,VIET,TRUE,3
Whispers Bar & Restaurant,"249 Richmond Road, Ottawa K1Z 6X1",+1 (613) 722-9603,45.393825,-75.75010556,Restaurant,Dine Out,new,NA,NA,NA,249 RICHMOND,WHISPERS,TRUE,3
Aahar Authentic Indian Cuisine,1573 Alta Vista Drive,+1 (613) 422-6644: +1 (613) 422-6644,45.408415,-75.658229,restaurant,regular,new,NA,NA,NA,1573 ALTA,AAHAR,TRUE,2
Aahar The Taste of India,"1573 Alta Vista Drive, Ottawa, ON K1G 0E9",NA,45.4084112,-75.6574298,restaurant,regular,old,1,20180710,NA,1573 ALTA,AAHAR,TRUE,2
AAHAR-THE TASTE OF INDIA,727 CHURCHILL AVENUE,NA,45.3812027,-75.74688721,restaurant,regular,old,0,20180706,NA,727 CHURCHILL,AAHAR,TRUE,2
Aahar The Taste Of India,727 Churchill Avenue North K1Z 5G7,+1 (613) 688-4444: +1 (613) 688-4444,45.3812,-75.74684,Restaurant,Dine Out,new,NA,NA,0,727 CHURCHILL,AAHAR,TRUE,2
Ahora,"307 Dalhousie Street, Ottawa K1N 8Y3",+1 (613) 562-2081,45.42945,-75.69144444,Restaurant,Dine Out,new,NA,NA,NA,307 DALHOUSIE,AHORA,TRUE,2
Ahora Mexican Cuisine,"307 Dalhousie Street, Ottawa, ON K1N 7E8",NA,45.4294137,-75.6914195,restaurant,regular,old,0,20180710,NA,307 DALHOUSIE,AHORA,TRUE,2
AL'S STEAK HOUSE,327 ELGIN STREET,NA,45.41603851,-75.68868256,restaurant,regular,old,0,20180706,NA,327 ELGIN,AL,TRUE,2
Al's Steakhouse,"327 Elgin Street, Ottawa K2P 1M5",+1 (613) 233-7111,45.416173,-75.688656,Restaurant,Dine Out,new,NA,NA,NA,327 ELGIN,AL,TRUE,2
Alice's Village Cafe,"3773 Carp Road, Carp K0A 1L0",+1 (613) 470-2233,45.34603056,-76.03778056,Restaurant,Dine Out,new,NA,NA,NA,3773 CARP,ALICE,TRUE,2
Alice’s Village Cafe,"3773 Carp Road, Ottawa, ON K0A 1L0",NA,45.3458412,-76.0377719,restaurant,regular,old,0,20180726,NA,3773 CARP,ALICE,TRUE,2
Alirang,"134 Nelson Street, Ottawa K1N 5Y6",+1 (613) 789-2223,45.43045,-75.685107,Restaurant,Dine Out,new,NA,NA,NA,134 NELSON,ALIRANG,TRUE,2
ALIRANG RESTAURANT,134 NELSON STREET,NA,45.43032837,-75.68482208,restaurant,regular,old,0,20180706,NA,134 NELSON,ALIRANG,TRUE,2
Alissar,"1765 St. Laurent Boulevard, Ottawa K1G 3V4",+1 (613) 249-0888,45.40465556,-75.62586111,Restaurant,Dine Out,new,NA,NA,NA,1765 ST,ALISSAR,TRUE,2
ALISSAR LEBANESE CUISINE,1765 ST LAURENT BOULEVARD,NA,45.40476608,-75.62562561,fast food,regular,old,0,20180706,108,1765 ST,ALISSAR,TRUE,2
Allegro,"422 Preston Street, Ottawa K1S 4N2",+1 (613) 235-7454,45.400292,-75.709513,Restaurant,Dine Out,new,NA,NA,NA,422 PRESTON,ALLEGRO,TRUE,2
ALLEGRO RESTAURANT,422 PRESTON STREET,NA,45.4002533,-75.70950317,restaurant,regular,old,0,20180706,NA,422 PRESTON,ALLEGRO,TRUE,2
AMAYA EXPRESS,50 RIDEAU STREET,NA,45.42472458,-75.68956757,fast food,regular,old,0,20180706,357,50 RIDEAU,AMAYA,TRUE,2
Amaya Express,"Rideau Centre, 50 Rideau Street, Ottawa K1N 9J7",+1 (613) 695-2444,45.4255824,-75.692568,Restaurant,Dine Out,new,NA,NA,NA,50 RIDEAU,AMAYA,TRUE,2
Anabia Cupcakery Café,3570 Strandherd Drive,NA,45.275208,-75.737396,Restaurant,Dine Out,new,NA,NA,NA,3570 STRANDHERD,ANABIA,TRUE,2
Anabia Cupcakes,"3570 Strandherd Drive, Ottawa, ON K2J 5L4",NA,45.2751492,-75.7375557,fast food,coffee shop,old,0,20180726,NA,3570 STRANDHERD,ANABIA,TRUE,2
Angry Dragonz Restaurant,"300 River Road, Ottawa K1V 1H2",+1 (613) 627-0013,45.3203505,-75.6928134,Restaurant,Dine Out,new,NA,NA,NA,300 RIVER,ANGRY,TRUE,2
Angry Dragonz,"300 River Road, Ottawa K1V 1H2",+1 (613) 627-0013,45.3203458,-75.6907572,Restaurant,Dine Out,new,NA,NA,0,300 RIVER,ANGRY,TRUE,2
Anna,"91 Holland Avenue, Ottawa K1Y 0Y1",+1 (613) 759-8472,45.40068333,-75.73246667,Restaurant,Dine Out,new,NA,NA,NA,91 HOLLAND,ANNA,TRUE,2
ANNA THAI,91 HOLLAND AVENUE,NA,45.40063477,-75.73232269,restaurant,regular,old,0,20180706,NA,91 HOLLAND,ANNA,TRUE,2
Anthony's,"1218 Wellington Street West, Ottawa K1Y 2Z8",+1 (613) 695-8669,45.40015278,-75.73081944,Restaurant,Dine Out,new,NA,NA,NA,1218 WELLINGTON,ANTHONY,TRUE,2
Anthony’s,"1218 Wellington Street W, Ottawa, ON K1Y 2Z7",NA,45.4000444,-75.7307508,restaurant,regular,old,0,20180710,NA,1218 WELLINGTON,ANTHONY,TRUE,2
ARIANA KABOB RESTAURANT,2677 ALTA VISTA,NA,45.37246323,-75.66225433,restaurant,regular,old,0,20180706,NA,2677 ALTA,ARIANA,TRUE,2
Ariana Restaurant,"2677 Alta Vista Drive, Ottawa K1V 7T4",+1 (613) 731-0666,45.3734558,-75.6625008,Restaurant,Dine Out,new,NA,NA,NA,2677 ALTA,ARIANA,TRUE,2
Aroma Meze,"239 Nepean Street, Ottawa K2P 0B7",+1 (613) 232-1377,45.41670278,-75.6995,Restaurant,Dine Out,new,NA,NA,NA,239 NEPEAN,AROMA,TRUE,2
AROMA SMALL PLATES & WINE,239 NEPEAN STREET,NA,45.41676712,-75.6995697,restaurant,regular,old,0,20180706,NA,239 NEPEAN,AROMA,TRUE,2
AROMA PIZZA,6004 VOYAGEUR DRIVE,NA,45.47577286,-75.54830933,fast food,regular,old,0,20180706,45,6004 VOYAGEUR,AROMA,TRUE,2
Aroma Pizzeria,"6004 Voyageur Drive, Ottawa K1C 2K1",+1 (613) 824-9400,45.47585,-75.54821667,Restaurant,Dine Out,new,NA,NA,NA,6004 VOYAGEUR,AROMA,TRUE,2
Arturo's,"49 Beechwood Avenue, Ottawa K1M 1L9",+1 (613) 321-4613,45.440678,-75.67428,Restaurant,Dine Out,new,NA,NA,NA,49 BEECHWOOD,ARTURO,TRUE,2
ARTURO'S RISTORANTE,49 BEECHWOOD AVENUE,NA,45.44012451,-75.6758728,restaurant,regular,old,0,20180706,NA,49 BEECHWOOD,ARTURO,TRUE,2
Asian Stars,"1380 Clyde Avenue, Ottawa K2G 1Y7",+1 (613) 695-2288,45.35979167,-75.73925833,Restaurant,Dine Out,new,NA,NA,NA,1380 CLYDE,ASIAN,TRUE,2
Asian Stars Restaurant,"1380 Clyde Avenue, Ottawa, ON K2G 3H9",NA,45.3596531,-75.7393448,restaurant,regular,old,0,20180710,NA,1380 CLYDE,ASIAN,TRUE,2
ASIAN GOURMET,240 SPARKS STREET,NA,45.42062378,-75.70197296,fast food,regular,old,1,20180628,464,240 SPARKS,ASIAN,TRUE,2
Asian Gourmet,"C.D. Howe Building, 240 Sparks Street, Lower Level, Ottawa K1A 0H5",+1 (613) 567-2607,45.420444,-75.702031,Restaurant,Dine Out,new,NA,NA,NA,240 SPARKS,ASIAN,TRUE,2
ASIAN CUISINE CLAYPOT,320 QUEEN STREET,NA,45.41898346,-75.70363617,fast food,regular,old,0,20180706,387,320 QUEEN,ASIAN,TRUE,2
Asian Cuisine Claypot,"Place de Ville, 320 Queen Street, Lower Level, Ottawa K1R 5A3",+1 (613) 695-9200,45.419362,-75.7046,Restaurant,Dine Out,new,NA,NA,NA,320 QUEEN,ASIAN,TRUE,2
ASIAN PALACE,3320 MCCARTHY ROAD,NA,45.35047913,-75.67110443,fast food,regular,old,0,20180706,376,3320 MCCARTHY,ASIAN,TRUE,2
Asian Palace Ottawa,"3320 McCarthy Road, Ottawa",+1 (613) 731-2828,45.351338,-75.670238,Restaurant,Dine Out,new,NA,NA,NA,3320 MCCARTHY,ASIAN,TRUE,2
Atelier,"540 Rochester Street, Ottawa K1A 0E4",+1 (613) 321-3537,45.399558,-75.706405,Restaurant,Dine Out,new,NA,NA,NA,540 ROCHESTER,ATELIER,TRUE,2
ATELIER INC.,540 ROCHESTER STREET,NA,45.39958572,-75.70648193,restaurant,regular,old,0,20180706,NA,540 ROCHESTER,ATELIER,TRUE,2
Baan Thai,"261 Centrepointe Drive, Ottawa K2G 6E8",+1 (613) 226-7604,45.33903889,-75.77158333,Restaurant,Dine Out,new,NA,NA,NA,261 CENTREPOINTE,BAAN,TRUE,2
BAAN THAI RESTAURANT,261 CENTREPOINTE DRIVE,NA,45.33906937,-75.77165985,restaurant,regular,old,0,20180706,NA,261 CENTREPOINTE,BAAN,TRUE,2
Baja Burger Shack,"100 Greenview Avenue, Ottawa, ON K2B 8J8",NA,45.364223,-75.8019676,restaurant,regular,old,0,20180710,NA,100 GREENVIEW,BAJA,TRUE,2
Baja Burger Shack,"Britannia Beach, 100 Greenview Avenue, Ottawa K2B 8J8",+1 (613) 614-2233,45.36437222,-75.801675,Restaurant,Dine Out,new,NA,NA,NA,100 GREENVIEW,BAJA,TRUE,2
BAJA Grill,"1001 Queen Elizabeth Drive, Ottawa, ON K1S 5K7",NA,45.3964955,-75.7056623,restaurant,regular,old,0,20180710,NA,1001 QUEEN,BAJA,TRUE,2
Baja Grill,"Dows Lake Pavillion, 1001 Queen Elizabeth Drive, Ottawa K1S 5K7",+1 (613) 234-8156,45.3963486,-75.7057019,Restaurant,Dine Out,new,NA,NA,NA,1001 QUEEN,BAJA,TRUE,2
BAKER STREET,385 RICHMOND ROAD,NA,45.3912735,-75.75601196,restaurant,regular,old,0,20180706,NA,385 RICHMOND,BAKER,TRUE,2
Baker Street Cafe,"385 Richmond Road, Ottawa K2A 0E7",+1 (613) 761-7171,45.39123889,-75.75593611,Restaurant,Dine Out,new,NA,NA,NA,385 RICHMOND,BAKER,TRUE,2
Bay Rock Cafe,"2446 Bank Street, Ottawa, ON K1V",NA,45.3527295,-75.6469545,restaurant,regular,old,0,20180726,NA,2446 BANK,BAY,TRUE,2
Bay Rock Café,"2446 Bank Street, Ottawa, ON K1V 1A8",+1 (613) 683-3380,45.352941,-75.646903,Restaurant,Dine Out,new,NA,NA,NA,2446 BANK,BAY,TRUE,2
BeaverTails,"69 George Street, Ottawa K1N 1K1",+1 (613) 241-1230,45.42738056,-75.69179444,Restaurant,Dine Out,new,NA,NA,NA,69 GEORGE,BEAVERTAILS,TRUE,2
BeaverTails Pastry,"69 George Street, Ottawa, ON K1N 1K1",NA,45.427388,-75.6916704,restaurant,nightlife,old,0,20180710,NA,69 GEORGE,BEAVERTAILS,TRUE,2
Beckta,"150 Elgin Street, Ottawa K2P 1L4",+1 (613) 238-7063,45.42041667,-75.69279444,Restaurant,Dine Out,new,NA,NA,NA,150 ELGIN,BECKTA,TRUE,2
Beckta Dining & Wine,"150 Elgin St, Ottawa, ON K2P 1L4",NA,45.4203434,-75.6933067,restaurant,nightlife,old,0,201806,NA,150 ELGIN,BECKTA,TRUE,2
BELLA'S BISTRO ITALIAN,1445 WELLINGTON STREET  WEST,NA,45.39756775,-75.74156952,restaurant,regular,old,0,20180706,NA,1445 WELLINGTON,BELLA,TRUE,2
Bella's Bistro Italiano,"1445 Wellington Street West, Ottawa K1Y 0A6",+1 (613) 724-6439,45.39758056,-75.74163056,Restaurant,Dine Out,new,NA,NA,NA,1445 WELLINGTON,BELLA,TRUE,2
BEN-BEN RESTAURANT,697 SOMERSET STREET WEST,NA,45.41111374,-75.70708466,restaurant,regular,old,0,20180706,NA,697 SOMERSET,BEN,TRUE,2
Ben Ben Restaurant,"697 Somerset Street West, Ottawa K1R 6P5",+1 (613) 238-5022,45.41096111,-75.706925,Restaurant,Dine Out,new,NA,NA,NA,697 SOMERSET,BEN,TRUE,2
Bert's,"Canadian Tire Centre, 1000 Palladium Drive, Ottawa K2V 1E2",+1 (613) 599-2582,45.296401,-75.92528,Restaurant,Dine Out,new,NA,NA,NA,1000 PALLADIUM,BERT,TRUE,2
Bert’s,"1000 Palladium Dr, Kanata, ON K2V 1A4",NA,45.2967455,-75.9270232,restaurant,nightlife,old,0,20180726,NA,1000 PALLADIUM,BERT,TRUE,2
Best Pizza,"295 McArthur Avenue, Ottawa K1L 6P1",+1 (613) 749-4424,45.43179722,-75.65610556,Restaurant,Dine Out,new,NA,NA,NA,295 MCARTHUR,BEST,TRUE,2
BEST PIZZA RESTAURANT,295 MCARTHUR ROAD,NA,45.43187332,-75.65600586,restaurant,regular,old,0,20180706,NA,295 MCARTHUR,BEST,TRUE,2
Biagio's,"1394 Richmond Road, Ottawa K2B 6R8",+1 (613) 828-0770,45.36471944,-75.78843056,Restaurant,Dine Out,new,NA,NA,NA,1394 RICHMOND,BIAGIO,TRUE,2
BIAGIO'S ITALIAN KITCHEN,1394 RICHMOND ROAD,NA,45.36461258,-75.78833008,restaurant,regular,old,0,20180706,NA,1394 RICHMOND,BIAGIO,TRUE,2
Bien Pho,"5929 Jeanne D'Arc Boulevard South, Ottawa K1C 6V8",+1 (613) 830-8002,45.46451667,-75.54152778,Restaurant,Dine Out,new,NA,NA,NA,5929 JEANNE,BIEN,TRUE,2
BIEN PHO VIETNAMESE RESTAURANT,5929 JEANNE D'ARC BOULEVARD,NA,45.46460724,-75.54181671,restaurant,regular,old,0,20180706,NA,5929 JEANNE,BIEN,TRUE,2
Big Rig Kitchen & Brewery,"1980 Ogilvie Rd #115, Gloucester, ON K1J 9L3",NA,45.4325275,-75.6098258,restaurant,nightlife,old,0,20180713,NA,1980 OGILVIE,BIG,TRUE,2
Big Rig Kitchen and Brewery,1980 Ogilvie Road,+1 (613) 552-3336,45.432541,-75.610335,Restaurant,Dine Out,new,NA,NA,NA,1980 OGILVIE,BIG,TRUE,2
Big Easy's,"228 Preston Street, Ottawa K1R 7R4",+1 (613) 565-3279,45.40516944,-75.71224167,Restaurant,Dine Out,new,NA,NA,NA,228 PRESTON,BIG,TRUE,2
BIG EASY'S SEAFOOD & STEAK H,228 PRESTON STREET,NA,45.40519333,-75.71247101,restaurant,regular,old,0,20180706,NA,228 PRESTON,BIG,TRUE,2
Big Rig Brewery,"2750 Iris Street, Ottawa K2C 3V5",+1 (613) 688-3336,45.34758889,-75.78751389,Restaurant,Dine Out,new,NA,NA,NA,2750 IRIS,BIG,TRUE,2
Big Rig Kitchen & Brewery,"2750 Iris St, Ottawa, ON K2C 3C9",NA,45.3475215,-75.7871237,restaurant,nightlife,old,0,201806,NA,2750 IRIS,BIG,TRUE,2
BIG SMOKE BURGER,50 RIDEAU STREET,NA,45.42489243,-75.69013977,fast food,regular,old,0,20180706,353,50 RIDEAU,BIG,TRUE,2
Big Smoke Burger,"Rideau Centre, 50 Rideau Street, Ottawa K1N 9J7",+1 (613) 231-7000,45.4255824,-75.692568,Restaurant,Dine Out,new,NA,NA,NA,50 RIDEAU,BIG,TRUE,2
Bigg's,"1099 St. Laurent Boulevard, Ottawa K1K 3B1",+1 (613) 746-5040,45.42589444,-75.63803889,Restaurant,Dine Out,new,NA,NA,NA,1099 ST,BIGG,TRUE,2
BIGG'S DELI BAR,1099 ST. LAURENT BOULEVARD,NA,45.42603683,-75.63773346,restaurant,regular,old,0,20180706,NA,1099 ST,BIGG,TRUE,2
Black Squirrel,"1073 Bank Street, Ottawa K1S 3W9",+1 (613) 600-3405,45.394665,-75.683504,Restaurant,Dine Out,new,NA,NA,NA,1073 BANK,BLACK,TRUE,2
Black Squirrel Books & Espresso Bar,"1073 Bank Street, Ottawa, ON K1S 3X3",NA,45.3946641,-75.6834952,fast food,coffee shop,old,0,20180726,NA,1073 BANK,BLACK,TRUE,2
Bobbie's Pizza & Subs,"1443 Ogilvie Road, Ottawa K1J 7P3",+1 (613) 741-7000,45.43182778,-75.61826389,Restaurant,Dine Out,new,NA,NA,NA,1443 OGILVIE,BOBBIE,TRUE,2
BOBBIE'S PIZZA AND SUBS,1443 OGILVIE ROAD,NA,45.43190765,-75.61829376,fast food,regular,old,0,20180706,212,1443 OGILVIE,BOBBIE,TRUE,2
BOURBON STREET GRILL,1200 ST LAURENT BOULEVARD,NA,45.42255402,-75.63837433,fast food,regular,old,0,20180706,105,1200 ST,BOURBON,TRUE,2
Bourbon Street Grill,"St. Laurent Shopping Centre, 1200 St. Laurent Boulevard, Ottawa K1K 3B8",+1 (613) 842-9699,45.42250833,-75.63799167,Restaurant,Dine Out,new,NA,NA,NA,1200 ST,BOURBON,TRUE,2
Brampton Authentic Indian Foods,"178 Meadowlands Dr W, Ottawa K2G 2S6",+1 (613) 695-9915,45.3422361,-75.7556231,Restaurant,Dine Out,new,NA,NA,NA,178 MEADOWLANDS,BRAMPTON,TRUE,2
Brampton Authentic Indian Food,"178 Meadowlands Drive West, Ottawa K2G 2S6",Not Available,45.34236944,-75.755675,Restaurant,Dine Out,new,NA,NA,0,178 MEADOWLANDS,BRAMPTON,TRUE,2
Bridgehead,1024 Wellington St. (at Fairmont),NA,45.404592,-75.723837,Fast Food,Coffee Shop,new,NA,NA,NA,1024 WELLINGTON,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,1024 WELLINGTON STREET,NA,45.40457153,-75.72370911,fast food,coffee shop,old,1,20180628,217,1024 WELLINGTON,BRIDGEHEAD,TRUE,2
Bridgehead,109 Bank Street (at Albert),NA,45.419924,-75.700196,Fast Food,Coffee Shop,new,NA,NA,NA,109 BANK,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,109 BANK STREET,NA,45.4198761,-75.70011139,fast food,coffee shop,old,1,20180628,217,109 BANK,BRIDGEHEAD,TRUE,2
Bridgehead,1172 Bank St. (at Grove),NA,45.392289,-75.681988,Fast Food,Coffee Shop,new,NA,NA,NA,1172 BANK,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,1172 BANK STREET,NA,45.39225769,-75.68209076,fast food,coffee shop,old,1,20180628,217,1172 BANK,BRIDGEHEAD,TRUE,2
Bridgehead,1277 Wellington St. (at Caroline),NA,45.399291,-75.734516,Fast Food,Coffee Shop,new,NA,NA,NA,1277 WELLINGTON,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,1277 WELLINGTON STREET,NA,45.39927292,-75.73448181,fast food,coffee shop,old,1,20180628,217,1277 WELLINGTON,BRIDGEHEAD,TRUE,2
Bridgehead,131 Beechwood (in New Edinburgh),NA,45.442087,-75.671965,Fast Food,Coffee Shop,new,NA,NA,NA,131 BEECHWOOD,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,131 BEECHWOOD AVENUE,NA,45.44203568,-75.67205048,fast food,coffee shop,old,1,20180628,217,131 BEECHWOOD,BRIDGEHEAD,TRUE,2
Bridgehead,160 Elgin St. (at Place Bell),NA,45.420047,-75.69286,Fast Food,Coffee Shop,new,NA,NA,NA,160 ELGIN,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,"160 Elgin St, Ottawa, ON K1A 0W9",NA,45.423532,-75.6963868,fast food,coffee shop,old,1,20180628,217,160 ELGIN,BRIDGEHEAD,TRUE,2
Bridgehead,2140 Carling Ave. (at Fairlawn Plaza),NA,45.370774,-75.768674,Fast Food,Coffee Shop,new,NA,NA,NA,2140 CARLING,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,"2140 Carling Ave, Ottawa, ON K2A 1H1",NA,45.3707482,-75.7683461,fast food,coffee shop,old,1,20180628,217,2140 CARLING,BRIDGEHEAD,TRUE,2
Bridgehead,"224 Dalhousie Street (at Guigues Ave,)",NA,45.431553,-75.69341,Fast Food,Coffee Shop,new,NA,NA,NA,224 DALHOUSIE,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,224 DALHOUSIE STREET,NA,45.43136215,-75.69345093,fast food,coffee shop,old,1,20180628,217,224 DALHOUSIE,BRIDGEHEAD,TRUE,2
Bridgehead,2745 Iris St. (at Greenbank),NA,45.34828,-75.788122,Fast Food,Coffee Shop,new,NA,NA,NA,2745 IRIS,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,"2745 Iris St, Ottawa, ON K2C 3V5",NA,45.3482985,-75.7881625,fast food,coffee shop,old,1,20180628,217,2745 IRIS,BRIDGEHEAD,TRUE,2
Bridgehead,282 Elgin St. (at MacLaren St.),NA,45.41704,-75.689852,Fast Food,Coffee Shop,new,NA,NA,NA,282 ELGIN,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,282 ELGIN STREET,NA,45.41704941,-75.68979645,fast food,coffee shop,old,1,20180628,217,282 ELGIN,BRIDGEHEAD,TRUE,2
Bridgehead,317 McRae Ave (near Scott),NA,45.396665,-75.750691,Fast Food,Coffee Shop,new,NA,NA,NA,317 MCRAE,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,"317 McRae Ave, Ottawa, ON K1Z 8P4",NA,45.3960489,-75.7498115,fast food,coffee shop,old,1,20180628,217,317 MCRAE,BRIDGEHEAD,TRUE,2
Bridgehead,344 Slater St. (between Kent and Lyon),NA,45.417972,-75.702907,Fast Food,Coffee Shop,new,NA,NA,NA,344 SLATER,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,344 SLATER STREET,NA,45.41773224,-75.70269012,fast food,coffee shop,old,1,20180628,217,344 SLATER,BRIDGEHEAD,TRUE,2
Bridgehead,"366 Bank Street, Ottawa K2P 1Y4",+1 (613) 569-5600,45.414005,-75.695279,Restaurant,Dine Out,new,NA,NA,NA,366 BANK,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,366 BANK STREET,NA,45.41393661,-75.69525909,fast food,coffee shop,old,1,20180628,217,366 BANK,BRIDGEHEAD,TRUE,2
Bridgehead,440 Richmond Rd (at Golden),NA,45.389825,-75.758345,Fast Food,Coffee Shop,new,NA,NA,NA,440 RICHMOND,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,440 RICHMOND ROAD,NA,45.38998032,-75.75774384,fast food,coffee shop,old,1,20180628,217,440 RICHMOND,BRIDGEHEAD,TRUE,2
Bridgehead,50 Rideau St. (at Rideau Centre),NA,45.425075,-75.691271,Fast Food,Coffee Shop,new,NA,NA,NA,50 RIDEAU,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,"50 Rideau St, Ottawa, ON K1N 9J7",NA,45.4251195,-75.6917194,fast food,coffee shop,old,1,20180628,217,50 RIDEAU,BRIDGEHEAD,TRUE,2
Bridgehead,750 Bank St. (Second Ave),NA,45.403526,-75.688873,Fast Food,Coffee Shop,new,NA,NA,NA,750 BANK,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,750 BANK STREET,NA,45.40355301,-75.68878174,fast food,coffee shop,old,1,20180628,217,750 BANK,BRIDGEHEAD,TRUE,2
Bridgehead,96 Sparks St. (at Metcalfe St.),NA,45.422829,-75.69745,Fast Food,Coffee Shop,new,NA,NA,NA,96 SPARKS,BRIDGEHEAD,TRUE,2
BRIDGEHEAD COFFEEHOUSE,96 SPARKS STREET,NA,45.42271805,-75.69747925,fast food,coffee shop,old,1,20180628,217,96 SPARKS,BRIDGEHEAD,TRUE,2
Brixton's British Pub,"210 Sparks St, Ottawa, ON K1P 5C1",NA,45.421239,-75.700936,restaurant,nightlife,old,0,201806,NA,210 SPARKS,BRIXTON,TRUE,2
Brixton's Pub,"210 Sparks Street, Ottawa K1P 5C1",+1 (613) 233-8283,45.42142222,-75.70106389,Restaurant,Dine Out,new,NA,NA,NA,210 SPARKS,BRIXTON,TRUE,2
Broadway Bar & Grill,"3777 Strandherd Drive, Ottawa, ON",NA,45.2681524,-75.7466046,restaurant,nightlife,old,1,201806,NA,3777 STRANDHERD,BROADWAY,TRUE,2
