name,address,phone,lat,lng,category2,category3,dataset,Chain,Update date,NEMS Code,num_name,toupper(name),check
168 Sushi,"1760 St. Laurent Boulevard, Ottawa K1G 1A2",+1 (613) 523-1680,45.4045361111,-75.6271055556,Restaurant,Dine Out,new,NA,NA,NA,1760 ST,168 SUSHI,FALSE
168 Sushi Japan Buffet,"1651 Merivale Road, Ottawa K2G 3K2",+1 (613) 228-0168,45.3511,-75.7315666667,Restaurant,Dine Out,new,NA,NA,NA,1651 MERIVALE,168 SUSHI JAPAN BUFFET,FALSE
168 SUSHI JAPANESE BUFFET,1651 MERIVALE ROAD,NA,45.35095596,-75.73196411,restaurant,regular,old,1,20180706,NA,1651 MERIVALE,168 SUSHI JAPANESE BUFFET,FALSE
168 SUSHI JAPANESE BUFFET,"1760 Saint Laurent Boulevard, Ottawa, ON K1G 1A2",NA,45.4045938,-75.627051,restaurant,regular,old,1,20180706,NA,1760 SAINT,168 SUSHI JAPANESE BUFFET,FALSE
18,18 YORK STREET,NA,45.42738724,-75.69409943,restaurant,regular,old,0,20180706,NA,18 YORK,18,FALSE
1848,"University of Ottawa, University Centre, 85 University Private, Second Floor, Ottawa K1N 6N5",+1 (613) 562-5800,45.42207,-75.683677,Restaurant,Dine Out,new,NA,NA,NA,NA,1848,FALSE
1848,"Floor 2, 85 Université Pvt, Ottawa, ON K1N 6N5",NA,45.4225565,-75.6833275,restaurant,nightlife,old,0,201806,NA,NA,1848,FALSE
2 For 1 Pizza,"320 Bank Street, Ottawa K2P 1Y1",+1 (613) 234-6336,45.414413,-75.695634,Restaurant,Dine Out,new,NA,NA,NA,320 BANK,2 FOR 1 PIZZA,FALSE
222 Lyon Tapas Bar,"222 Lyon Street North, Ottawa K1R 5V9",+1 (613) 238-0222,45.4160333333,-75.7027055556,Restaurant,Dine Out,new,NA,NA,NA,222 LYON,222 LYON TAPAS BAR,TRUE
222 Lyon Tapas Bar,"222 Lyon St N, Ottawa, ON K1R 5V9",NA,45.4160221,-75.7028571,restaurant,regular,old,0,20180710,NA,222 LYON,222 LYON TAPAS BAR,TRUE
3 Brewers,"240 Sparks Street, Local C215, Ottawa, ON K1P 6C9",NA,45.420296,-75.7024018,restaurant,nightlife,old,1,201806,NA,240 SPARKS,3 BREWERS,FALSE
3 Brewers,"565 Kanata Ave, Kanata, ON K2T 1K5",NA,45.3100669,-75.9082407,restaurant,nightlife,old,1,201806,NA,565 KANATA,3 BREWERS,FALSE
3 BROTHERS SHAWARMA & POUTINE,124 OSGOODE STREET,NA,45.42392349,-75.68076324,fast food,regular,old,1,20180628,25,124 OSGOODE,3 BROTHERS SHAWARMA & POUTINE,FALSE
3 Brothers Shawarma & Poutine,"160 Rideau Street, Ottawa K1N 5X4",+1 (613) 321-6990,45.4271023,-75.6896682,Restaurant,Dine Out,new,NA,NA,NA,160 RIDEAU,3 BROTHERS SHAWARMA & POUTINE,TRUE
3 BROTHERS SHAWARMA & POUTINE,160 RIDEAU STREET,NA,45.42687225,-75.68968964,fast food,regular,old,1,20180628,25,160 RIDEAU,3 BROTHERS SHAWARMA & POUTINE,TRUE
3 BROTHERS SHAWARMA & POUTINE,530 RIDEAU STREET,NA,45.43188858,-75.6778717,fast food,regular,old,1,20180628,25,530 RIDEAU,3 BROTHERS SHAWARMA & POUTINE,FALSE
3 For 1 Pizza,"62 Main Street, Ottawa K1S 1B3",+1 (613) 565-0341,45.4126166667,-75.6802138889,Restaurant,Dine Out,new,NA,NA,NA,62 MAIN,3 FOR 1 PIZZA,FALSE
3 Nineteen Food & Drink,"319 Rideau Street, Ottawa, ON K1N 5Y4",NA,45.429383,-75.6848093,restaurant,regular,old,0,20180710,NA,319 RIDEAU,3 NINETEEN FOOD & DRINK,FALSE
3 Sisters Bakeshop,"2211 Arch St, Ottawa K1G 2H5",+1 (613) 695-9122,45.387964,-75.6456,Restaurant,Dine Out,new,NA,NA,NA,2211 ARCH,3 SISTERS BAKESHOP,FALSE
3 SISTERS CAFE,2211 ARCH STREET,NA,45.38980865,-75.63038635,fast food,regular,old,0,20180706,400,2211 ARCH,3 SISTERS CAFE,FALSE
35th Street Market Cafe,"Algonquin College, Building R, 1385 Woodroffe Avenue, Ottawa K2G 1V8",+1 (613) 727-4723,45.351719,-75.756053,Restaurant,Dine Out,new,NA,NA,NA,NA,35TH STREET MARKET CAFE,FALSE
36 Pho Viet Cuisine,"1600 Merivale Road, Ottawa K2G 3K3",+1 (613) 228-6786,45.349475,-75.7333916667,Restaurant,Dine Out,new,NA,NA,NA,1600 MERIVALE,36 PHO VIET CUISINE,FALSE
73 NORTH RESTAURANT & LOUNGE,73 SPARKS STREET,NA,45.42356873,-75.69667053,restaurant,regular,old,0,20180706,NA,73 SPARKS,73 NORTH RESTAURANT & LOUNGE,FALSE
A & R Breakfast & Lunch Cafe,"Fuller Building, 75 Albert Street, Lower Level, Ottawa K1P 5E7",+1 (613) 695-6100,45.422202,-75.695296,Restaurant,Dine Out,new,NA,NA,NA,NA,A & R BREAKFAST & LUNCH CAFE,FALSE
A & W,100 BAYSHORE DRIVE,NA,45.34794617,-75.80560303,fast food,regular,old,1,20180628,236,100 BAYSHORE,A & W,FALSE
A & W,110 PLACE D'ORLEANS DRIVE,NA,45.47758102,-75.51496124,fast food,regular,old,1,20180628,236,110 PLACE,A & W,FALSE
A & W,1200 ST LAURENT BOULEVARD,NA,45.42296219,-75.63809204,fast food,regular,old,1,20180628,236,1200 ST,A & W,FALSE
A & W,"1660 Heron Rd, Ottawa, ON",NA,45.3799448,-75.6439694,fast food,regular,old,1,20180628,236,1660 HERON,A & W,FALSE
A & W,1830 MERIVALE ROAD,NA,45.33581543,-75.72525787,fast food,regular,old,1,20180628,236,1830 MERIVALE,A & W,FALSE
A & W,1980 OGILVIE ROAD,NA,45.43198013,-75.60961914,fast food,regular,old,1,20180628,236,1980 OGILVIE,A & W,FALSE
A & W,2121 CARLING AVENUE,NA,45.37285614,-75.76835632,fast food,regular,old,1,20180628,236,2121 CARLING,A & W,FALSE
A & W,2870 GIBFORD DRIVE,NA,45.3433342,-75.66921234,fast food,regular,old,1,20180628,236,2870 GIBFORD,A & W,FALSE
A & W,300 EAGLESON ROAD,NA,45.30237579,-75.87768555,fast food,regular,old,1,20180628,236,300 EAGLESON,A & W,FALSE
A & W,3228 HAWTHORNE ROAD,NA,45.38154984,-75.60205841,fast food,regular,old,1,20180628,236,3228 HAWTHORNE,A & W,FALSE
A & W,"3895 Innes Rd, Orléans, ON K1C 1T1",NA,45.4474211,-75.5265987,fast food,regular,old,1,20180628,236,3895 INNES,A & W,FALSE
A & W,"405 March Rd, Kanata, ON K2K 1K0",NA,45.337682,-75.9125411,fast food,regular,old,1,20180628,236,405 MARCH,A & W,FALSE
A & W,41 EDGEWATER STREET,NA,45.29696274,-75.90032196,fast food,regular,old,1,20180628,236,41 EDGEWATER,A & W,FALSE
A & W,"4255 Strandherd Dr, Ottawa, ON K2J 6E5",NA,45.2695142,-75.7811998,fast food,regular,old,1,20180628,236,4255 STRANDHERD,A & W,FALSE
A & W,50 RIDEAU STREET,NA,45.42440033,-75.69008636,fast food,regular,old,1,20180628,236,50 RIDEAU,A & W,FALSE
A & W,6305 HAZELDEAN ROAD,NA,45.26743698,-75.94033051,fast food,regular,old,1,20180628,236,6305 HAZELDEAN,A & W,FALSE
A&W,"100 Bayshore Dr, (Food Court) #FH 14, Ottawa, ON, K2B 8C1",NA,45.347634,-75.806354,Fast Food,Regular,new,NA,NA,NA,100 BAYSHORE,A&W,FALSE
A&W,"1017, Chemin de Masson, Gatineau, QC, J8M 1R4",NA,45.55848,-75.41951,Fast Food,Regular,new,NA,NA,NA,1017 CHEMIN,A&W,FALSE
A&W,"110 Place D'Orleans Dr, (Food Court), Orleans, ON, K1C 2L9",NA,45.47854,-75.515089,Fast Food,Regular,new,NA,NA,NA,110 PLACE,A&W,FALSE
A&W,"1100, boulevard Maloney Ouest, (Foire alimentaire), Gatineau, QC, J8T 6G3",NA,45.47632,-75.697962,Fast Food,Regular,new,NA,NA,NA,1100 BOULEVARD,A&W,FALSE
A&W,"1200 St Laurent Blvd, (Food Court), Ottawa, ON, K1K 3B8",NA,45.421675,-75.63921,Fast Food,Regular,new,NA,NA,NA,1200 ST,A&W,FALSE
A&W,"1454 Merivale Road, Ottawa, ON, K2E 5P1",NA,45.362571,-75.733921,Fast Food,Regular,new,NA,NA,NA,1454 MERIVALE,A&W,FALSE
A&W,"1510, boulevard Greber, Gatineau, QC, J8R 0E1",NA,45.503424,-75.678106,Fast Food,Regular,new,NA,NA,NA,1510 BOULEVARD,A&W,FALSE
A&W,"155 Queen St, Ottawa, ON, K1A 1K2",NA,45.421533,-75.699217,Fast Food,Regular,new,NA,NA,NA,155 QUEEN,A&W,FALSE
A&W,"1660 Heron Road, Ottawa, ON, K1V 2P5",NA,45.38003,-75.64183,Fast Food,Regular,new,NA,NA,NA,1660 HERON,A&W,FALSE
A&W,"1830 Merivale Road, Ottawa K2G 1E3",+1 (613) 228-9714,45.3355333333,-75.7253722222,Restaurant,Dine Out,new,NA,NA,NA,1830 MERIVALE,A&W,FALSE
A&W,"1980 Ogilvie Road, (Food Court), Gloucester, ON, K1J 9L3",NA,45.431409,-75.610349,Fast Food,Regular,new,NA,NA,NA,1980 OGILVIE,A&W,FALSE
A&W,"2121 Carling Ave, (Food Court), Ottawa, ON, K2A 1H2",NA,45.373161,-75.768719,Fast Food,Regular,new,NA,NA,NA,2121 CARLING,A&W,FALSE
A&W,"245 Daniel Street South, Arnprior, ON, K7S 3K5",NA,45.42567,-76.36458,Fast Food,Regular,new,NA,NA,NA,245 DANIEL,A&W,FALSE
A&W,"2870 Gibford Drive, Hunt Club, Ottawa, ON, K1V 2R4",NA,45.342821,-75.667645,Fast Food,Regular,new,NA,NA,NA,2870 GIBFORD,A&W,FALSE
A&W,"30 Highbury Park Drive, Greenbank & Highbury, Barrhaven, ON, K2J 6K8",NA,45.277,-75.75022,Fast Food,Regular,new,NA,NA,NA,30 HIGHBURY,A&W,FALSE
A&W,"305 Colonade Drive, RR 3, Kemptville, ON, K0G 1J0",NA,45.029296,-75.632465,Fast Food,Regular,new,NA,NA,NA,305 COLONADE,A&W,FALSE
A&W,"320, boulevard St-Joseph, (Foire alimentaire), Gatineau, QC, J8Y 3Y8",NA,45.441955,-75.73192,Fast Food,Regular,new,NA,NA,NA,320 BOULEVARD,A&W,FALSE
A&W,"3228 Hawthorne Rd, Ottawa, ON, K1G 3W9",NA,45.381524,-75.602099,Fast Food,Regular,new,NA,NA,NA,3228 HAWTHORNE,A&W,FALSE
A&W,"3895 Innes Road, Ottawa K1C 1T1",+1 (613) 837-9000,45.453641,-75.510362,Restaurant,Dine Out,new,NA,NA,NA,3895 INNES,A&W,FALSE
A&W,"395, montée Paiement, Petro Canada, Gatineau, QC, J8P 6M7",NA,45.490099,-75.676293,Fast Food,Regular,new,NA,NA,NA,395 MONTÉE,A&W,FALSE
A&W,"405 March Road, Kanata, ON, K2K 0K1",NA,45.33867,-75.9122,Fast Food,Regular,new,NA,NA,NA,405 MARCH,A&W,FALSE
A&W,"41 Edgewater Street, Ottawa K2L 1V7",+1 (613) 836-9595,45.2968969,-75.9010004,Restaurant,Dine Out,new,NA,NA,NA,41 EDGEWATER,A&W,FALSE
A&W,"4255 Strandherd Drive, Barrhaven, ON, K2J 6E5",NA,45.26974,-75.78102,Fast Food,Regular,new,NA,NA,NA,4255 STRANDHERD,A&W,FALSE
A&W,"479 Chemin Vanier, Gatineau, QC, J9J 1Z4",NA,45.41775,-75.80899,Fast Food,Regular,new,NA,NA,NA,479 CHEMIN,A&W,FALSE
A&W,"50 Rideau Street, (Food Court) Unit #FC013, Ottawa, ON, K1N 9J7",NA,45.4255,-75.69222,Fast Food,Regular,new,NA,NA,NA,50 RIDEAU,A&W,FALSE
A&W,"506 McNeely Avenue, Carleton Place, ON, K7C 0A7",NA,45.131587,-76.120138,Fast Food,Regular,new,NA,NA,NA,506 MCNEELY,A&W,FALSE
A&W,"6045 Bank Street, Greely, ON, K4P 0G5",NA,45.264158,-75.555914,Fast Food,Regular,new,NA,NA,NA,6045 BANK,A&W,FALSE
A&W,"6305 Hazeldean Rd, Stittsville, ON, K2S 0T2",NA,45.26563,-75.94136,Fast Food,Regular,new,NA,NA,NA,6305 HAZELDEAN,A&W,FALSE
A&W,"635 Principale Street, Casselman, ON, K0A 1M0",NA,45.30689,-75.08214,Fast Food,Regular,new,NA,NA,NA,635 PRINCIPALE,A&W,FALSE
A&W,"7 - 2016 Ogilvie Road, Ottawa, ON, K1J 6M6",NA,45.43392,-75.612465,Fast Food,Regular,new,NA,NA,NA,NA,A&W,FALSE
AAHAR-THE TASTE OF INDIA,727 CHURCHILL AVENUE,NA,45.3812027,-75.74688721,restaurant,regular,old,0,20180706,NA,727 CHURCHILL,AAHAR-THE TASTE OF INDIA,FALSE
Aahar Authentic Indian Cuisine,1573 Alta Vista Drive,+1 (613) 422-6644: +1 (613) 422-6644,45.408415,-75.658229,Restaurant,Dine Out,new,NA,NA,NA,1573 ALTA,AAHAR AUTHENTIC INDIAN CUISINE,FALSE
Aahar The Taste of India,"1573 Alta Vista Drive, Ottawa, ON K1G 0E9",NA,45.4084112,-75.6574298,restaurant,regular,old,1,20180710,NA,1573 ALTA,AAHAR THE TASTE OF INDIA,FALSE
Aahar The Taste Of India,727 Churchill Avenue North K1Z 5G7,+1 (613) 688-4444: +1 (613) 688-4444,45.3812,-75.74684,Restaurant,Dine Out,new,NA,NA,NA,727 CHURCHILL,AAHAR THE TASTE OF INDIA,TRUE
Aahar The Taste Of India,"727 Churchill Avenue N, Ottawa, ON K1Z 5G7",NA,45.3812179,-75.7468804,restaurant,regular,old,1,20180710,NA,727 CHURCHILL,AAHAR THE TASTE OF INDIA,TRUE
Absinthe,"1208 Wellington Street West, Ottawa K1Y 2Z8",+1 (613) 761-1138,45.4002222222,-75.7305972222,Restaurant,Dine Out,new,NA,NA,NA,1208 WELLINGTON,ABSINTHE,TRUE
Absinthe,"1208 Wellington Street West, Ottawa, ON K1Y 2Z7, Canada",NA,45.400233,-75.730439,restaurant,nightlife,old,0,201806,NA,1208 WELLINGTON,ABSINTHE,TRUE
Absolute Comedy,"412 Preston Street, Ottawa, ON, Canada",NA,45.40078,-75.70972,nightlife,nightlife,old,0,20180706,NA,412 PRESTON,ABSOLUTE COMEDY,FALSE
Ad Mare,"150 Slater Street, Ottawa, ON K1P 5M8",NA,45.4201613,-75.6974389,restaurant,regular,old,0,20180710,NA,150 SLATER,AD MARE,FALSE
Adam's Sausages,"1437 Michael Street, Ottawa K1B 3R3",+1 (613) 749-3336,45.415925,-75.6284166667,Restaurant,Dine Out,new,NA,NA,NA,1437 MICHAEL,ADAM'S SAUSAGES,FALSE
Afghani Kabob Express,"249 Bank Street, Ottawa K2P 1W9",+1 (613) 593-8880,45.4164287,-75.6972459,Restaurant,Dine Out,new,NA,NA,NA,249 BANK,AFGHANI KABOB EXPRESS,TRUE
Afghani Kabob Express,"249 Bank Street, Ottawa, ON K2P 1X2",NA,45.4163796,-75.6970805,restaurant,regular,old,0,20180710,NA,249 BANK,AFGHANI KABOB EXPRESS,TRUE
AGAVE GRILL,1331 WELLINGTON STREET WEST,NA,45.39870834,-75.73705292,restaurant,regular,old,0,20180706,NA,1331 WELLINGTON,AGAVE GRILL,FALSE
Agop's Bakery,"304 McArthur Avenue, Ottawa K1L 6P2",+1 (613) 744-6000,45.4316333333,-75.6556861111,Restaurant,Dine Out,new,NA,NA,NA,304 MCARTHUR,AGOP'S BAKERY,FALSE
Ahora,"307 Dalhousie Street, Ottawa K1N 8Y3",+1 (613) 562-2081,45.42945,-75.6914444444,Restaurant,Dine Out,new,NA,NA,NA,307 DALHOUSIE,AHORA,FALSE
Ahora Mexican Cuisine,"307 Dalhousie Street, Ottawa, ON K1N 7E8",NA,45.4294137,-75.6914195,restaurant,regular,old,0,20180710,NA,307 DALHOUSIE,AHORA MEXICAN CUISINE,FALSE
Aiyara Thai Cuisine,"1590 Walkley Road, Ottawa K1V 6P5",+1 (613) 526-1703,45.377138,-75.646227,Restaurant,Dine Out,new,NA,NA,NA,1590 WALKLEY,AIYARA THAI CUISINE,TRUE
AIYARA THAI CUISINE,1590 WALKLEY ROAD,NA,45.37683487,-75.64617157,restaurant,regular,old,0,20180706,NA,1590 WALKLEY,AIYARA THAI CUISINE,TRUE
Al's Diner,"834 Clyde Avenue, Ottawa K1Z 5A1",+1 (613) 761-7488,45.3779722222,-75.749588888900007,Restaurant,Dine Out,new,NA,NA,NA,834 CLYDE,AL'S DINER,TRUE
AL'S DINER,834 CLYDE AVENUE,NA,45.37792587,-75.74959564,restaurant,regular,old,0,20180706,NA,834 CLYDE,AL'S DINER,TRUE
AL'S STEAK HOUSE,327 ELGIN STREET,NA,45.41603851,-75.68868256,restaurant,regular,old,0,20180706,NA,327 ELGIN,AL'S STEAK HOUSE,FALSE
Al's Steakhouse,"327 Elgin Street, Ottawa K2P 1M5",+1 (613) 233-7111,45.416173,-75.688656,Restaurant,Dine Out,new,NA,NA,NA,327 ELGIN,AL'S STEAKHOUSE,FALSE
AL-OUMARA MEAT SHOP,25 TAPIOLA CRESCENT,NA,45.36384583,-75.64667511,fast food,regular,old,0,20180706,453,25 TAPIOLA,AL-OUMARA MEAT SHOP,FALSE
Al Basha Shawarma,"233 Laurier Avenue East, Ottawa K1N 6P1",+1 (613) 695-4900,45.4260895,-75.6814821,Restaurant,Dine Out,new,NA,NA,NA,233 LAURIER,AL BASHA SHAWARMA,TRUE
AL BASHA SHAWARMA,233 LAURIER AVENUE EAST,NA,45.42604446,-75.681472780000007,fast food,regular,old,0,20180706,311,233 LAURIER,AL BASHA SHAWARMA,TRUE
Al Noor Bakery,"70 Wylie Avenue, Ottawa K2B 6M4",+1 (613) 829-2253,45.354675,-75.8066777778,Restaurant,Dine Out,new,NA,NA,NA,70 WYLIE,AL NOOR BAKERY,FALSE
Aladdin,"1020 St. Laurent Boulevard, Ottawa K1K 4S1",+1 (613) 742-4244,45.4278972222,-75.63955,Restaurant,Dine Out,new,NA,NA,NA,1020 ST,ALADDIN,FALSE
Aladdin Convenience & Bakery,"1801 Carling Avenue, Ottawa K2A 1C9",+1 (613) 728-5331,45.3773416667,-75.7548833333,Restaurant,Dine Out,new,NA,NA,NA,1801 CARLING,ALADDIN CONVENIENCE & BAKERY,FALSE
Aladdin Pizza,"272 Montreal Road, Ottawa K1L 6C3",+1 (613) 746-8888,45.4366916667,-75.65995,Restaurant,Dine Out,new,NA,NA,NA,272 MONTREAL,ALADDIN PIZZA,FALSE
ALADDIN PIZZERIA,274 MONTREAL ROAD,NA,45.4366188,-75.65998077,fast food,regular,old,0,20180706,393,274 MONTREAL,ALADDIN PIZZERIA,FALSE
Alex's Food Truck,"1890 Innes Road, Ottawa, ON K1B 3K5",NA,45.4173555556,-75.5996388889,Restaurant,Dine Out,new,NA,NA,NA,1890 INNES,ALEX'S FOOD TRUCK,FALSE
Alhuda Restaurant,"380 Terminal Avenue, Ottawa K1G 0Z3",+1 (613) 859-6840,45.414057,-75.65423,Restaurant,Dine Out,new,NA,NA,NA,380 TERMINAL,ALHUDA RESTAURANT,FALSE
Alice's Village Cafe,"3773 Carp Road, Carp K0A 1L0",+1 (613) 470-2233,45.3460305556,-76.0377805556,Restaurant,Dine Out,new,NA,NA,NA,3773 CARP,ALICE'S VILLAGE CAFE,FALSE
Alice’s Village Cafe,"3773 Carp Road, Ottawa, ON K0A 1L0",NA,45.3458412,-76.0377719,restaurant,regular,old,0,20180726,NA,3773 CARP,ALICE’S VILLAGE CAFE,FALSE
ALIMENTS RINAG FOODS INC.,88 JAMIE AVENUE,NA,45.33623505,-75.71559906,restaurant,regular,old,0,20180706,NA,88 JAMIE,ALIMENTS RINAG FOODS INC.,FALSE
Alirang,"134 Nelson Street, Ottawa K1N 5Y6",+1 (613) 789-2223,45.43045,-75.685107,Restaurant,Dine Out,new,NA,NA,NA,134 NELSON,ALIRANG,FALSE
ALIRANG RESTAURANT,134 NELSON STREET,NA,45.43032837,-75.68482208,restaurant,regular,old,0,20180706,NA,134 NELSON,ALIRANG RESTAURANT,FALSE
Alissar,"1765 St. Laurent Boulevard, Ottawa K1G 3V4",+1 (613) 249-0888,45.4046555556,-75.6258611111,Restaurant,Dine Out,new,NA,NA,NA,1765 ST,ALISSAR,FALSE
ALISSAR LEBANESE CUISINE,1765 ST LAURENT BOULEVARD,NA,45.40476608,-75.62562561,fast food,regular,old,0,20180706,108,1765 ST,ALISSAR LEBANESE CUISINE,FALSE
All Seasons,"1460 Cyrville Road, Ottawa K1B 3L9",+1 (613) 749-6687,45.4201611111,-75.6192333333,Restaurant,Dine Out,new,NA,NA,NA,1460 CYRVILLE,ALL SEASONS,FALSE
Allegro,"422 Preston Street, Ottawa K1S 4N2",+1 (613) 235-7454,45.400292,-75.709513,Restaurant,Dine Out,new,NA,NA,NA,422 PRESTON,ALLEGRO,FALSE
ALLEGRO RESTAURANT,422 PRESTON STREET,NA,45.4002533,-75.70950317,restaurant,regular,old,0,20180706,NA,422 PRESTON,ALLEGRO RESTAURANT,FALSE
ALLIUM,87 HOLLAND AVENUE,NA,45.40077591,-75.73246002,restaurant,regular,old,0,20180706,NA,87 HOLLAND,ALLIUM,FALSE
Allô! Mon Coco,"2277 Riverside Drive, Ottawa, ON K1H 7X6",NA,45.3855413,-75.6774625,restaurant,regular,old,0,20180710,NA,2277 RIVERSIDE,ALLÔ! MON COCO,FALSE
Almonte Pizzeria & Shawarma,"27 Bridge Street, Mississippi Mills K0A 1A0",+1 (613) 461-6161,45.225798,-76.193854,Restaurant,Dine Out,new,NA,NA,NA,27 BRIDGE,ALMONTE PIZZERIA & SHAWARMA,FALSE
AMAYA EXPRESS,50 RIDEAU STREET,NA,45.42472458,-75.68956757,fast food,regular,old,0,20180706,357,50 RIDEAU,AMAYA EXPRESS,FALSE
Amaya Express,"Rideau Centre, 50 Rideau Street, Ottawa K1N 9J7",+1 (613) 695-2444,45.4255824,-75.692568,Restaurant,Dine Out,new,NA,NA,NA,NA,AMAYA EXPRESS,FALSE
Amazon cafe Gelato & Crepes,"4100 Strandherd Drive, Ottawa, ON K2J 0V2",NA,45.2603845,-75.7684158,fast food,regular,old,0,20180726,NA,4100 STRANDHERD,AMAZON CAFE GELATO & CREPES,FALSE
Amberwood Lounge & Eatery,"54 Springbrook Drive, Stittsville, ON K2S 1B9",NA,45.2712729,-75.9237165,restaurant,regular,old,0,20180726,NA,54 SPRINGBROOK,AMBERWOOD LOUNGE & EATERY,FALSE
American Grille,"2400 Alert Road, Ottawa, ON K1V 0R4",NA,45.3279915,-75.6521822,restaurant,nightlife,old,0,20180710,NA,2400 ALERT,AMERICAN GRILLE,FALSE
Amici Caffe,"226 Preston Street, Ottawa K1R 7R2",+1 (613) 233-9666,45.4053166667,-75.7124638889,Restaurant,Dine Out,new,NA,NA,NA,226 PRESTON,AMICI CAFFE,FALSE
AMICI CAFFE,226-1 PRESTON STREET,NA,45.405357359999996,-75.71256256,restaurant,regular,old,0,20180706,NA,2261 PRESTON,AMICI CAFFE,FALSE
Amigo's Sports Bar,"858 Merivale Road, Ottawa K1Z 5Z4",+1 (613) 725-2818,45.385287,-75.732338,Restaurant,Dine Out,new,NA,NA,NA,858 MERIVALE,AMIGO'S SPORTS BAR,TRUE
AMIGO'S SPORTS BAR,"858 Merivale Rd, Ottawa, ON K1Z 5Z4",NA,45.3847873,-75.7328689,restaurant,nightlife,old,0,201806,NA,858 MERIVALE,AMIGO'S SPORTS BAR,TRUE
AMORE SICILIAN GRILL LTEE.,4100 ALBION ROAD,NA,45.31702423,-75.62229156,restaurant,regular,old,0,20180706,NA,4100 ALBION,AMORE SICILIAN GRILL LTEE.,FALSE
Amuse Kitchen & Wine,"500 Eagleson Road, Ottawa K2M 1H4",+1 (613) 880-8883,45.290783,-75.870802,Restaurant,Dine Out,new,NA,NA,NA,500 EAGLESON,AMUSE KITCHEN & WINE,TRUE
Amuse Kitchen & Wine,"500 Eagleson Road, Ottawa, ON K2M 1H4",NA,45.2909203,-75.8706164,restaurant,regular,old,0,20180726,NA,500 EAGLESON,AMUSE KITCHEN & WINE,TRUE
