name,address,note,phone,lat,lng
Depanneur Miron,"723 Notre Dame Rue, Embrun, ON K0A 1W1",Convenience Stores,NA,45.2700628,-75.2933863
Apos Convenience,"2143 Carp Road RR 3, Carp, ON K0A 1L0",Convenience Stores,NA,45.2732931,-75.953511
Circle K,"3580 Strandherd RD, OTTAWA, Canada","EU_CARWASH_JETWASH, EU_ROUTEX_ATLAS, EU_SHOWER, EU_SIMPLY_GREAT_COFFEE, EU_TRUCKDIESEL_NETWORK, EU_WIFI, EU_CARWASH, EU_GAS, EU_TRAILER_RENTAL, EU_MOBILE_PAYMENTS_CARWASH, EU_MOBILE_PAYMENTS_FUEL, car_wash, gas, atm, redbull_shop",NA,45.2746008,-75.7385337
Quickie,"2201 JOCKVALE ROAD, Nepean, Ontario, K2J 4J9",NA,613-825-1920,45.2758212,-75.7773042
Quickie,"800 STONEHAVEN DRIVE, Kanata, Ontario, K2M 2Z2",NA,613-254-9413,45.2811972,-75.838223
Circle K,"4184 Spratt Road, Unit 1, OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.2831629,-75.6855826
Quickie,"1 RIDEAUCREST DR., Nepean, Ontario, K2G 6A4",NA,613-823-4050,45.2848746,-75.7229169
Barrhaven Petro-Canada,"3766 Fallowfield Rd, Nepean, ON K2J 1A1",Gas Stations,NA,45.2874346,-75.7571842
Ultramar,"660 Eagleson Road, Ottawa, ON K2M 1H4","Gas Stations, Convenience Stores",NA,45.2879529,-75.8686241
Circle K,"62 Stonehaven, KANATA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.2923085,-75.8578066
Mac's,"100 Castlefrank Rd., KANATA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.2936647,-75.8816465
Circle K,"44 Edgewater ST, KANATA, Canada","car_wash, gas, coffee, redbull_shop",NA,45.2975093,-75.9009396
Circle K,"401 Hazeldean RD, KANATA, Canada","car_wash, gas, diesel, atm, redbull_shop",NA,45.3041528,-75.8776654
Mac's,"13 Kakulu Rd., KANATA, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,45.3095761,-75.8812653
Circle K,"501 Terry Fox DR, KANATA, Canada","car_wash, gas, diesel, atm, redbull_shop",NA,45.3100283,-75.918045
Quickie,"2 GOLDRIDGE DRIVE, Kanata, Ontario, K2T 1C7",NA,613-592-8019,45.316109,-75.9206246
Circle K,"715 Limoges Road, LIMOGES, Canada","gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3184163,-75.2443258
Circle K,"418 Moodie Drive, NEPEAN, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3208341,-75.8331709
Circle K,"299 Greenbank Rd., NEPEAN, Canada","gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3237882,-75.7773955
WO Stinson &amp; Son,"4728 Bank Street, Ottawa, ON K1T 3W7","Gas Stations, Convenience Stores, Propane",NA,45.3241221,-75.5965773
Circle K,"1856 Robertson RD, OTTAWA, Canada","car_wash, gas, diesel, atm, coffee",NA,45.3271403,-75.8197411
Mac's,"1031 Teron Rd., KANATA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3305788,-75.9003508
Quickie,"4505 BANK STREET, Ottawa, Ontario, K1T 3W5",NA,613-822-2301,45.331419,-75.5996245
Quickie,"1 CHARTWELL AVENUE, Ottawa, Ontario, K2G 4C6",NA,613-226-7676,45.3323407,-75.7701227
Keyur Tuck Shop,"33 Banner Rd, Nepean, ON K2H 8V7",Convenience Stores,NA,45.3328836,-75.7864359
Circle K,"2162 Prince Of Wales DR, NEPEAN, Canada","car_wash, gas, diesel, atm, polar_pop, froster, redbull_shop",NA,45.3333553,-75.7018235
Circle K,"1545 Woodroffe Ave., NEPEAN, Canada","car_wash, gas, diesel, atm, coffee, polar_pop, froster",NA,45.3343192,-75.7517676
Uplands Minimart,"20 Curtis Private, Gloucester, ON K1V 7M1",Convenience Stores,NA,45.3358568,-75.6677476
Circle K,"2545 Baseline RD, OTTAWA, Canada","car_wash, gas, atm",NA,45.3421276,-75.7863083
Andy’s Variety Store,"178 Meadowlands Dr W, Nepean, ON K2G 2S6",Convenience Stores,NA,45.3422601,-75.7555122
Circle K,"479 March RD, KANATA, Canada","car_wash, gas, diesel, coffee, polar_pop, froster",NA,45.3423152,-75.9171222
Rene’s Corner,"4490 Anderson Road, Carlsbad Springs, ON K0A 1K0",Convenience Stores,NA,45.3423997,-75.5249528
Petro-Canada,"1431 Woodroffe Ave, Nepean, ON K2G 1V9",Gas Stations,NA,45.3426229,-75.7564534
Circle K,"3705 Riverside DR, OTTAWA, Canada","car_wash, gas, atm, coffee",NA,45.3426999,-75.6904138
Petro-Canada,"690 Hunt Club Road, Ottawa, ON K1V 1C3",Gas Stations,NA,45.3429899,-75.669964
Esso Imperial Oil,"1660 Merivale Rd, Nepean, ON K2G 3K4",Convenience Stores,NA,45.3434663,-75.729508
Circle K,"4000 Bridle Path, GLOUCESTER, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,45.3483871,-75.6457041
Circle K,"1402 Highgate Street, OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3489085,-75.7698565
Quickie,"350 VIEWMOUNT DRIVE, Ottawa, Ontario, K2E 7T5",NA,613-224-4389,45.3489862,-75.7149353
Royal Food Market,"2895 Bank St, Gloucester, ON K1T 1N2",Convenience Stores,NA,45.3490273,-75.626724
Circle K,"1584 Merivale RD, NEPEAN, Canada","car_wash, gas, diesel, atm, coffee, redbull_shop",NA,45.3502812,-75.7336488
Quickie,"3332 McCARTHY ROAD, Ottawa, Ontario, K1V 0H9",NA,613-526-1230,45.351192,-75.6702828
Petro-Canada,"3095 Carling Ave, Ottawa, ON K2H 5A5","Gas Stations, Convenience Stores",NA,45.3537471,-75.8088174
Hasty Market,"1896 Prince Of Wales Drive, Ottawa, ON K2C 3W9",Convenience Stores,NA,45.3538415,-75.7048504
Shell Canada,"1548 Merivale Road, Nepean, ON K2G 3J8","Gas Stations, Convenience Stores",NA,45.3542357,-75.7361925
Circle K,"1827 Baseline Rd., OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3548571,-75.7559696
Ultramar,"1543 Merivale Rd, Ottawa, ON K2G","Gas Stations, Convenience Stores",NA,45.3549754,-75.7354285
Food Frenz,"2910 Carling Avenue, Ottawa, ON K2B 7J7",Convenience Stores,NA,45.3566719,-75.8006858
Quickie,"1661 HUNT CLUB ROAD, Ottawa, Ontario, K1T 3Z3",NA,613-248-9160,45.3603146,-75.6315224
Quickie,"1356-1366 CLYDE AVENUE, UNIT 13, Nepean, Ontario, K2C 3Z4",NA,613-422-1366,45.36224,-75.7407585
Quickie,"361 POULIN AVENUE, Ottawa, Ontario, K2B 5V2",NA,613-829-5073,45.3630049,-75.7917297
Circle K,"2100 Hunt Club RD, OTTAWA, Canada","car_wash, gas, atm",NA,45.3640141,-75.6196172
Super Convenience Mart,"1-25 Tapiola Crescent, Ottawa, ON K1T 2J7",Convenience Stores,NA,45.364169,-75.6468662
Quickie,"1386 RICHMOND ROAD, Ottawa, Ontario, K2B 8L4",NA,613-820-0204,45.3651059,-75.7877922
Mac's,"888 Meadowlands Dr. E., OTTAWA, Canada","coffee, polar_pop, froster, redbull_shop",NA,45.3671249,-75.7025045
Hasty Market,"2361 Carling Avenue, Ottawa, ON K2B 8E5",Convenience Stores,NA,45.367192,-75.7790651
Ultramar Carlsbad Variety,"6500 Russel Road, Ottawa, ON K0A 1K0","Gas Stations, Convenience Stores, Beer, Wine &amp; Spirits",NA,45.3689882,-75.4556709
Quickie,"4 LORRY GREENBERG DRIVE, Ottawa, Ontario, K1G 5H6",NA,613-739-8493,45.3691281,-75.6209221
Peter Tuck Shop,"1435 Prince of Wales Dr, Ottawa, ON K2C 1N5",Convenience Stores,NA,45.3691818,-75.7006377
Convenience Store Best Service,"2249 Carling Ave, Ottawa, ON K2B 7E9",Convenience Stores,NA,45.3692691,-75.7744008
Dynes Express,"890 Dynes Rd, Ottawa, ON K2C 0G8",Convenience Stores,NA,45.3699579,-75.7046893
Hasty Market,"1234 Merivale Rd, Ottawa, ON K2C 4C3",Convenience Stores,NA,45.3705594,-75.7332882
Circle K,"780 Baseline Rd., OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3705807,-75.7172098
Vic’s Tuck Shop,"1375 Prince of Wales Dr, Ottawa, ON K2C 3L5",Convenience Stores,NA,45.3709943,-75.7020901
Daily Convenience,"1220 Merivale Rd, Ottawa, ON K1Z 8P2",Convenience Stores,NA,45.3717162,-75.7335133
Tuck Shop,"1171 Ambleside Dr, Ottawa, ON K2B 8E1",Convenience Stores,NA,45.3725335,-75.7820876
Quickie,"1435 CALDWELL AVE., Ottawa, Ontario, K1Z 8L3",NA,613-729-8912,45.372816,-75.7349302
Brookfield Restaurant &amp; Catering,"704 Brookfield Road, Ottawa, ON K1V 6J4","Breakfast &amp; Brunch, Delis, Lebanese",NA,45.372897,-75.6894821
International News,"2121 Avenue Carling, Ottawa, ON K2A 1H2",Newspapers &amp; Magazines,NA,45.3731497,-75.7686794
Alta Juba Supermarket,"2925 Albion Road N, Ottawa, ON K1V 8Z3",Convenience Stores,NA,45.3732236,-75.6537531
Circle K,"1420 Walkley Road, OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3734543,-75.6535618
Parkway Tuck Shop,"1071 Ambleside Dr, Ottawa, ON K2B 6V4",Convenience Stores,NA,45.374187,-75.7801139
Petro Canada,"1856 Carling Avenue, Ottawa, ON K2A 1E3",Gas Stations,NA,45.3757622,-75.7571659
Circle K,"1859 Carling Ave., OTTAWA, Canada","car_wash, gas, atm, coffee",NA,45.3762849,-75.7573774
Olympic Tuck Shop,"1170 Fisher Ave, Ottawa, ON K1Z 5R7",Convenience Stores,NA,45.3768531,-75.7208795
Maple Tuck Shop,"1150 Fisher Ave, Ottawa, ON K1Z 8M6",Convenience Stores,NA,45.3775357,-75.7215341
Circle K,"1600 Bank ST, OTTAWA, Canada","car_wash, gas, diesel, atm, redbull_shop",NA,45.3781328,-75.6677458
Purbany Enterprise,"1036 Merivale Road, Ottawa, ON K1Z 6A7",Convenience Stores,NA,45.3789353,-75.7334834
Mac's,"1025 Merivale Rd., OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3789466,-75.7328982
Quickie,"1780 HERON ROAD, Ottawa, Ontario, K1V 6A1",NA,613-737-9008,45.3802885,-75.6396287
Riverside Service Centre,"1540 Bank St, Ottawa, ON K1H",Gas Stations,NA,45.3805255,-75.6685385
Richmond Mart,"747 Richmond Rd, Ottawa, ON K2A 0G6",Convenience Stores,NA,45.382657,-75.7701135
Circle K,"1970 Walkley RD, OTTAWA, Canada","EU_ROUTEX_ATLAS, EU_TRUCKDIESEL_NETWORK, car_wash, gas, diesel, atm, redbull_shop",NA,45.3829499,-75.6307122
Ultramar Ltee,"3199 Hawthorne Road, Ottawa, ON K1G 3V8",Convenience Stores,NA,45.3829528,-75.6015275
Pipeline Truck Stop,"Glenfield Road, Ottawa, ON K1G 5N3","Gas Stations, Convenience Stores",NA,45.3838331,-75.600742
One Stop Convenience,"850 Merivale Rd, Ottawa, ON K1Z 5Z4",Convenience Stores,NA,45.3852417,-75.732678
Bambeeno’s Tuck Shop,"2201 Riverside Dr, Ottawa, ON K1H 8K9",Convenience Stores,NA,45.38841,-75.6745825
Riverside Mart,"1335 Bank St, Ottawa, ON K1H 7X8",Convenience Stores,NA,45.3888422,-75.676649
Circle K,"2213 Arch St., OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill",NA,45.3895238,-75.6304321
Darvesh Gas Grocery LCBO &amp; Beer Store,"3084 Kinburn Side Road, Kinburn, ON K0A 2H0","Gas Stations, Beer, Wine &amp; Spirits, Convenience Stores",NA,45.391489,-76.1885617
Ottawa South Groceteria,"435 Sunnyside Avenue, Ottawa, ON K1S 0S6",Grocery,NA,45.3916631,-75.6899175
Quickie,"1166 BANK STREET, Ottawa, Ontario, K1S 3X8",NA,613-730-1113,45.392441,-75.6825306
Circle K,"256 Richmond Rd., OTTAWA, Canada","gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.393417,-75.750335
Timmy’s Convenience,"2660 Southvale Crescent, Ottawa, ON K1B 4W5",Convenience Stores,NA,45.394834,-75.6100638
Amjad Syed,"1016 Pleasant Park Rd, Ottawa, ON K1G 2A1",Convenience Stores,NA,45.3952009,-75.6223817
Couche-Tard,"209 Chemin d'Aylmer, LAVAL, CA","diesel, public_restrooms, atm, ca_coffee",NA,45.3959535,-75.8322898
Sherwood Supermarket,"111 Sherwood Drive, Ottawa, ON K1Y 3V1","Grocery, Delis",NA,45.3961984,-75.7133342
India Food Centre &amp; Convenience,"1433 Wellington Street W, Ottawa, ON K1Y 2X4",Convenience Stores,NA,45.3978516,-75.7413481
Rema Convenience Store,"1263 Wellington St W, Ottawa, ON K1Y 3A6",Convenience Stores,NA,45.399495,-75.7335015
Hasty Market,"1224 Wellington St W, Ottawa, ON K1Y 3A1","Convenience Stores, Grocery",NA,45.3997284,-75.7312123
Di Rienzo’s,"111 Beech Street, Ottawa, ON K1S 4P1","Sandwiches, Grocery, Delis",NA,45.4000201,-75.7120537
Petro Canada,"Wellington, Ottawa, ON K1Y","Gas Stations, Convenience Stores",NA,45.4004397,-75.7300647
Kowther’s Tuck Shop,"1785 Riverside Dr, Ottawa, ON K1G 3T7",Convenience Stores,NA,45.4013494,-75.6657472
Shiv Sky Store,"1833 Riverside Dr, Ottawa, ON K1G 0E8",Convenience Stores,NA,45.4017636,-75.6668854
Riverside Place Tuck Shop,"1755 Riverside Dr, Ottawa, ON K1G 3T6",Convenience Stores,NA,45.4020196,-75.6652827
Melrose Grocery Store,"1082 Wellington St W, Ottawa, ON K1Y 2Y5",Convenience Stores,NA,45.4031558,-75.7250742
Quickie,"655 BRONSON AVE., Ottawa, Ontario, K1S 4E7",NA,613-238-1948,45.4034352,-75.7008307
Charlies Groceteria,"220 Carruthers Avenue, Ottawa, ON K1Y 1N9","Grocery, Delis, Laundromat",NA,45.4043024,-75.7281375
Circle K,"1023 Wellington Street, OTTAWA, Canada","atm, coffee, polar_pop, froster",NA,45.4047842,-75.723925
Roma Confectionery,"258 Rochester St, Ottawa, ON K1R 7N1",Convenience Stores,NA,45.406023,-75.7104354
Store Homeland,"46 Garland St, Ottawa, ON K1Y 2A7",Convenience Stores,NA,45.4063636,-75.7243021
Quickie,"163 BELL STREET NORTH, Ottawa, Ontario, K1R 7E1",NA,613-236-5054,45.4067476,-75.705678
Lyndale Corner Food Mart,"60 Lyndale Avenue, Ottawa, ON K1Y 2M8",Convenience Stores,NA,45.4071673,-75.7308767
MD Tuck Shop,"1551 Riverside Dr, Ottawa, ON K1G 4B5",Convenience Stores,NA,45.408483,-75.6627191
Riverbreeze Tuck Shop,"1541 Riverside Dr, Ottawa, ON K1G 4E2",Convenience Stores,NA,45.409144,-75.662675
Domestic Foods,"595 Gladstone Ave, Ottawa, ON K1R 5P2","Grocery, Convenience Stores",NA,45.4092318,-75.7010511
Mimi’s Food Market Express,"549 Gladstone Ave, Ottawa, ON K1R 6E5",Convenience Stores,NA,45.4099135,-75.6994313
Saigon Meats &amp; Vegetables,"777 Somerset Street W, Ottawa, ON K1R 6R3","Grocery, Convenience Stores",NA,45.4100018,-75.7100384
Mike’s Corner Store,"44 Elm St, Ottawa, ON K1R 6N1",Convenience Stores,NA,45.4103193,-75.7125998
Petro Canada,"676 Somerset Street W, Ottawa, ON K1R 6P3","Gas Stations, Convenience Stores",NA,45.4112569,-75.7059129
Chuck’s Deli &amp; Convenience,"100 Trainyards Drive, Ottawa, ON K1G 3S5","Convenience Stores, Delis",NA,45.4125374,-75.6466372
Kara’s Convenience Stores,"475 Elgin St, Ottawa, ON K2P 2E6",Convenience Stores,NA,45.4126854,-75.6852682
Cambridge Food Mart,"72 Cambridge St N, Ottawa, ON K1R 7A7",Convenience Stores,NA,45.4127557,-75.7077981
Lx &amp; Lz Variety,"440 Gloucester St, Ottawa, ON K1R 7T8",Convenience Stores,NA,45.4140798,-75.7067335
Bravo Corner,"312 Bank St, Ottawa, ON K2P 1Y1",Convenience Stores,NA,45.4145679,-75.6958437
Circle K,"1494 Innes RD, GLOUCESTER, Canada","car_wash, gas, diesel, atm",NA,45.4146989,-75.6045069
Massine’s Your Independent Grocer,"296 Bank Street, Ottawa, ON K2P 1X8",Grocery,NA,45.4149887,-75.6963375
North Bestone,"190 Lees Avenue, Golden Triangle, ON K1S 5S9",Convenience Stores,NA,45.4151826,-75.6697825
180 Food Market,"180 Lees Ave, Ottawa, ON K1S 5P3",Convenience Stores,NA,45.4153548,-75.6708025
Quickie,"348 ELGIN STREET, Ottawa, Ontario, K2P 1M6",NA,613-695-7778,45.4157122,-75.6886654
Royal Varity,"260 Bank Street, Ottawa, ON K2P 1X4",Convenience Stores,NA,45.4160833,-75.6971684
Slater Street Market,"427 Laurier West, Ottawa, ON K1R 1B9",Convenience Stores,NA,45.4172318,-75.7025806
Zesty Market,"280 Elgin St, Ottawa, ON K2P 1M2",Convenience Stores,NA,45.4174483,-75.6902436
Marcello’s,"407 Laurier Avenue W, Ottawa, ON K1R 7Y7","Buffets, Delis",NA,45.4176063,-75.7020495
Country Style,"340 Laurier Ave W, Ottawa, ON K1P 5K3",Convenience Stores,NA,45.4179829,-75.6998984
Moe’s Convenience Store,"1665 Cyrville Road, Gloucester, ON K1B 3L7",Convenience Stores,NA,45.418213,-75.6081073
O’connor Convenience,"110 O'connor Street, Ottawa, ON K1P 5M9",Convenience Stores,NA,45.4197951,-75.6977346
Zoba Convenience Store,"81 Bank St, Ottawa, ON K1P 5N2",Convenience Stores,NA,45.4208228,-75.7008112
Ceci Cela Convenient Store,"50 O'connor St, Ottawa, ON K1P 6L2",Convenience Stores,NA,45.4208307,-75.6989356
Desh Grocery,"103 Mann Ave, Ottawa, ON K1N 5Y8",Convenience Stores,NA,45.4211628,-75.6724142
Parkway Cafe,"66 Slater Street, Ottawa, ON K1P 5H1",Convenience Stores,NA,45.4213601,-75.6942895
Quickie,"287A SOMERSET STREET EAST, Ottawa, Ontario, K1N 6V7",NA,613-233-0016,45.4236943,-75.6765377
Michael’s Confectionary,"287 Somerset St E, Ottawa, ON K1N 6V7","Grocery, Convenience Stores",NA,45.4237649,-75.6766297
Circle K,"395 Daniel St, South, ARNPRIOR, Canada","gas, diesel, atm, coffee, redbull_shop",NA,45.423815,-76.3692219
Gateway Newstand,"50 Rideau St, Ottawa, ON K1N 9J1",Convenience Stores,NA,45.4252795,-75.6929819
Convenience Store Remac,"487 Cumberland Street, Ottawa, ON K1N 7K1",Convenience Stores,NA,45.4262919,-75.6859216
Fas Gas &amp; Crystal Wash,"1111 Ogilvie Road, Ottawa, ON K1J 7P7",Gas Stations,NA,45.426329,-75.6323658
Sammy’s Corner Confectionary,"1076 St Laurent Blvd, Ottawa, ON K1K 3B4",Convenience Stores,NA,45.4263396,-75.6388927
Midori Market,"3689 Navan Rd, Ottawa, ON K4B 1H9","Pizza, Convenience Stores",NA,45.4265805,-75.4890519
M &amp; A Convenience Store,"178 Rideau Street, Ottawa, ON K1N 5X6",Convenience Stores,NA,45.427146,-75.689152000000007
Circle K,"2063 Meadowbrook Rd., GLOUCESTER, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.427358,-75.6013072
Byward Market News,"55 ByWard Market Sq, Ottawa, ON K1N 9C3",Grocery,NA,45.427449,-75.6923646
Quickie,"431 DONALD STREET, Ottawa, Ontario, K1K 1L8",NA,613-748-0641,45.4284426,-75.6493299
York Convenience Store,"180 York St, Ottawa, ON K1N 1J6",Convenience Stores,NA,45.4296856,-75.6885901
Min-A-Mart,"158 McArthur Ave, Ottawa, ON K1L 8C9",Convenience Stores,NA,45.4306706,-75.6632267
Star Convenience &amp; Fast Food,"2592 Innes Rd, Ottawa, ON K1B 4Z6",Convenience Stores,NA,45.4310038,-75.5653349
Quickie,"490 RIDEAU STREET, Ottawa, Ontario, K1N 8L4",NA,613-789-5454,45.431362,-75.6789385
Cards &amp; Mags Plus,"25 McArthur Ave, Vanier, ON K1L 6R3",Convenience Stores,NA,45.4313724,-75.667942
A2Z Food Centre,"489 Rideau St, Ottawa, ON K1N 5Z5",Convenience Stores,NA,45.4317166,-75.6792161
Silver City Food Market,"1437 Ogilvie Rd, Ottawa, ON K1J 7P3",Convenience Stores,NA,45.4318679,-75.6184619
Circle K,"2672 Innes Rd., GLOUCESTER, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.4320149,-75.56268
Cummings Convenience Store,"969 Cummings Ave, Gloucester, ON K1J 7R9",Convenience Stores,NA,45.4320779,-75.6344962
International News,"1980 Ogilvie Rd, Ottawa, ON K1J 9L3",Convenience Stores,NA,45.4325275,-75.6098258
Hasty Market,"596 Rideau St, Ottawa, ON K1N 6A2",Convenience Stores,NA,45.4329124,-75.6754193
Dona’s Friendly Store,"157 Cathcart St, Ottawa, ON K1N 5C1",Convenience Stores,NA,45.4336358,-75.695023
Blue Nile Grocery Store,"168 King Edward Ave, Ottawa, ON K1N 7L3",Convenience Stores,NA,45.433828,-75.6904511
