name,address,phone,note,update_date,lat,lng,chain,category2,category3,ONS_ID,Nbhd,Nbhd_FR
Amjad Syed,"1016 Pleasant Park Rd, Ottawa, ON K1G 2A1",NA,Convenience Stores,2021-08-26,45.3952009,-75.6223817,FALSE,convenience,regular,919,Elmvale - Canterbury, 
Anabia Cupcakery CafÃƒÂ©,"3570 Strandherd Drive, Ottawa, ON K2J 5L4",NA,"Desserts, Coffee &amp; Tea",2021-08-26,45.2751492,-75.7375557,FALSE,specialty,bakery,937,Old Barrhaven East,Old Barrhaven Est
Anderson Farm,"8435 Franktown Road, Ashton, ON K0A 1B0",NA,"Farmers' Market, Specialty Food",2021-08-26,45.1293511,-75.9533593,FALSE,farmer's market,farmer's market,67,Munster - Ashton, 
Andy's Variety Store,"178 Meadowlands Dr W, Nepean, ON K2G 2S6",NA,Convenience Stores,2021-08-26,45.3422601,-75.7555122,FALSE,convenience,regular,31,Cityview - Crestview - Meadowlands, 
Anna Mae's Cakery,"40 Zokol Cres, Ottawa, ON K2K 2K4",NA,Bakeries,2021-08-26,45.3253371,-75.9160943,FALSE,specialty,bakery,928,Kanata Lakes - Arcardia, 
Apos Convenience,"2143 Carp Road RR 3, Carp, ON K0A 1L0",NA,Convenience Stores,2021-08-26,45.2732931,-75.953511,FALSE,convenience,regular,951,Stittsville, 
Aqua Fuchsia Foods,"1325 Humber Pl, Ottawa, ON K1B 5K9",NA,NA,2021-08-26,45.4026674,-75.6058855,FALSE,grocery,small,917,East Industrial,Industriel-Est
Aramark,"285 Coventry Road, Ottawa, ON K1K 4G5",NA,Delis,2021-08-26,45.4216785,-75.6536112,FALSE,specialty,deli meat cheese,940,Overbrook - McArthur, 
Arlington Five,"5 Arlington Avenue, Ottawa, ON K2P 1C1",NA,"Coffee &amp; Tea, Sandwiches",2021-08-26,45.4101361,-75.6929269,FALSE,specialty,deli meat cheese,24,Centretown,Centre-Ville
AromessÃƒÂ¶ CafÃƒÂ©,"8555 Campeau Drive, Ottawa, ON K2T 0K5",NA,"Coffee &amp; Tea, Bakeries, Creperies",2021-08-26,45.3058837,-75.923067,FALSE,specialty,bakery,928,Kanata Lakes - Arcardia, 
Around the Block Butcher Shop,"1117 Cobden Rd, Ottawa, ON K2C 2Z1",NA,NA,2021-08-26,45.3527102,-75.7779049,FALSE,grocery,small,54,Iris - Queensway Terrance South,Iris - Queensway Terrance Sud
Art Is In Bakery,"250 City Centre Avenue, Ottawa, ON K1R 1C7",NA,"Bakeries, Sandwiches",2021-08-26,45.4081821,-75.7181931,FALSE,specialty,bakery,957,West Centretown,Centre-Ville Ouest
ARTISTIC CAKE DESIGN,"1390 Clyde Ave. #106, Nepean, ON K2G 3H0",NA,NA,2021-08-26,45.359221,-75.7392358,FALSE,specialty,bakery,31,Cityview - Crestview - Meadowlands, 
Arturo's Ristorante,"94 Beechwood Ave, Ottawa, ON K1M 1L9",NA,"Pizza, Italian",2021-08-26,45.4406877,-75.6742567,FALSE,specialty,deli meat cheese,953,Vanier North,Vanier Nord
Arum Korean Market (Centertown),"508 Bank St, Ottawa, ON K2P 1Z4",NA,NA,2021-08-26,45.410256,-75.6926398,FALSE,grocery,small,24,Centretown,Centre-Ville
Arum Korean Market (Downtown),"300 Laurier Ave W, Ottawa, ON K1A 1J2",NA,NA,2021-08-26,45.4186067,-75.6979476,FALSE,grocery,small,24,Centretown,Centre-Ville
Arum Restaurant and Market,"512 Bank St, Ottawa, ON",(613) 230-8488,"Grocery, Korean",2021-07-06,45.4098726,-75.69262,FALSE,grocery,small,24,Centretown,Centre-Ville
ARYA FOOD MARKET,"508 Gladstone Ave, Ottawa, ON K1R 5P1",NA,NA,2021-08-26,45.4099336,-75.6982053,FALSE,grocery,small,24,Centretown,Centre-Ville
Asian Grocer,"1581 Bank Street, Ottawa, ON",(613) 321-0773,Grocery,2021-07-06,45.3794058,-75.6674463,FALSE,grocery,small,903,Billings Bridge - Alta Vista, 
Athena Gourmet Greek imports,"368 Bank St, Ottawa, ON K2P 1Y4",NA,NA,2021-08-26,45.4138564,-75.695289,FALSE,grocery,small,24,Centretown,Centre-Ville
Aux DÃƒÂ©lices Boulangerie Et Patisserie / Bakery & Pastry Shop,"32 Byward Market Sq, Ottawa, ON K1N 7A2",NA,"Bakeries, Desserts",2021-08-26,45.4276884,-75.6930478,FALSE,specialty,bakery,908,Byward Market,Marché By
Awami Bazaar,"26 Northside Rd Unit 18, Nepean, ON K2H 5Z3",NA,NA,2021-08-26,45.3295166,-75.8138026,FALSE,grocery,small,6,Bells Corners East,Bells Corners Est
B & B Foods,"2825 Sheffield Rd, Ottawa, ON K1B 3V8",NA,Health Food Store,2021-08-26,45.3968609,-75.6000744,FALSE,specialty,health store,917,East Industrial,Industriel-Est
Babi's Restaurant,"21 Nadolny Sachs Private, Ottawa, ON K2A 1R9",NA,"Kosher, Bakeries",2021-08-26,45.3759104,-75.7517995,FALSE,specialty,bakery,910,Carlingwood West - Glabar Park - McKellar Heights, 
Bagel Bagel,"1616 Michael Street, Ottawa, ON K1B 3T7",NA,"Bakeries, Desserts, Bagels",2021-08-26,45.4094299,-75.6255254,FALSE,specialty,bakery,917,East Industrial,Industriel-Est
Baghlan Market,"385 Tompkins Ave unit 2a, OrlÃ¢Ë†Å¡Ã‚Â©ans, ON K1E 3H4",NA,NA,2021-08-26,45.4774353,-75.4985302,FALSE,grocery,small,943,Queenswood Heights, 
Bakker's General Store,"1004 Manotick Station Road, Ottawa, ON",(613) 822-1659,"Imported Food, Delis, International Grocery",2021-07-06,45.2557894,-75.6246552,FALSE,grocery,small,64,Manotick, 
Baltyk Delicatessen,"935 Carling Avenue, Ottawa, ON",(613) 761-7450,"Delis, Sandwiches",2021-07-06,45.3955891,-75.7132488,FALSE,grocery,small,957,West Centretown,Centre-Ville Ouest
Bambeeno's Tuck Shop,"2201 Riverside Dr, Ottawa, ON K1H 8K9",NA,Convenience Stores,2021-08-26,45.38841,-75.6745825,FALSE,convenience,regular,903,Billings Bridge - Alta Vista, 
Banaue Sari Sari Store,"3023 Cedarview Road, Ottawa, ON",(613) 440-0273,"Grocery, Caribbean, Vietnamese",2021-07-06,45.2660293,-75.7713906,FALSE,grocery,small,938,Old Barrhaven West,Old Barrhaven Ouest
Barada Mart,"105 Shuttleworth Dr., Ottawa, ON K1T 0W7",NA,NA,2021-08-26,45.3182782,-75.5925853,FALSE,grocery,small,921,Findlay Creek, 
Barakat Market,"1656 Bank Street, Ottawa, ON",(613) 737-7722,"Meat Shops, International Grocery",2021-07-06,45.3764222,-75.6669651,FALSE,grocery,small,903,Billings Bridge - Alta Vista, 
Barleygreen Aim Distributor,"57 Sherry Ln, Nepean, ON K2G 3L4",NA,Health Food Store,2021-08-26,45.3294278,-75.7558268,FALSE,specialty,health store,108,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Woodvale - Craig Henry - Manordale - Domaines des Bois d'Arlington
Barrhaven Market,"2900 Woodroffe Avenue, Ottawa, ON",(613) 825-6276,International Grocery,2021-07-06,45.2922857,-75.7289418,FALSE,grocery,small,937,Old Barrhaven East,Old Barrhaven Est
Barwaaqo Food Centre,"385 Tompkins Ave, OrlÃ¢Ë†Å¡Ã‚Â©ans, ON K1E 3H4",NA,NA,2021-08-26,45.4774353,-75.4985302,TRUE,grocery,large,943,Queenswood Heights, 
Barwaaqo Food Centre,"1439 Ogilvie Rd, Gloucester, ON K1J 7P3",NA,NA,2021-08-26,45.4319267,-75.618418,TRUE,grocery,large,912,Carson Grove - Carson Meadows, 
Bashayer Convience Store,"1785 Frobisher Ln, Ottawa, ON K1G 3T7 unit, 302",NA,NA,2021-08-26,45.4012676,-75.6653883,FALSE,grocery,small,947,Riverview, 
Batter Up Bakery,"396 Athlone Avenue, Ottawa, ON K1Z 5M5",NA,Bakeries,2021-08-26,45.3930798,-75.7509123,FALSE,specialty,bakery,958,Westboro, 
Bayscorner,"245 Bay St, Ottawa, ON K1R 5Z4",NA,NA,2021-08-26,45.4154673,-75.7040931,FALSE,grocery,small,24,Centretown,Centre-Ville
BB GÃƒÂ¢teaux,"395 Boulevard Alexandre-TachÃƒÂ©, Gatineau, QC J9A 1M6",NA,"Patisserie/Cake Shop, Desserts, Bakeries",2021-08-26,45.4215108,-75.7460044,FALSE,specialty,bakery,NA,NA,NA
BEARBROOK GAME MEATS INC,"5396 Dunning Rd, Navan, ON K4B 1J1",NA,NA,2021-08-26,45.3731249,-75.3288301,FALSE,specialty,deli meat cheese,955,Vars, 
BeaverTails,"69 George Street, Ottawa, ON K1N 1K1",NA,"Desserts, Chocolatiers &amp; Shops, Hot Dogs",2021-08-26,45.4274347,-75.6916759,FALSE,specialty,bakery,908,Byward Market,Marché By
Beechwood farmer's market,"131b Beechwood Av., Ottawa, ON K1M 1L5",NA,NA,2021-08-26,45.442133,-75.672062,FALSE,grocery,small,933,Lindenlea - New Edinburgh, 
Beechwood Outdoor farmer's market,"Optimiste Park, 43 Ste-CÃ¢Ë†Å¡Ã‚Â©cile St, Ottawa, ON",NA,NA,2021-08-26,45.4425216,-75.6693763,FALSE,grocery,small,953,Vanier North,Vanier Nord
Beirut Boulangerie Et Traiteur,"269 Rue Laramee, Ottawa, ON",(819) 778-3532,"Bakeries, Grocery",2021-07-06,45.4317772,-75.7360091,FALSE,specialty,bakery,NA,NA,NA
Bell Family Farm,"7321 Flewellyn Rd, Stittsville, ON K2S 1B6",NA,NA,2021-08-26,45.2074577,-75.954322,FALSE,grocery,small,67,Munster - Ashton, 
Bell Pastry & Deli Place Du Portage,"50 Rue Victoria, Gatineau, QC J8X 3X1",NA,Caterers,2021-08-26,45.4276446,-75.7127143,FALSE,specialty,deli meat cheese,NA,NA,NA
Benny's All day Resto Bar,"2370 Laurier Street, Clarence-Rockland, ON K4K 1L5",NA,"American (Traditional), Delis, Pizza",2021-08-26,45.5460039,-75.295356,FALSE,specialty,deli meat cheese,NA,NA,NA
Best Beef Butchery,"2335 St. Laurent Blvd, Ottawa, ON K1G 5G6",NA,NA,2021-08-26,45.383079,-75.6206065,FALSE,grocery,small,917,East Industrial,Industriel-Est
Best Price Oriental Market,"484 Hazeldean Road, Ottawa, ON",(613) 836-2831,Grocery,2021-07-06,45.2959208,-75.8900792,FALSE,grocery,small,924,Glen Cairn - Kanata South Business Park,Glen Cairn - Parc d'Affaires Kanata-Sud
Bienvenidos,"1731 St Laurent Boulevard, Ottawa, ON",(613) 618-7239,International Grocery,2021-07-06,45.4056346,-75.6261407,FALSE,grocery,small,917,East Industrial,Industriel-Est
Bigg's Deli & Bar,"1099 St Laurent Boulevard, Ottawa, ON K1K 3B1",NA,"Delis, Sandwiches",2021-08-26,45.4260615,-75.6376717,FALSE,specialty,deli meat cheese,940,Overbrook - McArthur, 
Bilal Farms Butcher Shop,"1741 Cyrville Rd Unit C, Gloucester, ON K1B 3K8",NA,NA,2021-08-26,45.417149,-75.6047832,TRUE,grocery,large,86,Pineview, 
Bilal Farms Butcher Shop,"2953 Carling Ave, Ottawa, ON K2B 8K6",NA,NA,2021-08-26,45.3565128,-75.8025693,TRUE,grocery,large,901,Bayshore - Belltown, 
Black Forest Deli & Cheese,"1500 Bank St, Ottawa, ON K1H 7Z2",NA,"Delis, Specialty Food",2021-08-26,45.3809813,-75.6701018,FALSE,specialty,deli meat cheese,903,Billings Bridge - Alta Vista, 
Black Walnut Bakery,"979 Cameron Street, Ottawa, ON K4C 1A1",NA,Bakeries,2021-08-26,45.5179599,-75.4106861,FALSE,specialty,bakery,916,Cumberland, 
Blooming Bundles - Diaper Cakes,"1466 Comfrey Crescent, Ottawa -Orleans, ON K4A 0L8",NA,Bakeries,2021-08-26,45.4568506,-75.4576171,FALSE,specialty,bakery,942,Portobello South, 
Blue Nile Grocery Store,"168 King Edward Ave, Ottawa, ON K1N 7L3",(613) 562-1532,Convenience Stores,2021-07-06,45.433828,-75.6904511,FALSE,grocery,small,908,Byward Market,Marché By
Bobbie's Pizza & Subs,"1443 Ogilvie Road, Gloucester, ON K1J 7P3",NA,"Sandwiches, Italian, Pizza",2021-08-26,45.4319532,-75.6183487,FALSE,specialty,deli meat cheese,912,Carson Grove - Carson Meadows, 
Bombay Spices Ottawa,"565 W Hunt Club Rd unit-3, Nepean, ON K2G 5W5",NA,NA,2021-08-26,45.3358623,-75.7285727,FALSE,grocery,small,99,Tanglewood, 
BouchÃƒÂ©e Vintage Bite,"35 De Villebois, Gatineau, QC J8T",NA,Bakeries,2021-08-26,45.4926583,-75.7057924,FALSE,specialty,bakery,NA,NA,NA
Boulangerie aux Deux FrÃƒÂ¨res,"146 Rue Principale, Aylmer, QC J9H 3M4",NA,Bakeries,2021-08-26,45.3949408,-75.8419287,FALSE,specialty,bakery,NA,NA,NA
Boulangerie Estoril,"89 Rue Eddy, Gatineau, QC J8X 2W3",NA,Bakeries,2021-08-26,45.4278785,-75.7202969,FALSE,specialty,bakery,NA,NA,NA
Boulangerie Patisserie Buckingham,"415 Av De Buckingham, Gatineau, QC J8L 2G8",NA,Bakeries,2021-08-26,45.5888776,-75.4172159,FALSE,specialty,bakery,NA,NA,NA
Boutique La LumiÃ¢Ë†Å¡Ã‚Â®re,"267 Chemin, Montreal Rd, Vanier, ON K1L 6C4",NA,NA,2021-08-26,45.4367652,-75.6604753,FALSE,grocery,small,953,Vanier North,Vanier Nord
Bravo Corner,"312 Bank St, Ottawa, ON K2P 1Y1",NA,Convenience Stores,2021-08-26,45.4145679,-75.6958437,FALSE,convenience,regular,24,Centretown,Centre-Ville
Bread & Roses Bakery,"323 St Laurent Blvd, Ottawa, ON K1K 2Z5",NA,Bakeries,2021-08-26,45.4501697,-75.6515709,FALSE,specialty,bakery,935,Manor Park, 
Bread & Sons Bakery,"195 Bank Street, Ottawa, ON K2P 1W7",NA,"Bakeries, Delis, Pizza",2021-08-26,45.417717,-75.6981892,FALSE,specialty,bakery,24,Centretown,Centre-Ville
Bread By Us,"1065 Wellington West, Ottawa, ON K1Y 2K2",NA,"Coffee &amp; Tea, Bakeries",2021-08-26,45.4038105,-75.7251502,FALSE,specialty,bakery,47,Hintonburg - Mechanicsville, 
Britannia Coffeehouse,"273 Britannia Road, Ottawa, ON K2B 6W7",NA,"Coffee &amp; Tea, Bakeries",2021-08-26,45.3656178,-75.7960952,FALSE,specialty,bakery,906,Britannia Village, 
Brittany Grocery,"230 Brittany Dr, Ottawa, ON K1K 0R6",NA,NA,2021-08-26,45.4455455,-75.6487248,FALSE,grocery,small,935,Manor Park, 
Brookfield Restaurant & Catering,"704 Brookfield Road, Ottawa, ON K1V 6J4",NA,"Breakfast &amp; Brunch, Delis, Lebanese",2021-08-26,45.372897,-75.6894821,FALSE,convenience,regular,90,Riverside Park,Parc Riverside
Brownloaf Bakery,"268 Elgin St, Ottawa, ON K2P 1M2",NA,Bakeries,2021-08-26,45.417615,-75.6903145,FALSE,specialty,bakery,24,Centretown,Centre-Ville
Budapest Delicatessen,"54 Byward Market Sq, Ottawa, ON K1N 7A2",NA,"Delis, Sandwiches",2021-08-26,45.4273124,-75.6926693,FALSE,specialty,deli meat cheese,908,Byward Market,Marché By
Bulk Barn,"197 Trainyards Drive, Ottawa, ON",(613) 244-0103,"Herbs & Spices, Grocery",2021-07-06,45.413763,-75.64364,TRUE,grocery,large,917,East Industrial,Industriel-Est
Bulk Barn,"2210 Bank St, Ottawa, ON",(613) 247-8618,Grocery,2021-07-06,45.3556337,-75.6546138,TRUE,grocery,large,97,South Keys - Greenboro West,South Keys - Greenboro Ouest
Bulk Barn,"3161 Greenbank Rd, Ottawa, ON",(613) 823-6623,Grocery,2021-07-06,45.2695671,-75.7453866,TRUE,grocery,large,914,Chapman Mills, 
By Grace Food Market,"183 Montreal Rd #6e2, Vanier, ON K1L 6E2",NA,NA,2021-08-26,45.435266,-75.6641002,FALSE,grocery,small,953,Vanier North,Vanier Nord
ByWard Fruit Market,"36 ByWard Market Sq, Ottawa, ON",(613) 241-6542,"Fruits & Veggies, Farmers' Market",2021-07-06,45.4275991,-75.6929651,FALSE,farmer's market,farmer's market,908,Byward Market,Marché By
Byward Market News,"55 ByWard Market Sq, Ottawa, ON K1N 9C3",(613) 562-3325,Grocery,2021-07-06,45.427449,-75.6923646,FALSE,grocery,small,908,Byward Market,Marché By
ByWard Market Square,"55 ByWard Market Square, Ottawa, ON K1N 1K1",NA,Farmers' Market,2021-08-26,45.427449,-75.6923646,FALSE,farmer's market,farmer's market,908,Byward Market,Marché By
C & J Houkayem Honey Bars,"6384 Fortune Dr, Orleans, ON K1C 1Y9",NA,Health Food Store,2021-08-26,45.4755541,-75.5356656,FALSE,specialty,health store,915,Convent Glen - Orléans Woods, 
CafÃƒÂ© Cristal,"240 Kennevale Drive, Ottawa, ON K2J 6B6",NA,Cafes,2021-08-26,45.2648524,-75.7773376,FALSE,specialty,bakery,938,Old Barrhaven West,Old Barrhaven Ouest
Cambridge Food Mart,"72 Cambridge St N, Ottawa, ON K1R 7A7",NA,Convenience Stores,2021-08-26,45.4127557,-75.7077981,FALSE,convenience,regular,957,West Centretown,Centre-Ville Ouest
Canaan Blueberries,"2351 Canaan Rd, Rockland, ON K4K 1K9",NA,Farmers' Market,2021-08-26,45.4952138,-75.3171513,FALSE,farmer's market,farmer's market,NA,NA,NA
Canadian Tire Gas Bar,"9040 County Road 17, Rockland, ON, K4K 1V5",6134464410,NA,2021-08-26,45.546828,-75.3023562,TRUE,convenience,gas station,NA,NA,NA
Canadian Tire Gas Bar,"9020 County Road 17, Rockland, ON, K4K 1V5",6134464589,NA,2021-08-26,45.5463729,-75.303034,TRUE,convenience,gas station,NA,NA,NA
Canadian Tire Gas Bar,"399, boul. Maloney Ouest, Gatineau, QC, J8P 3W1",8196692033,NA,2021-08-26,45.4847617,-75.6649555,TRUE,convenience,gas station,NA,NA,NA
Canadian Tire Gas Bar,"1775 Tenth Line Road, Orleans, ON, K1E 3X2",6135902429,NA,2021-08-26,45.4673466,-75.4910892,TRUE,convenience,gas station,920,Fallingbrook, 
Canadian Tire Gas Bar,"355, boul. de la Carriere, Gatineau, QC, J8Y 6W4",8197774381,NA,2021-08-26,45.4430168,-75.729778,TRUE,convenience,gas station,NA,NA,NA
Canadian Tire Gas Bar,"255, boul. de la Carriere, Gatineau, QC, J8Y 6W4",8197773844,NA,2021-08-26,45.4417629,-75.729061,TRUE,convenience,gas station,NA,NA,NA
Canadian Tire Gas Bar,"2006 Ogilvie Road, Gloucester, ON, K1J 8X3",6137486395,NA,2021-08-26,45.435946,-75.6057919,TRUE,convenience,gas station,3,Beacon Hill South - Cardinal Heights,Beacon Hill Sud - Cardinal Heights
Canadian Tire Gas Bar,"2010 Ogilvie Road, Gloucester, ON, K1J 8X3",6137480637,NA,2021-08-26,45.435066,-75.606445,TRUE,convenience,gas station,3,Beacon Hill South - Cardinal Heights,Beacon Hill Sud - Cardinal Heights
Canadian Tire Gas Bar,"245 Daniel Street South, Arnprior, ON, K7S 3K5",6136236876,NA,2021-08-26,45.4260424,-76.3653663,TRUE,convenience,gas station,NA,NA,NA
Canadian Tire Gas Bar,"375 Daniel Street South, Arnprior, ON, K7S 3K6",6136236551,NA,2021-08-26,45.4257504,-76.3679176,TRUE,convenience,gas station,NA,NA,NA
Canadian Tire Gas Bar,"225 Chemin d'Aylmer, Gatineau, QC, J9H 1A3",8196851717,NA,2021-08-26,45.3961707,-75.8300042,TRUE,convenience,gas station,NA,NA,NA
Canadian Tire Gas Bar,"1176 Heron Road, Ottawa, ON, K1V 6B2",6137312679,NA,2021-08-26,45.3777065,-75.6685725,TRUE,convenience,gas station,903,Billings Bridge - Alta Vista, 
Canadian Tire Gas Bar,"1170 Heron Road, Ottawa, ON, K1V 6B2",6137336776,NA,2021-08-26,45.3776183,-75.66841,TRUE,convenience,gas station,903,Billings Bridge - Alta Vista, 
