rowid,name,address,category2,category3,Nbhd,lat,lng,dataset,phone,chain,nems_code,num_name,name_word,update_date
52,Arturo's Ristorante,"94 Beechwood Ave, Ottawa, ON K1M 1L9",specialty,deli meat cheese,Vanier North,45.4406877,-75.6742567,new,NA,NA,NA,NA,NA,2021-08-26
53,Arum Korean Market (Centertown),"508 Bank St, Ottawa, ON K2P 1Z4",grocery,small,Centretown,45.410256,-75.6926398,new,NA,NA,NA,NA,NA,2021-08-26
54,Arum Korean Market (Downtown),"300 Laurier Ave W, Ottawa, ON K1A 1J2",grocery,small,Centretown,45.4186067,-75.6979476,new,NA,NA,NA,NA,NA,2021-08-26
55,Arum Restaurant and Market,"512 Bank St, Ottawa, ON",grocery,small,Centretown,45.4098726,-75.69262,new,NA,NA,NA,NA,NA,2021-08-26
56,ARYA FOOD MARKET,"508 Gladstone Ave, Ottawa, ON K1R 5P1",grocery,small,Centretown,45.4099336,-75.6982053,new,NA,NA,NA,NA,NA,2021-08-26
57,Asian Grocer,"1581 Bank Street, Ottawa, ON",grocery,small,Billings Bridge - Alta Vista,45.3794058,-75.6674463,new,NA,NA,NA,NA,NA,2021-08-26
58,Athena Gourmet Greek imports,"368 Bank St, Ottawa, ON K2P 1Y4",grocery,small,Centretown,45.4138564,-75.695289,new,NA,NA,NA,NA,NA,2021-08-26
59,Aux Délices Boulangerie Et Patisserie / Bakery & Pastry Shop,"32 Byward Market Sq, Ottawa, ON K1N 7A2",specialty,bakery,Byward Market,45.4276884,-75.6930478,new,NA,NA,NA,NA,NA,2021-08-26
60,Awami Bazaar,"26 Northside Rd Unit 18, Nepean, ON K2H 5Z3",grocery,small,Bells Corners East,45.3295166,-75.8138026,new,NA,NA,NA,NA,NA,2021-08-26
61,B & B Foods,"2825 Sheffield Rd, Ottawa, ON K1B 3V8",specialty,health store,East Industrial,45.3968609,-75.6000744,new,NA,NA,NA,NA,NA,2021-08-26
62,Babi's Restaurant,"21 Nadolny Sachs Private, Ottawa, ON K2A 1R9",specialty,bakery,Carlingwood West - Glabar Park - McKellar Heights,45.3759104,-75.7517995,new,NA,NA,NA,NA,NA,2021-08-26
63,Bagel Bagel,"1616 Michael Street, Ottawa, ON K1B 3T7",specialty,bakery,East Industrial,45.4094299,-75.6255254,new,NA,NA,NA,NA,NA,2021-08-26
64,Baghlan Market,"385 Tompkins Ave unit 2a, OrlÃ¢Ë†Å¡Ã‚Â©ans, ON K1E 3H4",grocery,small,Queenswood Heights,45.4774353,-75.4985302,new,NA,NA,NA,NA,NA,2021-08-26
65,Bakker's General Store,"1004 Manotick Station Road, Ottawa, ON",grocery,small,Manotick,45.2557894,-75.6246552,new,NA,NA,NA,NA,NA,2021-08-26
66,Baltyk Delicatessen,"935 Carling Avenue, Ottawa, ON",grocery,small,West Centretown,45.3955891,-75.7132488,new,NA,NA,NA,NA,NA,2021-08-26
67,Bambeeno's Tuck Shop,"2201 Riverside Dr, Ottawa, ON K1H 8K9",convenience,regular,Billings Bridge - Alta Vista,45.38841,-75.6745825,new,NA,NA,NA,NA,NA,2021-08-26
68,Banaue Sari Sari Store,"3023 Cedarview Road, Ottawa, ON",grocery,small,Old Barrhaven West,45.2660293,-75.7713906,new,NA,NA,NA,NA,NA,2021-08-26
69,Barada Mart,"105 Shuttleworth Dr., Ottawa, ON K1T 0W7",grocery,small,Findlay Creek,45.3182782,-75.5925853,new,NA,NA,NA,NA,NA,2021-08-26
70,Barakat Market,"1656 Bank Street, Ottawa, ON",grocery,small,Billings Bridge - Alta Vista,45.3764222,-75.6669651,new,NA,NA,NA,NA,NA,2021-08-26
71,Barleygreen Aim Distributor,"57 Sherry Ln, Nepean, ON K2G 3L4",specialty,health store,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,45.3294278,-75.7558268,new,NA,NA,NA,NA,NA,2021-08-26
72,Barrhaven Market,"2900 Woodroffe Avenue, Ottawa, ON",grocery,small,Old Barrhaven East,45.2922857,-75.7289418,new,NA,NA,NA,NA,NA,2021-08-26
73,Barwaaqo Food Centre,"385 Tompkins Ave, OrlÃ¢Ë†Å¡Ã‚Â©ans, ON K1E 3H4",grocery,large,Queenswood Heights,45.4774353,-75.4985302,new,NA,NA,NA,NA,NA,2021-08-26
74,Barwaaqo Food Centre,"1439 Ogilvie Rd, Gloucester, ON K1J 7P3",grocery,large,Carson Grove - Carson Meadows,45.4319267,-75.618418,new,NA,NA,NA,NA,NA,2021-08-26
75,Bashayer Convience Store,"1785 Frobisher Ln, Ottawa, ON K1G 3T7 unit, 302",grocery,small,Riverview,45.4012676,-75.6653883,new,NA,NA,NA,NA,NA,2021-08-26
76,Batter Up Bakery,"396 Athlone Avenue, Ottawa, ON K1Z 5M5",specialty,bakery,Westboro,45.3930798,-75.7509123,new,NA,NA,NA,NA,NA,2021-08-26
77,Bayscorner,"245 Bay St, Ottawa, ON K1R 5Z4",grocery,small,Centretown,45.4154673,-75.7040931,new,NA,NA,NA,NA,NA,2021-08-26
78,BB GÃƒÂ¢teaux,"395 Boulevard Alexandre-TachÃƒÂ©, Gatineau, QC J9A 1M6",specialty,bakery,(None),45.4215108,-75.7460044,new,NA,NA,NA,NA,NA,2021-08-26
79,BEARBROOK GAME MEATS INC,"5396 Dunning Rd, Navan, ON K4B 1J1",specialty,deli meat cheese,Vars,45.3731249,-75.3288301,new,NA,NA,NA,NA,NA,2021-08-26
80,BeaverTails,"69 George Street, Ottawa, ON K1N 1K1",specialty,bakery,Byward Market,45.4274347,-75.6916759,new,NA,NA,NA,NA,NA,2021-08-26
81,Beechwood farmer's market,"131b Beechwood Av., Ottawa, ON K1M 1L5",grocery,small,Lindenlea - New Edinburgh,45.442133,-75.672062,new,NA,NA,NA,NA,NA,2021-08-26
82,Beechwood Outdoor farmer's market,"Optimiste Park, 43 Ste-CÃ¢Ë†Å¡Ã‚Â©cile St, Ottawa, ON",grocery,small,Vanier North,45.4425216,-75.6693763,new,NA,NA,NA,NA,NA,2021-08-26
83,Beirut Boulangerie Et Traiteur,"269 Rue Laramee, Ottawa, ON",specialty,bakery,(None),45.4317772,-75.7360091,new,NA,NA,NA,NA,NA,2021-08-26
84,Bell Family Farm,"7321 Flewellyn Rd, Stittsville, ON K2S 1B6",grocery,small,Munster - Ashton,45.2074577,-75.954322,new,NA,NA,NA,NA,NA,2021-08-26
85,Bell Pastry & Deli Place Du Portage,"50 Rue Victoria, Gatineau, QC J8X 3X1",specialty,deli meat cheese,(None),45.4276446,-75.7127143,new,NA,NA,NA,NA,NA,2021-08-26
86,Benny's All day Resto Bar,"2370 Laurier Street, Clarence-Rockland, ON K4K 1L5",specialty,deli meat cheese,(None),45.5460039,-75.295356,new,NA,NA,NA,NA,NA,2021-08-26
87,Best Beef Butchery,"2335 St. Laurent Blvd, Ottawa, ON K1G 5G6",grocery,small,East Industrial,45.383079,-75.6206065,new,NA,NA,NA,NA,NA,2021-08-26
88,Best Price Oriental Market,"484 Hazeldean Road, Ottawa, ON",grocery,small,Glen Cairn - Kanata South Business Park,45.2959208,-75.8900792,new,NA,NA,NA,NA,NA,2021-08-26
89,Bienvenidos,"1731 St Laurent Boulevard, Ottawa, ON",grocery,small,East Industrial,45.4056346,-75.6261407,new,NA,NA,NA,NA,NA,2021-08-26
90,Bigg's Deli & Bar,"1099 St Laurent Boulevard, Ottawa, ON K1K 3B1",specialty,deli meat cheese,Overbrook - McArthur,45.4260615,-75.6376717,new,NA,NA,NA,NA,NA,2021-08-26
91,Bilal Farms Butcher Shop,"1741 Cyrville Rd Unit C, Gloucester, ON K1B 3K8",grocery,large,Pineview,45.417149,-75.6047832,new,NA,NA,NA,NA,NA,2021-08-26
92,Bilal Farms Butcher Shop,"2953 Carling Ave, Ottawa, ON K2B 8K6",grocery,large,Bayshore - Belltown,45.3565128,-75.8025693,new,NA,NA,NA,NA,NA,2021-08-26
93,Black Forest Deli & Cheese,"1500 Bank St, Ottawa, ON K1H 7Z2",specialty,deli meat cheese,Billings Bridge - Alta Vista,45.3809813,-75.6701018,new,NA,NA,NA,NA,NA,2021-08-26
94,Black Walnut Bakery,"979 Cameron Street, Ottawa, ON K4C 1A1",specialty,bakery,Cumberland,45.5179599,-75.4106861,new,NA,NA,NA,NA,NA,2021-08-26
95,Blooming Bundles - Diaper Cakes,"1466 Comfrey Crescent, Ottawa -Orleans, ON K4A 0L8",specialty,bakery,Portobello South,45.4568506,-75.4576171,new,NA,NA,NA,NA,NA,2021-08-26
96,Blue Nile Grocery Store,"168 King Edward Ave, Ottawa, ON K1N 7L3",grocery,small,Byward Market,45.433828,-75.6904511,new,NA,NA,NA,NA,NA,2021-08-26
97,Bobbie's Pizza & Subs,"1443 Ogilvie Road, Gloucester, ON K1J 7P3",specialty,deli meat cheese,Carson Grove - Carson Meadows,45.4319532,-75.6183487,new,NA,NA,NA,NA,NA,2021-08-26
98,Bombay Spices Ottawa,"565 W Hunt Club Rd unit-3, Nepean, ON K2G 5W5",grocery,small,Tanglewood,45.3358623,-75.7285727,new,NA,NA,NA,NA,NA,2021-08-26
99,BouchÃƒÂ©e Vintage Bite,"35 De Villebois, Gatineau, QC J8T",specialty,bakery,(None),45.4926583,-75.705792400000007,new,NA,NA,NA,NA,NA,2021-08-26
100,Boulangerie aux Deux FrÃƒÂ¨res,"146 Rue Principale, Aylmer, QC J9H 3M4",specialty,bakery,(None),45.3949408,-75.8419287,new,NA,NA,NA,NA,NA,2021-08-26
101,Boulangerie Estoril,"89 Rue Eddy, Gatineau, QC J8X 2W3",specialty,bakery,(None),45.4278785,-75.7202969,new,NA,NA,NA,NA,NA,2021-08-26
102,Boulangerie Patisserie Buckingham,"415 Av De Buckingham, Gatineau, QC J8L 2G8",specialty,bakery,(None),45.588877600000004,-75.4172159,new,NA,NA,NA,NA,NA,2021-08-26
103,Boutique La LumiÃ¢Ë†Å¡Ã‚Â®re,"267 Chemin, Montreal Rd, Vanier, ON K1L 6C4",grocery,small,Vanier North,45.4367652,-75.6604753,new,NA,NA,NA,NA,NA,2021-08-26
104,Bravo Corner,"312 Bank St, Ottawa, ON K2P 1Y1",convenience,regular,Centretown,45.4145679,-75.6958437,new,NA,NA,NA,NA,NA,2021-08-26
105,Bread & Roses Bakery,"323 St Laurent Blvd, Ottawa, ON K1K 2Z5",specialty,bakery,Manor Park,45.4501697,-75.6515709,new,NA,NA,NA,NA,NA,2021-08-26
106,Bread & Sons Bakery,"195 Bank Street, Ottawa, ON K2P 1W7",specialty,bakery,Centretown,45.417717,-75.6981892,new,NA,NA,NA,NA,NA,2021-08-26
107,Bread By Us,"1065 Wellington West, Ottawa, ON K1Y 2K2",specialty,bakery,Hintonburg - Mechanicsville,45.4038105,-75.7251502,new,NA,NA,NA,NA,NA,2021-08-26
108,Britannia Coffeehouse,"273 Britannia Road, Ottawa, ON K2B 6W7",specialty,bakery,Britannia Village,45.3656178,-75.7960952,new,NA,NA,NA,NA,NA,2021-08-26
109,Brittany Grocery,"230 Brittany Dr, Ottawa, ON K1K 0R6",grocery,small,Manor Park,45.4455455,-75.6487248,new,NA,NA,NA,NA,NA,2021-08-26
110,Brookfield Restaurant & Catering,"704 Brookfield Road, Ottawa, ON K1V 6J4",convenience,regular,Riverside Park,45.372897,-75.6894821,new,NA,NA,NA,NA,NA,2021-08-26
111,Brownloaf Bakery,"268 Elgin St, Ottawa, ON K2P 1M2",specialty,bakery,Centretown,45.417615,-75.6903145,new,NA,NA,NA,NA,NA,2021-08-26
112,Budapest Delicatessen,"54 Byward Market Sq, Ottawa, ON K1N 7A2",specialty,deli meat cheese,Byward Market,45.4273124,-75.6926693,new,NA,NA,NA,NA,NA,2021-08-26
113,Bulk Barn,"197 Trainyards Drive, Ottawa, ON",grocery,large,East Industrial,45.413763,-75.64364,new,NA,NA,NA,NA,NA,2021-08-26
114,Bulk Barn,"2210 Bank St, Ottawa, ON",grocery,large,South Keys - Greenboro West,45.3556337,-75.6546138,new,NA,NA,NA,NA,NA,2021-08-26
115,Bulk Barn,"3161 Greenbank Rd, Ottawa, ON",grocery,large,Chapman Mills,45.2695671,-75.7453866,new,NA,NA,NA,NA,NA,2021-08-26
116,By Grace Food Market,"183 Montreal Rd #6e2, Vanier, ON K1L 6E2",grocery,small,Vanier North,45.435266,-75.6641002,new,NA,NA,NA,NA,NA,2021-08-26
117,ByWard Fruit Market,"36 ByWard Market Sq, Ottawa, ON",farmer's market,farmer's market,Byward Market,45.4275991,-75.6929651,new,NA,NA,NA,NA,NA,2021-08-26
118,Byward Market News,"55 ByWard Market Sq, Ottawa, ON K1N 9C3",grocery,small,Byward Market,45.427449,-75.6923646,new,NA,NA,NA,NA,NA,2021-08-26
119,ByWard Market Square,"55 ByWard Market Square, Ottawa, ON K1N 1K1",farmer's market,farmer's market,Byward Market,45.427449,-75.6923646,new,NA,NA,NA,NA,NA,2021-08-26
120,C & J Houkayem Honey Bars,"6384 Fortune Dr, Orleans, ON K1C 1Y9",specialty,health store,Convent Glen - Orléans Woods,45.4755541,-75.5356656,new,NA,NA,NA,NA,NA,2021-08-26
121,CafÃƒÂ© Cristal,"240 Kennevale Drive, Ottawa, ON K2J 6B6",specialty,bakery,Old Barrhaven West,45.2648524,-75.7773376,new,NA,NA,NA,NA,NA,2021-08-26
122,Cambridge Food Mart,"72 Cambridge St N, Ottawa, ON K1R 7A7",convenience,regular,West Centretown,45.4127557,-75.7077981,new,NA,NA,NA,NA,NA,2021-08-26
123,Canaan Blueberries,"2351 Canaan Rd, Rockland, ON K4K 1K9",farmer's market,farmer's market,(None),45.4952138,-75.3171513,new,NA,NA,NA,NA,NA,2021-08-26
124,Canadian Tire Gas Bar,"9040 County Road 17, Rockland, ON, K4K 1V5",convenience,gas station,(None),45.546828,-75.3023562,new,NA,NA,NA,NA,NA,2021-08-26
125,Canadian Tire Gas Bar,"9020 County Road 17, Rockland, ON, K4K 1V5",convenience,gas station,(None),45.5463729,-75.303034,new,NA,NA,NA,NA,NA,2021-08-26
126,Canadian Tire Gas Bar,"399, boul. Maloney Ouest, Gatineau, QC, J8P 3W1",convenience,gas station,(None),45.4847617,-75.6649555,new,NA,NA,NA,NA,NA,2021-08-26
127,Canadian Tire Gas Bar,"1775 Tenth Line Road, Orleans, ON, K1E 3X2",convenience,gas station,Fallingbrook,45.4673466,-75.4910892,new,NA,NA,NA,NA,NA,2021-08-26
128,Canadian Tire Gas Bar,"355, boul. de la Carriere, Gatineau, QC, J8Y 6W4",convenience,gas station,(None),45.4430168,-75.729778,new,NA,NA,NA,NA,NA,2021-08-26
129,Canadian Tire Gas Bar,"255, boul. de la Carriere, Gatineau, QC, J8Y 6W4",convenience,gas station,(None),45.4417629,-75.729061,new,NA,NA,NA,NA,NA,2021-08-26
130,Canadian Tire Gas Bar,"2006 Ogilvie Road, Gloucester, ON, K1J 8X3",convenience,gas station,Beacon Hill South - Cardinal Heights,45.435946,-75.6057919,new,NA,NA,NA,NA,NA,2021-08-26
131,Canadian Tire Gas Bar,"2010 Ogilvie Road, Gloucester, ON, K1J 8X3",convenience,gas station,Beacon Hill South - Cardinal Heights,45.435066,-75.606445,new,NA,NA,NA,NA,NA,2021-08-26
132,Canadian Tire Gas Bar,"245 Daniel Street South, Arnprior, ON, K7S 3K5",convenience,gas station,(None),45.4260424,-76.3653663,new,NA,NA,NA,NA,NA,2021-08-26
133,Canadian Tire Gas Bar,"375 Daniel Street South, Arnprior, ON, K7S 3K6",convenience,gas station,(None),45.4257504,-76.3679176,new,NA,NA,NA,NA,NA,2021-08-26
134,Canadian Tire Gas Bar,"225 Chemin d'Aylmer, Gatineau, QC, J9H 1A3",convenience,gas station,(None),45.3961707,-75.8300042,new,NA,NA,NA,NA,NA,2021-08-26
135,Canadian Tire Gas Bar,"1176 Heron Road, Ottawa, ON, K1V 6B2",convenience,gas station,Billings Bridge - Alta Vista,45.3777065,-75.6685725,new,NA,NA,NA,NA,NA,2021-08-26
136,Canadian Tire Gas Bar,"1170 Heron Road, Ottawa, ON, K1V 6B2",convenience,gas station,Billings Bridge - Alta Vista,45.3776183,-75.66841,new,NA,NA,NA,NA,NA,2021-08-26
137,Canadian Tire Gas Bar,"1660 Merivale Road, Nepean, ON, K2G 3K4",convenience,gas station,Tanglewood,45.3434663,-75.729508,new,NA,NA,NA,NA,NA,2021-08-26
138,Canadian Tire Gas Bar,"2135 Robertson Road, Nepean, ON, K2H 5Z2",convenience,gas station,Bells Corners West,45.3218168,-75.8362395,new,NA,NA,NA,NA,NA,2021-08-26
139,Canadian Tire Gas Bar,"4776 Bank Street, Gloucester, ON, K1T 0K8",convenience,gas station,Findlay Creek,45.3185859,-75.5945576,new,NA,NA,NA,NA,NA,2021-08-26
140,Canadian Tire Gas Bar,"4778 Bank Street, Gloucester, ON, K1T 0K8",convenience,gas station,Findlay Creek,45.3180646,-75.5927572,new,NA,NA,NA,NA,NA,2021-08-26
141,Canadian Tire Gas Bar,"500 Terry Fox Drive, Kanata, ON, K2T 1C3",convenience,gas station,Kanata Lakes - Arcardia,45.3086126,-75.916439,new,NA,NA,NA,NA,NA,2021-08-26
142,Canadian Tire Gas Bar,"2201 Greenbank Road, Nepean, ON, K2J 4Y6",convenience,gas station,Old Barrhaven East,45.2725923,-75.7468452,new,NA,NA,NA,NA,NA,2021-08-26
143,Canadian Tire Gas Bar,"2501 Greenbank Road, Nepean, ON, K2J 4Y6",convenience,gas station,Old Barrhaven East,45.272268,-75.7457082,new,NA,NA,NA,NA,NA,2021-08-26
144,Canal Ritz Restaurant,"375 Queen Elizabeth Drive, Ottawa, ON K1S 5M5",specialty,deli meat cheese,Glebe - Dows Lake,45.4017693,-75.6803244,new,NA,NA,NA,NA,NA,2021-08-26
145,Cantors Bakery & Delicatessen,"255 Albert St, Ottawa, ON K1P 6A9",specialty,bakery,Centretown,45.4197984,-75.7011578,new,NA,NA,NA,NA,NA,2021-08-26
