name,address,phone,Y,X,note,address2,update_date,category,lat,lng,geometry
Al Jabal Bakery,"6469 Jeanne D'arc Boulevard, Ottawa, ON K1C 2R1",NA,NA,NA,"Lebanese, Bakeries",NA,NA,bakery,45.4803399,-75.5370229,"c(380083.031941366, 5038274.930142)"
Mac's,"6469 Jeanne D'Arc Blvd North, OTTAWA, Canada",NA,45.4803399,-75.5370229,"gas, diesel, atm, coffee",NA,NA,convenience,45.4803399,-75.5370229,"c(380083.031941366, 5038274.930142)"
Gagne en SantÃ©,"224 Rue Bellehumeur, Gatineau, QC J8T 8N6",NA,NA,NA,Health Food Store,NA,NA,health store,45.4800691,-75.6933375,"c(367863.080789865, 5038110.26781951)"
La Trappe Ã  Fromage,"200 Rue Bellehumeur, Gatineau, QC J8T 8N6",NA,NA,NA,"Cheese Shops, Delicatessen",NA,NA,deli meat cheese,45.4797008,-75.6932157,"c(367873.01378292, 5038069.43428605)"
Petro-Canada,"3055 St-Joseph Blvd, Orleans, Ontario, K1C1T1",6138301392,45.4783089,-75.5125556,NA,NA,NA,convenience,45.4783089,-75.5125556,"c(381998.592350484, 5038072.44116892)"
General Nutrition,"110 Place D'orleans Dr, Orleans, ON K1C 2L9",NA,NA,NA,Health Food Store,NA,NA,health store,45.4781702,-75.5155571,"c(381764.123697605, 5038054.14816792)"
International News,"110 Place D'orleans Drive, Orleans, ON K1C 2L9",NA,45.4781702,-75.5155571,NA,NA,NA,convenience,45.4781702,-75.5155571,"c(381764.123697605, 5038054.14816792)"
Valentina,"110 Place D'orleans Drive, Orleans, ON K1C 2L9",NA,45.4781702,-75.5155571,Convenience Stores,NA,NA,convenience,45.4781702,-75.5155571,"c(381764.123697605, 5038054.14816792)"
PremiÃ¨re Moisson,"920 Boulevard Maloney O, Gatineau, QC J8T 3R6",NA,NA,NA,Bakeries,NA,NA,bakery,45.4779159,-75.6903002,"c(368102.94109948, 5037873.37125988)"
La BoÃ®te Ã  Grains,"325 Boulevard GrÃ©ber, Gatineau, QC J8T 8J3",NA,NA,NA,Organic Stores,NA,NA,health store,45.4777384,-75.700393,"c(367314.075447295, 5037845.74432363)"
Ultramar,"320, Boulevard Greber, Gatineau, QC, J8T8H4",(819) 561-0905,45.4777091,-75.7014885,NA,NA,NA,convenience,45.4777091,-75.7014885,"c(367228.460601295, 5037841.63654424)"
Farm Boy,"3035 St. Joseph Boulevard, Ottawa, ON K1E 1E1",613-590-1830,45.4777341,-75.51327686,NA,"Ottawa, ON
K1E 1E1",2021-05-14,grocery,45.4776536,-75.5132978,"c(381941.461341388, 5037998.90504095)"
Baghlan Market,"385 Tompkins Ave unit 2a, OrlâˆšÂ©ans, ON K1E 3H4",NA,45.4774353,-75.4985302,NA,NA,NA,grocery,45.4774353,-75.4985302,"c(383096.309112809, 5037988.92882157)"
Barwaaqo Food Centre,"385 Tompkins Ave, OrlâˆšÂ©ans, ON K1E 3H4",NA,45.4774353,-75.4985302,NA,NA,NA,grocery,45.4774353,-75.4985302,"c(383096.309112809, 5037988.92882157)"
Circle K,"385 Tompkins Ave., ORLEANS, Canada",NA,45.4774353,-75.4985302,"atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,NA,convenience,45.4774353,-75.4985302,"c(383096.309112809, 5037988.92882157)"
Orleans Food Market,"3022 St. Joseph Blvd, Orleans, ON K1E 1E2",NA,45.4767757,-75.5135279,"Convenience Stores, Grocery",NA,NA,convenience,45.4767757,-75.5135279,"c(381924.669611073, 5037901.12336535)"
Joe & Lily's No Frills,"1226 Place D'Orleans Drive, Ottawa, ON K1C 7K3",NA,NA,NA,"Grocery, Pharmacy",NA,NA,health store,45.4764991,-75.5228439,"c(381196.698058492, 5037861.48558394)"
NO FRILLS,"1226 Place D'Orleans Dr, Ottawa, Ontario, K1C 7K3",8002962332,45.476686,-75.522756,Brandon & Megan's NOFRILLS (Colleague Testing),"Ottawa, Ontario, K1C 7K3",2021-05-01,grocery,45.4764991,-75.5228439,"c(381196.698058492, 5037861.48558394)"
Shell,"2975 ST. JOSEPH BLVD, ORLEANS, Ontario, K1C 7C2",+1 613 824 3999,45.4759521,-75.5165493,NA,NA,NA,convenience,45.4759521,-75.5165493,"c(381689.570097755, 5037806.70141581)"
Ultramar,"3, avenue Gatineau, Gatineau, QC, J8T4H8",(819) 561-3240,45.4758204,-75.7308871,NA,NA,NA,convenience,45.4758204,-75.7308871,"c(364932.058454099, 5037609.32642647)"
Petro-Canada,"225 de la Gappe, Gatineau, Quebec, J8T7Y3",8192432247,45.4756587,-75.7079356,NA,NA,NA,convenience,45.4756587,-75.7079356,"c(366726.666062523, 5037608.78744929)"
Deli Nicolas,"1100 Maloney Blvd W, Gatineau, QC J8T 6G3",NA,NA,NA,"Delis, Sandwiches",NA,NA,deli meat cheese,45.4756531,-75.6972849,"c(367559.384490083, 5037616.42800906)"
Le Naturiste Jmb,"1100 Maloney Blvd W, Gatineau, QC J8T 6G3",NA,NA,NA,Health Food Store,NA,NA,health store,45.4756531,-75.6972849,"c(367559.384490083, 5037616.42800906)"
Rock'N Deli,"1100 Boulevard Maloney, Gatineau, QC J8T 6G3",NA,NA,NA,"Salad, Sandwiches",NA,NA,deli meat cheese,45.4756531,-75.6972849,"c(367559.384490083, 5037616.42800906)"
C & J Houkayem Honey Bars,"6384 Fortune Dr, Orleans, ON K1C 1Y9",NA,NA,NA,Health Food Store,NA,NA,health store,45.4755541,-75.5356656,"c(380195.524719983, 5037744.35791125)"
ESSO COUCHE-TARD,"725 BOUL DES HAUTES-PLAINES, GATINEAU, QC",NA,45.474538,-75.7719339,NA,NA,NA,convenience,45.474538,-75.7719339,"c(361724.163397967, 5037436.91826373)"
Ottawa Farmers' Market Orleans,"1585 Tenth Line Rd, OrlÃ©ans, ON K1E 3E8",NA,NA,NA,Farmers' Market,NA,NA,farmer's market,45.4719618,-75.4919287,"c(383620.053473618, 5037387.11420095)"
Hyperforme Nutrition,"178 Boulevard GrÃ©ber, Gatineau, QC J8T 6Z6",NA,NA,NA,Health Food Store,NA,NA,health store,45.471695,-75.701866,"c(367205.585268515, 5037172.99773308)"
Pioneer Gas,"2688 ST. JOSEPH BLVD., ORLEANS, ON",NA,45.4716751,-75.5228412,NA,NA,NA,convenience,45.4716751,-75.5228412,"c(381203.428004123, 5037325.39854604)"
Pronto Food Marts,"2688 St Joseph Blvd, Orleans, ON K1C 1G3",NA,45.4716751,-75.5228412,Convenience Stores,NA,NA,convenience,45.4716751,-75.5228412,"c(381203.428004123, 5037325.39854604)"
Mac's,"1985 Trim Road, OTTAWA, Canada",NA,45.4713098,-75.4539885,"car_wash, gas, diesel, atm, coffee, polar_pop, froster, redbull_shop",NA,NA,convenience,45.4713098,-75.4539885,"c(386587.496806278, 5037352.57082262)"
Provigo,"22 Rue Des Flandres, Ottawa, ON",(819) 568-5545,45.27011294,-75.77191948,Grocery,NA,2021-07-06,grocery,45.4711794,-75.7181553,"c(365932.493983482, 5037103.1791699)"
Shell,"1050 BOUL SAINT-JOSEPH, GATINEAU, Quebec, J8Z 1T3",+1 819 772 4194,45.4701334,-75.7376715,NA,NA,NA,convenience,45.4701334,-75.7376715,"c(364407.624873587, 5036972.27716393)"
Pantry Plus,"2433 St Joseph Boulevard, Ottawa, ON",(613) 830-5790,45.46981311,-75.52865506,"Health Food Store, Grocery",NA,2021-07-06,grocery,45.4699453,-75.5284842,"c(380764.529949266, 5037127.81697291)"
SOBEY'S,"5150 Innes Road, Orleans, on, K4A 0G4",613-590-2205,45.46942,-75.45648,Sobeys Trim and Innes,"Orleans, on, K4A 0G4",2021-05-01,grocery,45.469773000000004,-75.4553161,"c(386485.912253878, 5037180.43657306)"
"Al Basha Foods: Groceries, Meats & Take Out Foods","2434 St Joseph Blvd, Ottawa, ON K1C 1H6",NA,45.4690807,-75.5278639,NA,NA,NA,grocery,45.4690807,-75.5278639,"c(380814.194496297, 5037032.32084625)"
METRO,"1675 Tenth Line Road, Orleans, ON K1E 3P6",613-837-2614,45.46971,-75.49086,Metro Fallingbrook,"Orleans, ON K1E 3P6",2021-05-01,grocery,45.4690176,-75.4912331,"c(383678.54870861, 5037060.60892473)"
Yalla Yalla Bakery & Lebanese Food,"2010 Trim Road, Ottawa, ON K1C 1T1",NA,NA,NA,"Lebanese, Bakeries, Imported Food",NA,NA,bakery,45.4685869,-75.4545687,"c(386546.067536041, 5037049.38577605)"
Giant Tiger,"2396 St.Joseph Blvd., Orleans, ON, K1C 1G1",613-830-0079,45.4684687,-75.5286254,NA,NA,NA,convenience,45.4684687,-75.5286254,"c(380755.472692085, 5036963.58955135)"
Petro-Canada,"1685 10th Line Road, Orleans, Ontario, K1E3E8",6138371009,45.4680657,-75.4914231,NA,NA,NA,convenience,45.4680657,-75.4914231,"c(383665.019632005, 5036954.63822371)"
Pharmacie Shoppers Drug Mart,"1937 Boul Portobello, Orleans, ON K4A 4W9",NA,45.4680525,-75.4657987,Convenience Stores,NA,NA,convenience,45.4680525,-75.4657987,"c(385668.718744172, 5036978.63652556)"
L & F Montego Place,"2211 Saint Joseph Boulevard, Ottawa, ON",(613) 830-8377,45.46776158,-75.53328518,International Grocery,NA,2021-07-06,grocery,45.4678575,-75.5333095,"c(380390.022625935, 5036891.25081515)"
Canadian Tire Gas Bar,"1775 Tenth Line Road, Orleans, ON, K1E 3X2",6135902429,45.4673466,-75.4910892,NA,NA,NA,convenience,45.4673466,-75.4910892,"c(383692.131905359, 5036875.05268172)"
Centrale Bergham,"2208 St Joseph Boulevard, Ottawa, ON K1C 1E8",NA,NA,NA,"Burgers, Sandwiches, Halal",NA,NA,deli meat cheese,45.4671816,-75.5324357,"c(380459.253308943, 5036816.96057176)"
Fitness Warehouse,"2095 St Joseph Blvd, Orleans, ON K1C 1E7",NA,NA,NA,Health Food Store,NA,NA,health store,45.4666127,-75.5357775,"c(380198.698180639, 5036750.59840502)"
Ultramar,"108, boulevard Greber, Gatineau, QC, J8T3P8",(819) 561-2222,45.4664669,-75.7008585,NA,NA,NA,convenience,45.4664669,-75.7008585,"c(367290.138137483, 5036592.78355325)"
Mama Rosa,"375 Des Epinettes Avenue, OrlÃ©ans, ON K1E 3E6",NA,NA,NA,"Pizza, Italian",NA,NA,deli meat cheese,45.4661877,-75.4957745,"c(383327.373041891, 5036741.67604826)"
Quickie,"375 DES EÌPINETTES AVE, Cumberland, Ontario, K1E 3E6",613-830-3507,45.4661877,-75.4957745,NA,NA,NA,convenience,45.4661877,-75.4957745,"c(383327.373041891, 5036741.67604826)"
Orleans Bakery,"2122 Street Joseph Boulevard, Orleans, ON K1C 1E6",NA,NA,NA,Bakeries,NA,NA,bakery,45.4660752,-75.5348812,"c(380269.502784653, 5036691.70753471)"
Delightfully Delicious Desserts,"1355 Bakker Court, Ottawa, ON K1C 2K5",NA,NA,NA,"Bakeries, Custom Cakes",NA,NA,bakery,45.4657273,-75.539795,"c(379885.720253777, 5036648.4431188)"
Petro-Canada,"1988 St. Joseph Blvd., Orleans, Ontario, K1C1E4",6138241202,45.4641988,-75.5394021,NA,NA,NA,convenience,45.4641988,-75.5394021,"c(379918.474231279, 5036478.94878691)"
Nickels Deli Grillade,"78 Greber Blvd, Gatineau, QC J8T 3P8",NA,NA,NA,"Delis, Sandwiches",NA,NA,deli meat cheese,45.4640324,-75.7005194,"c(367319.345714337, 5036322.50226079)"
Watkins Produits,"74 Blvd Greber, Gatineau, QC J8T 3P8",NA,NA,NA,Health Food Store,NA,NA,health store,45.463657,-75.7007775,"c(367299.577155207, 5036280.5834905)"
Circle K,"1980 St. Joseph Blvd., ORLEANS, Canada",NA,45.4635594,-75.5404122,"car_wash, gas, diesel, atm",NA,NA,convenience,45.4635594,-75.5404122,"c(379840.333170834, 5036406.94901102)"
NICHOLLS ESSO,"3798 DUNROBIN RD, WOODLAWN, ON",NA,45.4628437,-76.0740486,NA,NA,NA,convenience,45.4628437,-76.0740486,"c(338110.090993578, 5035967.73349365)"
Ultramar,"34, boulevard Mont Bleu, Gatineau, QC, J8Z1J1",(819) 771-9456,45.4625476,-75.7461996,NA,NA,NA,convenience,45.4625476,-75.7461996,"c(363748.706784986, 5036122.98012854)"
Giant Tiger,"55,  boul. GrÃ©ber, Gatineau, QC, J8T 3P7",819-561-3563,45.4625432,-75.6994492,NA,NA,NA,convenience,45.4625432,-75.6994492,"c(367404.683560775, 5036157.84112975)"
Petro-Canada,"47 rue Greber, Gatineau, Quebec, J8T3P7",8195610737,45.4618626,-75.6993677,NA,NA,NA,convenience,45.4618626,-75.6993677,"c(367411.810410147, 5036082.26984871)"
Ultramar,"1797 St-Joseph Boulevard, Orleans, ON, K1C7C6",(613) 830-5360,45.4618541,-75.5484463,NA,NA,NA,convenience,45.4618541,-75.5484463,"c(379214.30624842, 5036209.97029696)"
Shell,"1993 TENTH LINE RD, ORLEANS, Ontario, K4A 4H8",+1 613 837 0357,45.4616725,-75.4871416,NA,NA,NA,convenience,45.4617275,-75.487567,"c(383975.417302137, 5036254.0685646)"
METRO,"4510 Innes Road, Ottawa, ON K4A 4C5",613-824-8850,45.46232,-75.48299,Metro Cumberland,"Ottawa, ON K4A 4C5",2021-05-01,grocery,45.4613368,-75.4841125,"c(384246.118338752, 5036214.05904503)"
Nature's Signature - Orleans Ottawa,"4510 Innes Road, Ottawa, ON K4A 4C5",NA,NA,NA,Vitamins &amp; Supplements,NA,NA,health store,45.4613368,-75.4841125,"c(384246.118338752, 5036214.05904503)"
Rexall,"1615 OrlâˆšÂ©ans Blvd, OrlâˆšÂ©ans, ON K1C 7E2",NA,45.4604249,-75.5247209,NA,NA,NA,grocery,45.4604249,-75.5247209,"c(381071.627116725, 5036073.38366747)"
Maxi,"300 Saint-Joseph Blvd, Ottawa, ON",(819) 777-6551,45.35294435,-75.35530438,Grocery,NA,2021-07-06,grocery,45.460199,-75.5555398,"c(378661.735611523, 5036019.49704887)"
Rhema's African And Caribbean Market,"4380 Innes Rd, OrlâˆšÂ©ans, ON K4A 3W3",NA,45.4599028,-75.4901508,NA,NA,NA,grocery,45.4599028,-75.4901508,"c(383775.904099056, 5036048.74872731)"
Ultramar,"772 ST-JOSEPH, GATINEAU (HULL), QC, J8X4B9",(819) 777-5170,45.459793,-75.74107,NA,NA,NA,convenience,45.459793,-75.74107,"c(364152.741793028, 5035820.63755022)"
YIG,"1619 Orleans Ave, Ottawa, Ontario, K1C 7E2",6138306880,45.459603,-75.524128,Dessureault's Your Independent Grocer Orleans,"Ottawa, Ontario, K1C 7E2",2021-05-01,grocery,45.459603,-75.5241281,"c(381119.095860801, 5035982.60908754)"
Petro-Canada,"4358 Innes Road, Cumberland, Ontario, K4A3W3",6138346533,45.4594606,-75.4911923,NA,NA,NA,convenience,45.4594606,-75.4911923,"c(383695.069811608, 5035998.58449806)"
Farm Boy,"2030 Tenth Line Road, Ottawa, ON K4A 4X4",613-841-4221,45.45973536,-75.48826728,NA,"Ottawa, ON
K4A 4X4",2021-05-14,grocery,45.4584073,-75.4877257,"c(383967.653335742, 5035884.94040272)"
La ferme dâ€šÃ„Ã´OrlâˆšÂ©ans â€šÃ„Ã¬ OrlâˆšÂ©ans Fruit Farm,"1399 St Joseph Blvd, OrlâˆšÂ©ans, ON K1C 7K9",NA,45.4575196,-75.5675579,NA,NA,NA,grocery,45.4582803,-75.5659271,"c(377851.873211538, 5035796.780346)"
Aladdin Bakery,"2020 Lanthier Drive, OrlÃ©ans, ON K4A 3V4",NA,NA,NA,"Bakeries, Lebanese",NA,NA,bakery,45.4582181,-75.4930905,"c(383548.348634659, 5035858.6448196)"
La Soyarie,"94 Rue Adrien-Robert, Gatineau, QC J8Y 3S2",NA,NA,NA,Health Food Store,NA,NA,health store,45.4579171,-75.734558,"c(364664.002780795, 5035616.99877036)"
Ali Baba Bakery,"200 Vanguard Drive, OrlÃ©ans, ON K4A 0T8",NA,NA,NA,Bakeries,NA,NA,bakery,45.4578239,-75.4871421,"c(384014.112237478, 5035820.68249724)"
PÃ¢tisserie Le Caramel,"200 Vanguard Dr, Ottawa, ON K4A 0T8",NA,NA,NA,Desserts,NA,NA,bakery,45.4578239,-75.4871421,"c(384014.112237478, 5035820.68249724)"
Nehles Meat Shop Grocery & BBQ,"2026 Lanthier Dr, Ottawa, ON",(613) 824-3737,45.45763321,-75.49296428,"Meat Shops, Grocery, Barbeque",NA,2021-07-06,grocery,45.4577469,-75.492931,"c(383561.478848839, 5035806.43693719)"
Chocolats Favoris,"180 Vanguard Drive, Orleans, ON K4A 0T8",NA,NA,NA,Chocolatiers &amp; Shops,NA,NA,bakery,45.4575587,-75.48667,"c(384051.405959403, 5035791.6763502)"
Petro-Canada,"744, boul Saint-Joseph, Gatineau, Quebec, J8Y4A8",8197777697,45.4572839,-75.7421205,NA,NA,NA,convenience,45.4572839,-75.7421205,"c(364073.215605704, 5035541.02741981)"
MOBIL@  - 4272,"4270 INNES ROAD, OTTAWA, ON",NA,45.4572295,-75.4953166,NA,NA,NA,convenience,45.4572295,-75.4953166,"c(383375.623310072, 5035746.60383036)"
REAL CANADIAN SUPERSTORE,"4270 Innes Rd, Ottawa, Ontario, K4A 5E6",6138377887,45.456634,-75.495482,"Innes Road, Ottawa, ON (Colleague Testing)","Ottawa, Ontario, K4A 5E6",2021-05-01,grocery,45.4572295,-75.4953166,"c(383375.623310072, 5035746.60383036)"
