rowid,name,address,category2,category3,Nbhd,lat,lng,dataset,update_date,phone,chain,nems_code
15,Afrimarketplace,"269 Greenbank Rd, Nepean, ON K2H 8K9",grocery,small,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,45.3243768,-75.7778245,new,2021-08-26,NA,NA,NA
16,Afro-Caribbean Groceries,"1737 St. Laurent Blvd, Ottawa, ON K1G 3S7",grocery,small,East Industrial,45.4049581,-75.6257207,new,2021-08-26,NA,NA,NA
17,Afro Diva,"1315 Richmond Rd, Ottawa, ON",grocery,small,Britannia Village,45.3681702,-75.7858283,new,2021-08-26,NA,NA,NA
18,Agop's Bakery,"304 McArthur Avenue, Ottawa, ON K1L 6P2",specialty,bakery,Overbrook - McArthur,45.4314616,-75.6559226,new,2021-08-26,NA,NA,NA
19,Al-Manara Food Centre,"4 Lorry Greenberg Dr, Ottawa, ON K1G 5H6",grocery,small,Hunt Club Park,45.3691281,-75.6209221,new,2021-08-26,NA,NA,NA
20,Al-Noor Bakery Halal,"70 Wylie Ave, Ottawa, ON K2B 6M4",grocery,small,Bayshore - Belltown,45.3545843,-75.806847,new,2021-08-26,NA,NA,NA
21,Al-Oumara Meat Shop & Grill,"25 Tapiola Crescent, Ottawa, ON",specialty,deli meat cheese,South Keys - Greenboro West,45.3640092,-75.6466335,new,2021-08-26,NA,NA,NA
22,"Al Basha Foods: Groceries, Meats & Take Out Foods","2434 St Joseph Blvd, Ottawa, ON K1C 1H6",grocery,small,Orléans Village - Chateauneuf,45.4690807,-75.5278639,new,2021-08-26,NA,NA,NA
23,Al Furat meat shop&BBq,"4 Lorry Greenberg Dr, Ottawa, ON K1G 5H6",grocery,small,Hunt Club Park,45.3691281,-75.6209221,new,2021-08-26,NA,NA,NA
24,Al Jabal Bakery,"6469 Jeanne D'arc Boulevard, Ottawa, ON K1C 2R1",specialty,bakery,Convent Glen - Orléans Woods,45.4803399,-75.5370229,new,2021-08-26,NA,NA,NA
25,Al Jazeerah Food and Meat Market,"1101 Wellington Street W, Ottawa, ON",grocery,small,Hintonburg - Mechanicsville,45.4028466,-75.7257886,new,2021-08-26,NA,NA,NA
26,Al Najah Meats,"2335 St. Laurent Blvd #106, Ottawa, ON K1G 5G6",grocery,small,East Industrial,45.3834488,-75.6205782,new,2021-08-26,NA,NA,NA
27,Al Sham Food & Meat Market,"275 Montreal Rd, Ottawa, ON",grocery,small,Vanier North,45.4368769,-75.6600995,new,2021-08-26,NA,NA,NA
28,Al Waha Grocery,"2833 Dumaurier Ave, Ottawa, ON K2B 7W3",grocery,small,Whitehaven - Queensway Terrace North,45.3507333,-75.7937212,new,2021-08-26,NA,NA,NA
29,Aladdin Bakery,"2020 Lanthier Drive, OrlÃƒÂ©ans, ON K4A 3V4",specialty,bakery,Portobello South,45.4582181,-75.4930905,new,2021-08-26,NA,NA,NA
30,Aladdin Bakery,"1020 St Laurent Boulevard, Ottawa, ON K1K",specialty,bakery,Overbrook - McArthur,45.4277621,-75.6398977,new,2021-08-26,NA,NA,NA
31,Aladdin Convenience & Bakery,"1801 Carling Ave, Ottawa, ON K2A 1E4",specialty,bakery,Laurentian,45.3774493,-75.7549106,new,2021-08-26,NA,NA,NA
32,Albion Meat Shop,"3515 Albion Rd S, Gloucester, ON K1T 1P1",grocery,small,Hunt Club Upper -Blossom Park - Timbermill,45.3543089,-75.6428,new,2021-08-26,NA,NA,NA
33,Ali Baba Bakery,"200 Vanguard Drive, OrlÃƒÂ©ans, ON K4A 0T8",specialty,bakery,Portobello South,45.4578239,-75.4871421,new,2021-08-26,NA,NA,NA
34,Alice's Village Cafe,"3773 Carp Road, Ottawa, ON K0A 1L0",specialty,bakery,Carp,45.3458412,-76.0377719,new,2021-08-26,NA,NA,NA
35,ALL AFRICA MARKET,"411 McArthur Ave., Ottawa, ON K1K 1G7",grocery,small,Vanier South,45.432316,-75.6485199,new,2021-08-26,NA,NA,NA
36,Allspice Superstore,"194 Robertson Rd, Ottawa, ON",grocery,small,Bells Corners West,45.3173858,-75.8444531,new,2021-08-26,NA,NA,NA
37,ALMONTE GAS AND GROCERY CORP,"234 CHRISTIAN ST, ALMONTE, ON",convenience,gas station,(None),45.2206138,-76.204693,new,2021-08-26,NA,NA,NA
38,Alta Juba Supermarket,"2925 Albion Road N, Ottawa, ON K1V 8Z3",convenience,regular,Ledbury - Heron Gate - Ridgemont,45.3732236,-75.6537531,new,2021-08-26,NA,NA,NA
39,Amjad Syed,"1016 Pleasant Park Rd, Ottawa, ON K1G 2A1",convenience,regular,Elmvale - Canterbury,45.3952009,-75.6223817,new,2021-08-26,NA,NA,NA
40,Anabia Cupcakery CafÃƒÂ©,"3570 Strandherd Drive, Ottawa, ON K2J 5L4",specialty,bakery,Old Barrhaven East,45.2751492,-75.7375557,new,2021-08-26,NA,NA,NA
41,Anderson Farm,"8435 Franktown Road, Ashton, ON K0A 1B0",farmer's market,farmer's market,Munster - Ashton,45.1293511,-75.9533593,new,2021-08-26,NA,NA,NA
42,Andy's Variety Store,"178 Meadowlands Dr W, Nepean, ON K2G 2S6",convenience,regular,Cityview - Crestview - Meadowlands,45.3422601,-75.7555122,new,2021-08-26,NA,NA,NA
43,Anna Mae's Cakery,"40 Zokol Cres, Ottawa, ON K2K 2K4",specialty,bakery,Kanata Lakes - Arcardia,45.3253371,-75.9160943,new,2021-08-26,NA,NA,NA
44,Apos Convenience,"2143 Carp Road RR 3, Carp, ON K0A 1L0",convenience,regular,Stittsville,45.2732931,-75.953511,new,2021-08-26,NA,NA,NA
45,Aqua Fuchsia Foods,"1325 Humber Pl, Ottawa, ON K1B 5K9",grocery,small,East Industrial,45.4026674,-75.6058855,new,2021-08-26,NA,NA,NA
46,Aramark,"285 Coventry Road, Ottawa, ON K1K 4G5",specialty,deli meat cheese,Overbrook - McArthur,45.4216785,-75.6536112,new,2021-08-26,NA,NA,NA
47,Arlington Five,"5 Arlington Avenue, Ottawa, ON K2P 1C1",specialty,deli meat cheese,Centretown,45.4101361,-75.6929269,new,2021-08-26,NA,NA,NA
48,AromessÃƒÂ¶ CafÃƒÂ©,"8555 Campeau Drive, Ottawa, ON K2T 0K5",specialty,bakery,Kanata Lakes - Arcardia,45.3058837,-75.923067,new,2021-08-26,NA,NA,NA
49,Around the Block Butcher Shop,"1117 Cobden Rd, Ottawa, ON K2C 2Z1",grocery,small,Iris - Queensway Terrance South,45.3527102,-75.7779049,new,2021-08-26,NA,NA,NA
50,Art Is In Bakery,"250 City Centre Avenue, Ottawa, ON K1R 1C7",specialty,bakery,West Centretown,45.4081821,-75.7181931,new,2021-08-26,NA,NA,NA
51,ARTISTIC CAKE DESIGN,"1390 Clyde Ave. #106, Nepean, ON K2G 3H0",specialty,bakery,Cityview - Crestview - Meadowlands,45.359221,-75.7392358,new,2021-08-26,NA,NA,NA
52,Arturo's Ristorante,"94 Beechwood Ave, Ottawa, ON K1M 1L9",specialty,deli meat cheese,Vanier North,45.4406877,-75.6742567,new,2021-08-26,NA,NA,NA
53,Arum Korean Market (Centertown),"508 Bank St, Ottawa, ON K2P 1Z4",grocery,small,Centretown,45.410256,-75.6926398,new,2021-08-26,NA,NA,NA
54,Arum Korean Market (Downtown),"300 Laurier Ave W, Ottawa, ON K1A 1J2",grocery,small,Centretown,45.4186067,-75.6979476,new,2021-08-26,NA,NA,NA
55,Arum Restaurant and Market,"512 Bank St, Ottawa, ON",grocery,small,Centretown,45.4098726,-75.69262,new,2021-08-26,NA,NA,NA
56,ARYA FOOD MARKET,"508 Gladstone Ave, Ottawa, ON K1R 5P1",grocery,small,Centretown,45.4099336,-75.6982053,new,2021-08-26,NA,NA,NA
57,Asian Grocer,"1581 Bank Street, Ottawa, ON",grocery,small,Billings Bridge - Alta Vista,45.3794058,-75.6674463,new,2021-08-26,NA,NA,NA
58,Athena Gourmet Greek imports,"368 Bank St, Ottawa, ON K2P 1Y4",grocery,small,Centretown,45.4138564,-75.695289,new,2021-08-26,NA,NA,NA
59,Aux Délices Boulangerie Et Patisserie / Bakery & Pastry Shop,"32 Byward Market Sq, Ottawa, ON K1N 7A2",specialty,bakery,Byward Market,45.4276884,-75.6930478,new,2021-08-26,NA,NA,NA
60,Awami Bazaar,"26 Northside Rd Unit 18, Nepean, ON K2H 5Z3",grocery,small,Bells Corners East,45.3295166,-75.8138026,new,2021-08-26,NA,NA,NA
61,B & B Foods,"2825 Sheffield Rd, Ottawa, ON K1B 3V8",specialty,health store,East Industrial,45.3968609,-75.6000744,new,2021-08-26,NA,NA,NA
62,Babi's Restaurant,"21 Nadolny Sachs Private, Ottawa, ON K2A 1R9",specialty,bakery,Carlingwood West - Glabar Park - McKellar Heights,45.3759104,-75.7517995,new,2021-08-26,NA,NA,NA
63,Bagel Bagel,"1616 Michael Street, Ottawa, ON K1B 3T7",specialty,bakery,East Industrial,45.4094299,-75.6255254,new,2021-08-26,NA,NA,NA
64,Baghlan Market,"385 Tompkins Ave unit 2a, OrlÃ¢Ë†Å¡Ã‚Â©ans, ON K1E 3H4",grocery,small,Queenswood Heights,45.4774353,-75.4985302,new,2021-08-26,NA,NA,NA
65,Bakker's General Store,"1004 Manotick Station Road, Ottawa, ON",grocery,small,Manotick,45.2557894,-75.6246552,new,2021-08-26,NA,NA,NA
66,Baltyk Delicatessen,"935 Carling Avenue, Ottawa, ON",grocery,small,West Centretown,45.3955891,-75.7132488,new,2021-08-26,NA,NA,NA
67,Bambeeno's Tuck Shop,"2201 Riverside Dr, Ottawa, ON K1H 8K9",convenience,regular,Billings Bridge - Alta Vista,45.38841,-75.6745825,new,2021-08-26,NA,NA,NA
68,Banaue Sari Sari Store,"3023 Cedarview Road, Ottawa, ON",grocery,small,Old Barrhaven West,45.2660293,-75.7713906,new,2021-08-26,NA,NA,NA
69,Barada Mart,"105 Shuttleworth Dr., Ottawa, ON K1T 0W7",grocery,small,Findlay Creek,45.3182782,-75.5925853,new,2021-08-26,NA,NA,NA
70,Barakat Market,"1656 Bank Street, Ottawa, ON",grocery,small,Billings Bridge - Alta Vista,45.3764222,-75.6669651,new,2021-08-26,NA,NA,NA
71,Barleygreen Aim Distributor,"57 Sherry Ln, Nepean, ON K2G 3L4",specialty,health store,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,45.3294278,-75.7558268,new,2021-08-26,NA,NA,NA
72,Barrhaven Market,"2900 Woodroffe Avenue, Ottawa, ON",grocery,small,Old Barrhaven East,45.2922857,-75.7289418,new,2021-08-26,NA,NA,NA
73,Barwaaqo Food Centre,"385 Tompkins Ave, OrlÃ¢Ë†Å¡Ã‚Â©ans, ON K1E 3H4",grocery,large,Queenswood Heights,45.4774353,-75.4985302,new,2021-08-26,NA,NA,NA
74,Barwaaqo Food Centre,"1439 Ogilvie Rd, Gloucester, ON K1J 7P3",grocery,large,Carson Grove - Carson Meadows,45.4319267,-75.618418,new,2021-08-26,NA,NA,NA
75,Bashayer Convience Store,"1785 Frobisher Ln, Ottawa, ON K1G 3T7 unit, 302",grocery,small,Riverview,45.4012676,-75.6653883,new,2021-08-26,NA,NA,NA
76,Batter Up Bakery,"396 Athlone Avenue, Ottawa, ON K1Z 5M5",specialty,bakery,Westboro,45.3930798,-75.7509123,new,2021-08-26,NA,NA,NA
77,Bayscorner,"245 Bay St, Ottawa, ON K1R 5Z4",grocery,small,Centretown,45.4154673,-75.7040931,new,2021-08-26,NA,NA,NA
78,BB GÃƒÂ¢teaux,"395 Boulevard Alexandre-TachÃƒÂ©, Gatineau, QC J9A 1M6",specialty,bakery,(None),45.4215108,-75.7460044,new,2021-08-26,NA,NA,NA
79,BEARBROOK GAME MEATS INC,"5396 Dunning Rd, Navan, ON K4B 1J1",specialty,deli meat cheese,Vars,45.3731249,-75.3288301,new,2021-08-26,NA,NA,NA
80,BeaverTails,"69 George Street, Ottawa, ON K1N 1K1",specialty,bakery,Byward Market,45.4274347,-75.6916759,new,2021-08-26,NA,NA,NA
81,Beechwood farmer's market,"131b Beechwood Av., Ottawa, ON K1M 1L5",grocery,small,Lindenlea - New Edinburgh,45.442133,-75.672062,new,2021-08-26,NA,NA,NA
82,Beechwood Outdoor farmer's market,"Optimiste Park, 43 Ste-CÃ¢Ë†Å¡Ã‚Â©cile St, Ottawa, ON",grocery,small,Vanier North,45.4425216,-75.6693763,new,2021-08-26,NA,NA,NA
83,Beirut Boulangerie Et Traiteur,"269 Rue Laramee, Ottawa, ON",specialty,bakery,(None),45.4317772,-75.7360091,new,2021-08-26,NA,NA,NA
84,Bell Family Farm,"7321 Flewellyn Rd, Stittsville, ON K2S 1B6",grocery,small,Munster - Ashton,45.2074577,-75.954322,new,2021-08-26,NA,NA,NA
85,Bell Pastry & Deli Place Du Portage,"50 Rue Victoria, Gatineau, QC J8X 3X1",specialty,deli meat cheese,(None),45.4276446,-75.7127143,new,2021-08-26,NA,NA,NA
86,Benny's All day Resto Bar,"2370 Laurier Street, Clarence-Rockland, ON K4K 1L5",specialty,deli meat cheese,(None),45.5460039,-75.295356,new,2021-08-26,NA,NA,NA
87,Best Beef Butchery,"2335 St. Laurent Blvd, Ottawa, ON K1G 5G6",grocery,small,East Industrial,45.383079,-75.6206065,new,2021-08-26,NA,NA,NA
88,Best Price Oriental Market,"484 Hazeldean Road, Ottawa, ON",grocery,small,Glen Cairn - Kanata South Business Park,45.2959208,-75.8900792,new,2021-08-26,NA,NA,NA
89,Bienvenidos,"1731 St Laurent Boulevard, Ottawa, ON",grocery,small,East Industrial,45.4056346,-75.6261407,new,2021-08-26,NA,NA,NA
90,Bigg's Deli & Bar,"1099 St Laurent Boulevard, Ottawa, ON K1K 3B1",specialty,deli meat cheese,Overbrook - McArthur,45.4260615,-75.6376717,new,2021-08-26,NA,NA,NA
91,Bilal Farms Butcher Shop,"1741 Cyrville Rd Unit C, Gloucester, ON K1B 3K8",grocery,large,Pineview,45.417149,-75.6047832,new,2021-08-26,NA,NA,NA
92,Bilal Farms Butcher Shop,"2953 Carling Ave, Ottawa, ON K2B 8K6",grocery,large,Bayshore - Belltown,45.3565128,-75.8025693,new,2021-08-26,NA,NA,NA
93,Black Forest Deli & Cheese,"1500 Bank St, Ottawa, ON K1H 7Z2",specialty,deli meat cheese,Billings Bridge - Alta Vista,45.3809813,-75.6701018,new,2021-08-26,NA,NA,NA
94,Black Walnut Bakery,"979 Cameron Street, Ottawa, ON K4C 1A1",specialty,bakery,Cumberland,45.5179599,-75.4106861,new,2021-08-26,NA,NA,NA
95,Blooming Bundles - Diaper Cakes,"1466 Comfrey Crescent, Ottawa -Orleans, ON K4A 0L8",specialty,bakery,Portobello South,45.4568506,-75.4576171,new,2021-08-26,NA,NA,NA
96,Blue Nile Grocery Store,"168 King Edward Ave, Ottawa, ON K1N 7L3",grocery,small,Byward Market,45.433828,-75.6904511,new,2021-08-26,NA,NA,NA
97,Bobbie's Pizza & Subs,"1443 Ogilvie Road, Gloucester, ON K1J 7P3",specialty,deli meat cheese,Carson Grove - Carson Meadows,45.4319532,-75.6183487,new,2021-08-26,NA,NA,NA
98,Bombay Spices Ottawa,"565 W Hunt Club Rd unit-3, Nepean, ON K2G 5W5",grocery,small,Tanglewood,45.3358623,-75.7285727,new,2021-08-26,NA,NA,NA
99,BouchÃƒÂ©e Vintage Bite,"35 De Villebois, Gatineau, QC J8T",specialty,bakery,(None),45.4926583,-75.705792400000007,new,2021-08-26,NA,NA,NA
100,Boulangerie aux Deux FrÃƒÂ¨res,"146 Rue Principale, Aylmer, QC J9H 3M4",specialty,bakery,(None),45.3949408,-75.8419287,new,2021-08-26,NA,NA,NA
101,Boulangerie Estoril,"89 Rue Eddy, Gatineau, QC J8X 2W3",specialty,bakery,(None),45.4278785,-75.7202969,new,2021-08-26,NA,NA,NA
102,Boulangerie Patisserie Buckingham,"415 Av De Buckingham, Gatineau, QC J8L 2G8",specialty,bakery,(None),45.588877600000004,-75.4172159,new,2021-08-26,NA,NA,NA
103,Boutique La LumiÃ¢Ë†Å¡Ã‚Â®re,"267 Chemin, Montreal Rd, Vanier, ON K1L 6C4",grocery,small,Vanier North,45.4367652,-75.6604753,new,2021-08-26,NA,NA,NA
104,Bravo Corner,"312 Bank St, Ottawa, ON K2P 1Y1",convenience,regular,Centretown,45.4145679,-75.6958437,new,2021-08-26,NA,NA,NA
105,Bread & Roses Bakery,"323 St Laurent Blvd, Ottawa, ON K1K 2Z5",specialty,bakery,Manor Park,45.4501697,-75.6515709,new,2021-08-26,NA,NA,NA
106,Bread & Sons Bakery,"195 Bank Street, Ottawa, ON K2P 1W7",specialty,bakery,Centretown,45.417717,-75.6981892,new,2021-08-26,NA,NA,NA
107,Bread By Us,"1065 Wellington West, Ottawa, ON K1Y 2K2",specialty,bakery,Hintonburg - Mechanicsville,45.4038105,-75.7251502,new,2021-08-26,NA,NA,NA
108,Britannia Coffeehouse,"273 Britannia Road, Ottawa, ON K2B 6W7",specialty,bakery,Britannia Village,45.3656178,-75.7960952,new,2021-08-26,NA,NA,NA
109,Brittany Grocery,"230 Brittany Dr, Ottawa, ON K1K 0R6",grocery,small,Manor Park,45.4455455,-75.6487248,new,2021-08-26,NA,NA,NA
110,Brookfield Restaurant & Catering,"704 Brookfield Road, Ottawa, ON K1V 6J4",convenience,regular,Riverside Park,45.372897,-75.6894821,new,2021-08-26,NA,NA,NA
111,Brownloaf Bakery,"268 Elgin St, Ottawa, ON K2P 1M2",specialty,bakery,Centretown,45.417615,-75.6903145,new,2021-08-26,NA,NA,NA
112,Budapest Delicatessen,"54 Byward Market Sq, Ottawa, ON K1N 7A2",specialty,deli meat cheese,Byward Market,45.4273124,-75.6926693,new,2021-08-26,NA,NA,NA
113,Bulk Barn,"197 Trainyards Drive, Ottawa, ON",grocery,large,East Industrial,45.413763,-75.64364,new,2021-08-26,NA,NA,NA
114,Bulk Barn,"2210 Bank St, Ottawa, ON",grocery,large,South Keys - Greenboro West,45.3556337,-75.6546138,new,2021-08-26,NA,NA,NA
115,Bulk Barn,"3161 Greenbank Rd, Ottawa, ON",grocery,large,Chapman Mills,45.2695671,-75.7453866,new,2021-08-26,NA,NA,NA
116,By Grace Food Market,"183 Montreal Rd #6e2, Vanier, ON K1L 6E2",grocery,small,Vanier North,45.435266,-75.6641002,new,2021-08-26,NA,NA,NA
117,ByWard Fruit Market,"36 ByWard Market Sq, Ottawa, ON",farmer's market,farmer's market,Byward Market,45.4275991,-75.6929651,new,2021-08-26,NA,NA,NA
118,Byward Market News,"55 ByWard Market Sq, Ottawa, ON K1N 9C3",grocery,small,Byward Market,45.427449,-75.6923646,new,2021-08-26,NA,NA,NA
119,ByWard Market Square,"55 ByWard Market Square, Ottawa, ON K1N 1K1",farmer's market,farmer's market,Byward Market,45.427449,-75.6923646,new,2021-08-26,NA,NA,NA
120,C & J Houkayem Honey Bars,"6384 Fortune Dr, Orleans, ON K1C 1Y9",specialty,health store,Convent Glen - Orléans Woods,45.4755541,-75.5356656,new,2021-08-26,NA,NA,NA
121,CafÃƒÂ© Cristal,"240 Kennevale Drive, Ottawa, ON K2J 6B6",specialty,bakery,Old Barrhaven West,45.2648524,-75.7773376,new,2021-08-26,NA,NA,NA
122,Cambridge Food Mart,"72 Cambridge St N, Ottawa, ON K1R 7A7",convenience,regular,West Centretown,45.4127557,-75.7077981,new,2021-08-26,NA,NA,NA
123,Canaan Blueberries,"2351 Canaan Rd, Rockland, ON K4K 1K9",farmer's market,farmer's market,(None),45.4952138,-75.3171513,new,2021-08-26,NA,NA,NA
124,Canadian Tire Gas Bar,"9040 County Road 17, Rockland, ON, K4K 1V5",convenience,gas station,(None),45.546828,-75.3023562,new,2021-08-26,NA,NA,NA
125,Canadian Tire Gas Bar,"9020 County Road 17, Rockland, ON, K4K 1V5",convenience,gas station,(None),45.5463729,-75.303034,new,2021-08-26,NA,NA,NA
126,Canadian Tire Gas Bar,"399, boul. Maloney Ouest, Gatineau, QC, J8P 3W1",convenience,gas station,(None),45.4847617,-75.6649555,new,2021-08-26,NA,NA,NA
127,Canadian Tire Gas Bar,"1775 Tenth Line Road, Orleans, ON, K1E 3X2",convenience,gas station,Fallingbrook,45.4673466,-75.4910892,new,2021-08-26,NA,NA,NA
128,Canadian Tire Gas Bar,"355, boul. de la Carriere, Gatineau, QC, J8Y 6W4",convenience,gas station,(None),45.4430168,-75.729778,new,2021-08-26,NA,NA,NA
129,Canadian Tire Gas Bar,"255, boul. de la Carriere, Gatineau, QC, J8Y 6W4",convenience,gas station,(None),45.4417629,-75.729061,new,2021-08-26,NA,NA,NA
130,Canadian Tire Gas Bar,"2006 Ogilvie Road, Gloucester, ON, K1J 8X3",convenience,gas station,Beacon Hill South - Cardinal Heights,45.435946,-75.6057919,new,2021-08-26,NA,NA,NA
131,Canadian Tire Gas Bar,"2010 Ogilvie Road, Gloucester, ON, K1J 8X3",convenience,gas station,Beacon Hill South - Cardinal Heights,45.435066,-75.606445,new,2021-08-26,NA,NA,NA
132,Canadian Tire Gas Bar,"245 Daniel Street South, Arnprior, ON, K7S 3K5",convenience,gas station,(None),45.4260424,-76.3653663,new,2021-08-26,NA,NA,NA
133,Canadian Tire Gas Bar,"375 Daniel Street South, Arnprior, ON, K7S 3K6",convenience,gas station,(None),45.4257504,-76.3679176,new,2021-08-26,NA,NA,NA
134,Canadian Tire Gas Bar,"225 Chemin d'Aylmer, Gatineau, QC, J9H 1A3",convenience,gas station,(None),45.3961707,-75.8300042,new,2021-08-26,NA,NA,NA
135,Canadian Tire Gas Bar,"1176 Heron Road, Ottawa, ON, K1V 6B2",convenience,gas station,Billings Bridge - Alta Vista,45.3777065,-75.6685725,new,2021-08-26,NA,NA,NA
136,Canadian Tire Gas Bar,"1170 Heron Road, Ottawa, ON, K1V 6B2",convenience,gas station,Billings Bridge - Alta Vista,45.3776183,-75.66841,new,2021-08-26,NA,NA,NA
137,Canadian Tire Gas Bar,"1660 Merivale Road, Nepean, ON, K2G 3K4",convenience,gas station,Tanglewood,45.3434663,-75.729508,new,2021-08-26,NA,NA,NA
138,Canadian Tire Gas Bar,"2135 Robertson Road, Nepean, ON, K2H 5Z2",convenience,gas station,Bells Corners West,45.3218168,-75.8362395,new,2021-08-26,NA,NA,NA
139,Canadian Tire Gas Bar,"4776 Bank Street, Gloucester, ON, K1T 0K8",convenience,gas station,Findlay Creek,45.3185859,-75.5945576,new,2021-08-26,NA,NA,NA
140,Canadian Tire Gas Bar,"4778 Bank Street, Gloucester, ON, K1T 0K8",convenience,gas station,Findlay Creek,45.3180646,-75.5927572,new,2021-08-26,NA,NA,NA
141,Canadian Tire Gas Bar,"500 Terry Fox Drive, Kanata, ON, K2T 1C3",convenience,gas station,Kanata Lakes - Arcardia,45.3086126,-75.916439,new,2021-08-26,NA,NA,NA
142,Canadian Tire Gas Bar,"2201 Greenbank Road, Nepean, ON, K2J 4Y6",convenience,gas station,Old Barrhaven East,45.2725923,-75.7468452,new,2021-08-26,NA,NA,NA
143,Canadian Tire Gas Bar,"2501 Greenbank Road, Nepean, ON, K2J 4Y6",convenience,gas station,Old Barrhaven East,45.272268,-75.7457082,new,2021-08-26,NA,NA,NA
144,Canal Ritz Restaurant,"375 Queen Elizabeth Drive, Ottawa, ON K1S 5M5",specialty,deli meat cheese,Glebe - Dows Lake,45.4017693,-75.6803244,new,2021-08-26,NA,NA,NA
145,Cantors Bakery & Delicatessen,"255 Albert St, Ottawa, ON K1P 6A9",specialty,bakery,Centretown,45.4197984,-75.7011578,new,2021-08-26,NA,NA,NA
146,Capital Buns Bakery,"2440 Bank Street, Ottawa, ON K1V 8S1",specialty,bakery,South Keys - Greenboro West,45.3535284,-75.6481363,new,2021-08-26,NA,NA,NA
147,Capital Diner,"164 Laurier Avenue W, Ottawa, ON K1P 5J4",specialty,deli meat cheese,Centretown,45.4203023,-75.6942268,new,2021-08-26,NA,NA,NA
148,Carb Free Baking Co.,"52 Antares Dr, Ottawa, ON K2E 7Z1",specialty,bakery,Hunt Club South Industrial,45.3310377,-75.7103622,new,2021-08-26,NA,NA,NA
149,Cards & Mags Plus,"25 McArthur Ave, Vanier, ON K1L 6R3",convenience,regular,Vanier South,45.4313724,-75.667942,new,2021-08-26,NA,NA,NA
150,Carmelito,"354 Preston Street, Ottawa, ON K1S 4M7",specialty,bakery,West Centretown,45.4017854,-75.7105634,new,2021-08-26,NA,NA,NA
151,Carmelito Cafe,"605 Longfields Drive, Ottawa, ON K2J 4X1",specialty,bakery,Old Barrhaven East,45.2849643,-75.7448265,new,2021-08-26,NA,NA,NA
152,Carp Bakery,"461 Donald B Munro Drive, Ottawa, ON K0A 1L0",specialty,bakery,Carp,45.3447291,-76.0380015,new,2021-08-26,NA,NA,NA
153,Carson Fresh Grocer | Halal Meat and Bangladeshi Fish,"876 Montreal Rd, Ottawa, ON K1K 4L3",grocery,small,Carson Grove - Carson Meadows,45.4457968,-75.6301564,new,2021-08-26,NA,NA,NA
154,Casa Dei Panini,"52 Antares Drive, Ottawa, ON K2E 7Z1",specialty,deli meat cheese,Hunt Club South Industrial,45.3310377,-75.7103622,new,2021-08-26,NA,NA,NA
155,Casa Nicastro Delicatessen,"304 Preston St, Ottawa, ON",grocery,small,West Centretown,45.4034261,-75.7113838,new,2021-08-26,NA,NA,NA
