name,formattedAddress,rating,phone,priceRange,categories,latitude,longitude
Marche Laflamme,126 Rue Principale,0,(819) 684-4156,,Grocery,45.3949859,-75.8434503
Metro,10 Cope Dr,4.5,,,"Bakeries, Grocery, Meat Shops",45.2821603,-75.8652185
Blue Nile Grocery Store,168 King Edward Ave,0,(613) 562-1532,,Convenience Stores,45.4338146207419,-75.69046333867895
Loblaws,2737 Laurier Street,0,,,Grocery,45.5419343,-75.3007897
Europa Food Centre,77 Beechwood Ave,0,(613) 749-9935,,Grocery,45.4406892,-75.6747721
Farm Boy,585 Montreal Rd,3.5,(613) 744-3463,$$,Grocery,45.4426297,-75.6443967
Thyme & Again,1845 Carling Avenue,4.5,(613) 702-4424,$$$,"Caterers, Specialty Food, Desserts",45.3768169,-75.7559995
Il Negozio Nicastro,1355 Wellington Street W,4.5,(613) 729-9100,$$,"Delis, Sandwiches, Italian",45.3985223,-75.7387584
Ottawa Halal Market,2833 Dumaurier Avenue,0,(613) 274-7040,,"International Grocery, Meat Shops",45.3507333,-75.7937212
Ogilvie Grocery Store,1137 Ogilvie Rd,0,(613) 744-2880,,Grocery,45.4267337,-75.6312669
Bulk Barn,3161 Greenbank Rd,4.5,(613) 823-6623,$$,Grocery,45.2695671,-75.7453866
Hasty Market,1565 Alta Vista Drive,1,(613) 733-5773,,Grocery,45.4086136,-75.6573288
Franks,283 Greenbank Road,4.5,(613) 421-6661,$,"Bakeries, Sandwiches, Delis",45.3243098528303,-75.7776322450782
Midori Market,3689 Navan Rd,4.5,(613) 837-3000,$$,"Pizza, Convenience Stores",45.4260873,-75.4888809
Marché Richelieu - Alimentation Pilon,245 Rue Principale E,0,(819) 456-3368,,Grocery,45.6453615,-75.9834387
Quick Way Food Market,326 Somerset St E,0,(613) 565-3500,,Grocery,45.4245315,-75.6740368
Epicerie Robert,193 Chemin de la Savane,0,(819) 525-6644,,Grocery,45.3549154,-75.6451086
Shoppers Drug Mart,2515 Bank Street,3.5,(613) 523-9999,$$,Drugstores,45.40925,-75.678269
LITTLE ITALY FINE FOODS,178 MAIN ST,4,(613) 233-2124,,"Delis, Desserts, Coffee & Tea",45.3997268,-75.7312164
Hasty Market,1224 Wellington St W,4,(613) 761-6033,$$,"Convenience Stores, Grocery",45.4541432,-75.6539569
Manor Park Grocy,179 St Laurent Blvd,0,(613) 746-1023,,Grocery,45.3190929427132,-75.5957942545361
Maison,4750 Bank Street,0,(613) 822-4549,,"Grocery, Bakeries, Delis",45.4368769,-75.6600995
Al Sham Food & Meat Market,275 Montreal Rd,0,(613) 745-2477,,Grocery,45.4213179,-75.4253779
J.T. Bradley’s,1220 Colonial Road,5,(613) 835-3781,,Grocery,45.3601589,-75.7359322
Merivale Fish Market,1480 Merivale Road,4,(613) 723-7203,$$,Seafood Markets,45.50592097978744,-75.61196323249385
IGA Extra,1248 Boulevard la Vérendrye E,0,(819) 893-7890,$$,Grocery,45.4752506,-75.6829241
Super C,181 Rue Principale,0,(819) 684-2010,,Grocery,45.3964027,-75.8366533
Chelsea Freshmart,528 Rt 105,2,(819) 827-8001,$$,Grocery,45.5081211,-75.7850213
Pantry Plus,2433 St Joseph Boulevard,4.5,(613) 830-5790,$$$,"Health Food Store, Grocery",45.4699453,-75.5284842
Kardish Health Food Centre,499 Terry Fox Drive,3,(613) 224-1414,,Grocery,45.3110041761311,-75.9196138536658
Corner Store,395 Montreal Road,0,(613) 742-5004,,Convenience Stores,45.4390106,-75.6539378
Bulk Barn,197 Trainyards Drive,4.5,(613) 244-0103,$,"Herbs & Spices, Grocery",45.413899,-75.642953
Allspice Superstore,194 Robertson Rd,0,(613) 829-3395,,Grocery,45.317641,-75.843848
Upland Heights Grocery,3360 Paul Anka Dr,0,(613) 521-5993,,Grocery,45.3497454,-75.6750806
Robinson’s Your Independent Grocer,1160 Beaverwood Road,0,(613) 692-2828,,Grocery,45.2229262,-75.6835675
Farm Boy,499 Terry Fox Drive,4,(613) 271-8727,$$,Grocery,45.3108288455484,-75.921663840576
Freshco,2150 Robertson Road,3,(613) 726-8038,$,Grocery,45.3194399308115,-75.8358633104843
Place Cartier Iga Laflamme,425 Saint-Joseph Boul,0,(819) 770-9131,$$,Grocery,45.4456609,-75.7340534
Tazij House,1620 Merivale Rd,4,,,"Cafes, Specialty Food, Middle Eastern",45.3475338261071,-75.7322849114125
Asian Grocer,1581 Bank Street,0,(613) 321-0773,,Grocery,45.3794058,-75.6674529
Food Basics,1670 Heron Road,1,(613) 731-0066,$,Grocery,45.3793062686515,-75.6432701322632
Farm Boy,2030 Tenth Line Road,4,(613) 841-4221,$$$,Grocery,45.4584073,-75.4877257
Shafie Food Centre,1655 Kilborn Ave,0,(613) 523-1980,,Grocery,45.3877283,-75.6516525
Cote Poultry,2770 Lancaster Road,0,(613) 247-7721,,Meat Shops,45.395579,-75.606278
Farm Boy,2950 Bank Street,4,(613) 260-7330,$$$,Grocery,45.3458029723383,-75.625912867853
Barakat Market,1656 Bank Street,0,(613) 737-7722,,"Meat Shops, International Grocery",45.3764222,-75.6669651
Richmond Food Market,1315 Richmond Rd,0,(613) 726-6548,,Grocery,45.3792083,-75.644858
Jaguar Groceries,465 Parkdale Ave,0,(613) 722-1022,,Grocery,45.48037,-75.679388
Epicerie Jocelyn Claire Fournier,29 Rue Morin,0,(819) 777-1094,,Grocery,45.351331,-75.7307124
Quickie the Convenience Stores,1670 Heron Rd,2,(613) 731-7849,,Convenience Stores,45.3819994,-75.5952501
Super C,720 Boulevard Maloney O,0,(819) 243-5117,,Grocery,45.4614760142277,-75.4840213048935
McDaniel’s Your Independent Grocer,200 Grant Carman Drive,3.5,(613) 727-1672,$$$$,"Grocery, Pharmacy",45.3856281,-75.6794410769989
Kowloon Foods,4095 Belgreen Dr,0,(613) 738-5125,,Grocery,45.4874076,-75.7011432
Metro,4510 Innes Road,2,(613) 824-8850,$$,Grocery,45.3681791,-75.7858283
Natural Food Pantry,4325 Strandherd Dr,3.5,(613) 737-9330,,Health Food Store,45.3988122,-75.7277585
I G A Famille Charles,455 Blvd Greber,0,(819) 243-0011,,Grocery,45.4293178,-75.7249381
M & J Tropical Super Market,1509 Merivale Road,0,(613) 224-3204,$$,Grocery,45.3572937,-75.7367947
Sobeys,5150 Innes Road,4,(613) 590-2205,$$$,Grocery,45.4693457140627,-75.4558763445649
Greenbank Foods,806 Greenbank Rd,0,(613) 825-3246,,Grocery,45.2870325,-75.756814
Russell Foodland,148 Craig Street,4,(613) 445-5308,$$,Grocery,45.256842,-75.37372
Epicerie Laberge Sakr,260 Alexandre-Tache Boul,0,(819) 777-1613,,Grocery,45.4231908,-75.7371104
Metro,1811 Robertson Road,0,(613) 721-7028,$$,Grocery,45.3302476,-75.8171021
Presto Les Entrepots,85 Rue Adrien-Robert,0,(819) 776-0082,,Grocery,45.4575026,-75.735758
King’s Your Independent Grocer,5911 Perth Street,4,(613) 838-7255,,Grocery,45.2032116,-75.8290665
Moussa Mini Market & Meat Shop,300 McArthur Ave,0,(613) 745-7900,,Grocery,45.4314481,-75.6559184
Loblaws,1460 Merivale Road,4,(613) 226-6001,$$,"Grocery, Pharmacy",45.3619299,-75.7353516
