note,address,address2,phone,Y,X,name,update_date,size
Metro Stafford Centre,#2 - 1811 Robertson Road,"Nepean, ON K2H 8X3",613-721-7028,45.32872,-75.81759,METRO,2021-05-01,large
Racine's Your Independent Grocer Embrun (Colleague Testing),753 Notre-Dame St,"Embrun, Ontario, K0A 1W0",6134433064,45.268383,-75.303271,YIG,2021-05-01,large
Massine's Your Independent Grocer Ottawa (Colleague Testing),296 Bank St,"Ottawa, Ontario, K2P 1X8",6132348692,45.414883,-75.697015,YIG,2021-05-01,large
Barnabe's Your Independent Grocer Perth (Colleagyue Testing),80 Dufferin St,"Perth, Ontario, K7H 3A7",6132676763,44.908145,-76.265697,YIG,2021-05-01,large
Your Independent Grocer Perth Street (Colleague Testing),5911 Perth St,"Richmond, Ontario, K0A 2Z0",6138387255,45.201432,-75.828786,YIG,2021-05-01,large
Bissonnette's YIG,596 Montreal Road,"Ottawa, Ontario, K1K 0T9",NA,45.441785,-75.643898,YIG,2021-05-01,large
Jonssons' Your Independent Grocer Kemptville(Colleague testing),Hwy 43 W Kemptville Mall,"Kemptville, Ontario, K0G 1J0",6132585966,45.017446,-75.658531,YIG,2021-05-01,large
Patrice's Your Independent Grocer,401 Ottawa St Rr 4,"Almonte, Ontario, K0A 1A0",6132562080,45.234038,-76.182098,YIG,2021-05-01,large
Hess' Your Independent Grocer Ottawa,596 Montreal Rd,"Ottawa, Ontario, K1K 0T9",6137450778,45.440969,-75.643562,YIG,2021-05-01,large
Andress' Your Independent Grocer Smiths Falls,25 Ferrara Dr,"Smiths Falls, Ontario, K7A 5K6",6132832999,44.892473,-76.026759,YIG,2021-05-01,large
McDonough's Your Independent Grocer,2241 Riverside Dr,"Ottawa, Ontario, K1H 7X5",6137331590,45.38642,-75.676506,YIG,2021-05-01,large
King's Your Independent Grocer,5911 Perth St,"Richmond, Ontario, K0A 2Z0",6138387255,45.203211,-75.829066,YIG,2021-05-01,large
McDonoughÕs YIG - (Colleague Testing),1160 Beaverwood Rd,"Manotick, Ontario, K4M 1A5",6136922828,45.223079,-75.683632,YIG,2021-05-01,large
Ross' Your Independent Grocer Nepean (Colleague Testing),3777 Strandherd Dr,"Nepean, Ontario, K2J 4B1",6138439413,45.26866,-75.7472,YIG,2021-05-01,large
Laura's Your Independent Grocer,300 Eagleson Rd,"Kanata, Ontario, K2M 1C9",6135923850,45.301498,-75.877672,YIG,2021-05-01,large
McDonoughÕs YIG - Online Grocery Coming SoonÉ,1160 Beaverwood Rd,"Manotick, Ontario, K4M 1A5",6136922828,45.223079,-75.683632,YIG,2021-05-01,large
Moncion's Your Independent Grocer,671 River Rd,"Ottawa, Ontario, K1V 2G2",6138224749,45.270859,-75.699001,YIG,2021-05-01,large
McDonough's Your Independent Grocer Nepean,3777 Strandherd Dr,"Nepean, Ontario, K2J 4B1",6138439413,45.268477,-75.74916,YIG,2021-05-01,large
Mitchell's Your Independent Grocer,455 Mcneely Ave,"Carleton Place, Ontario, K7C 4S6",6132536206,45.13428,-76.121158,YIG,2021-05-01,large
Chartrand's Your Independent Grocer,420 Main St S RR 6,"Alexandria, Ontario, K0C 1A0",6135250021,45.299501,-74.629632,YIG,2021-05-01,large
Guido & Tanya's Your Independent Grocer Almonte (Colleague Testing),401 Ottawa St Rr 4,"Almonte, Ontario, K0A 1A0",6132562080,45.23502,-76.18179,YIG,2021-05-01,large
O'Reilly's Your Independent Grocer Prescott (Colleague Testing),150 Prescott Centre Dr,"Prescott, Ontario, K0E 1T0",6139254625,44.724367,-75.520613,YIG,2021-05-01,large
Dessureault’s Your Independent Grocer Orleans,1619 Orleans Ave,"Ottawa, Ontario, K1C 7E2",6138306880,45.459603,-75.524128,YIG,2021-05-01,large
O'Reilly's Your Independent Grocer Prescott,150 Prescott Centre Dr,"Prescott, Ontario, K0E 1T0",6139254625,44.724896,-75.520655,YIG,2021-05-01,large
Chartrand's Your Independent Grocer Alexandria (Colleague Testing),420 Main St S RR 6,"Alexandria, Ontario, K0C 1A0",6135250021,45.299965,-74.62859,YIG,2021-05-01,large
"2737 Laurier Street, Rockland",2737 Laurier Street,"Rockland, Ontario, K4K 1A3",NA,45.54184,-75.29986,YIG,2021-05-01,large
McDonoughÕs YIG (Colleague Testing),1160 Beaverwood Rd,"Manotick, Ontario, K4M 1A5",6136922828,45.223079,-75.683632,YIG,2021-05-01,large
Andress' Your Independent Grocer Smiths Falls (Colleague Testing),25 Ferrara Dr,"Smiths Falls, Ontario, K7A 5K6",6132832999,44.892638,-76.027133,YIG,2021-05-01,large
Mitchell's Your Independent Grocer Carleton Place (Colleague Testing),455 Mcneely Ave,"Carleton Place, Ontario, K7C 4S6",6132536206,45.13386,-76.12029,YIG,2021-05-01,large
McDonough's Your Independent Grocer,1160 Beaverwood Rd,"Manotick, Ontario, K4M 1A5",6136922828,45.223596,-75.684723,YIG,2021-05-01,large
Massine's Your Independent Grocer Ottawa,296 Bank St,"Ottawa, Ontario, K2P 1X8",6132348692,45.414988,-75.696337,YIG,2021-05-01,large
McDonough's Your Independent Grocer Ottawa (Colleague Testing),2241 Riverside Dr,"Ottawa, Ontario, K1H 7X5",6137331590,45.38642,-75.676506,YIG,2021-05-01,large
Hess' Your Independent Grocer Ottawa (Colleague Testing),596 Montreal Rd,"Ottawa, Ontario, K1K 0T9",6137450778,45.441785,-75.643898,YIG,2021-05-01,large
Browns YIG (Colleague Testing),1251 Main St,"Stittsville, Ontario, K2S 2E5",6138319235,45.268999,-75.928971,YIG,2021-05-01,large
McDanielÕs Independent Grocer (Colleague Testing),200 Grant Carman,"Nepean, Ontario, K2E 7Z8",6137271672,45.35212,-75.72997,YIG,2021-05-01,large
Barnabe's Your Independent Grocer,80 Dufferin St,"Perth, Ontario, K7H 3A7",6132676763,44.907622,-76.264913,YIG,2021-05-01,large
McDaniel's Your Independent Grocer,200 Grant Carman,"Nepean, Ontario, K2E 7Z8",6137271672,45.351331,-75.730712,YIG,2021-05-01,large
Wilson's Your Independent Grocer Ottawa (Colleague Testing),2681 Alta Vista Dr,"Ottawa, Ontario, K1V 7T5",6137333311,45.372392,-75.664113,YIG,2021-05-01,large
Robinson's YIG,1160 Beaverwood Road PO Box 517,"Manotick, Ontario, K4M 1A5",NA,45.223079,-75.683632,YIG,2021-05-01,large
Wilson's Your Independent Grocer,2681 Alta Vista Dr,"Ottawa, Ontario, K1V 7T5",6137332311,45.372213,-75.663048,YIG,2021-05-01,large
Ross' Your Independent Grocer,3777 Strandherd Dr,"Nepean, Ontario, K2J 4B1",6138439413,45.268477,-75.74916,YIG,2021-05-01,large
Parent's Your Independent Grocer Rockland,2737 Laurier St,"Rockland, Ontario, K4K 1A3",6134467273,45.541698,-75.299258,YIG,2021-05-01,large
Laura's Your Independent Grocer Kanata (Colleague Testing),300 Eagleson Rd,"Kanata, Ontario, K2M 1C9",6135923850,45.302952,-75.877469,YIG,2021-05-01,large
Riley's Your Independent Grocer,2241 Riverside Dr,"Ottawa, Ontario, K1H 7X5",6137331590,45.386836,-75.679227,YIG,2021-05-01,large
Brown's Your Independent Grocer,1251 Main St,"Stittsville, Ontario, K2S 2E5",6138319235,45.268974,-75.928403,YIG,2021-05-01,large
Jonssons' Your Independent Grocer Kemptville,Hwy 43 W Kemptville Mall,"Kemptville, Ontario, K0G 1J0",6132585966,45.018737,-75.655671,YIG,2021-05-01,large
Moncion's Your Independent Grocer Ottawa (Colleague Testing),671 River Rd,"Ottawa, Ontario, K1V 2G2",6138224749,45.27006,-75.6977,YIG,2021-05-01,large
Carl & Nathalie's Your Independent Grocer Gloucester (Colleague Testing),1619 Orleans Ave,"Ottawa, Ontario, K1C 7E2",6138306880,45.461576,-75.526199,YIG,2021-05-01,large
Co-Op Your Independent Grocer Embrun,753 Notre-Dame St,"Embrun, Ontario, K0A 1W0",6134433064,45.268338,-75.303469,YIG,2021-05-01,large
Parent's Your Independent Grocer Rockland (Colleague Testing),2737 Laurier St,"Rockland, Ontario, K4K 1A3",6134467273,45.541698,-75.299258,YIG,2021-05-01,large
Merivale Road,1460 Merivale Rd,"Nepean, Ontario, K2E 5P2",6132266001,45.361929,-75.735351,LOBLAWS,2021-05-01,large
Carling Avenue,2085 Carling Ave,"Ottawa, Ontario, K2A 1H2",6137223227,45.372308,-75.767572,LOBLAWS,2021-05-01,large
Loblaws - Merivale Road (Colleague Testing),1460 Merivale Rd,"Nepean, Ontario, K2E 5P2",6132266001,45.362876,-75.734611,LOBLAWS,2021-05-01,large
Bank Street,2210 Bank St,"Ottawa, Ontario, K1V 1J5",6137895252,45.354899,-75.654754,LOBLAWS,2021-05-01,large
Greenbank Road,3201 Greenbank Rd,"Ottawa, Ontario, K2J 4H9",6138256262,45.268051,-75.74346,LOBLAWS,2021-05-01,large
McArthur Avenue,100 McArthur Rd,"Ottawa, Ontario, K1L 8H5",6137442003,45.429341,-75.66486,LOBLAWS,2021-05-01,large
Rideau Street,363 Rideau St,"Ottawa, Ontario, K1N 5Y6",6137893330,45.430155,-75.683814,LOBLAWS,2021-05-01,large
Earl Grey Drive,200 Earl Grey Dr,"Ottawa, Ontario, K2T 1B6",6135993840,45.309942,-75.916618,LOBLAWS,2021-05-01,large
Baseline Road (Colleague Testing),1980 Baseline Rd,"Ottawa, Ontario, K2C 0C6",6137232455,45.351968,-75.759467,LOBLAWS,2021-05-01,large
Loblaws - St. Laurent Blvd (Colleague Testing),1910 St Laurent Blvd,"Ottawa, Ontario, K1G 1A4",6135210880,45.398075,-75.623798,LOBLAWS,2021-05-01,large
Isabella Street,64 Isabella St,"Ottawa, Ontario, K1S 1V4",6132324128,45.410461,-75.685897,LOBLAWS,2021-05-01,large
Robertson Road,2065A Robertson Rd,"Ottawa, Ontario, K2H 5H9",6138299770,45.324403,-75.832437,LOBLAWS,2021-05-01,large
Loblaws - Isabella Street (Colleague Testing),64 Isabella St,"Ottawa, Ontario, K1S 1V4",6132324128,45.410496,-75.685933,LOBLAWS,2021-05-01,large
Loblaws - Robertson Road (Colleague Testing),2065A Robertson Rd,"Ottawa, Ontario, K2H 5H9",6138299770,45.3251,-75.8321,LOBLAWS,2021-05-01,large
Ogilvie Road,1980 Ogilvie Rd,"Ottawa, Ontario, K1J 9L3",6137463487,45.432527,-75.609825,LOBLAWS,2021-05-01,large
"Loblaws - Rideau Street (Colleague Testing) - Order online, walk in or call for pick up",363 Rideau St,"Ottawa, Ontario, K1N 5Y6",6137893330,45.43039,-75.68375,LOBLAWS,2021-05-01,large
McArthur Avenue (Test Collégial),100 McArthur Rd,"Ottawa, Ontario, K1L 8H5",6137442003,45.429342,-75.66486,LOBLAWS,2021-05-01,large
Ogilvie Road (Test Collégial),1980 Ogilvie Rd,"Ottawa, Ontario, K1J 9L3",6137463487,45.432527,-75.609825,LOBLAWS,2021-05-01,large
Earl Grey Drive (Colleague Testing),200 Earl Grey Dr,"Ottawa, Ontario, K2T 1B6",6135993840,45.309942,-75.916618,LOBLAWS,2021-05-01,large
Baseline Road,1980 Baseline Rd,"Ottawa, Ontario, K2C 0C6",6137232455,45.352074,-75.759558,LOBLAWS,2021-05-01,large
Greenbank Road (Test Collégial),3201 Greenbank Rd,"Ottawa, Ontario, K2J 4H9",6138256262,45.267849,-75.744219,LOBLAWS,2021-05-01,large
Loblaws - Carling Avenue (Colleague Testing),2085 Carling Ave,"Ottawa, Ontario, K2A 1H2",6137223227,45.371671,-75.769587,LOBLAWS,2021-05-01,large
Loblaws - Bank Street (Colleague Testing),2210 Bank St,"Ottawa, Ontario, K1V 1J5",6137895252,45.357238,-75.656398,LOBLAWS,2021-05-01,large
St. Laurent Boulevard,1910 St Laurent Blvd,"Ottawa, Ontario, K1G 1A4",6135210880,45.399412,-75.623844,LOBLAWS,2021-05-01,large
Trainyards Supercentre,450 Terminal Ave,"Ottawa, ON, K1G 0Z3",613-562-0500,45.413726,-75.651251,WALMART,2021-05-01,large
Ottawa Billings Bridge,2277 Riverside Dr,"Ottawa, ON, K1H 7X6",613-737-6897,45.384757,-75.679865,WALMART,2021-05-01,large
Gloucester City Centre Store,1980 Ogilvie Rd,"Gloucester, ON, K1J 9L3",613-842-0111,45.43177,-75.610321,WALMART,2021-05-01,large
Ottawa Baseline Supercentre,1375 Baseline Rd,"Ottawa, ON, K2C 3G1",613-224-2664,45.363806,-75.737554,WALMART,2021-05-01,large
Ottawa Supercentre,2210 Bank St,"Ottawa, ON, K1V 1J5",613-247-1184,45.355491,-75.654259,WALMART,2021-05-01,large
Ottawa West Store,100 Bayshore Dr,"Ottawa, ON, K2B 8C1",613-828-5482,45.347884,-75.807461,WALMART,2021-05-01,large
Orleans Supercentre,3900 Innes Rd,"Orleans, ON, K1W 1K9",613-837-9399,45.452382,-75.507931,WALMART,2021-05-01,large
Barrhaven Supercentre,3651 Strandherd Dr,"Barrhaven, ON, K2J 4G8",613-823-8714,45.271118,-75.741444,WALMART,2021-05-01,large
Kanata Store,500 Earl Grey Dr,"Kanata, ON, K2T 1B6",613-599-6765,45.310865,-75.913884,WALMART,2021-05-01,large
Kanata South Supercentre,5357 Fernbank Rd,"Stittsville, ON, K2S 0T7",613-831-2636,45.274329,-75.872296,WALMART,2021-05-01,large
Rockland Supercentre,3001 Richelieu St,"Rockland, ON, K4K 0B5",613-446-5730,45.53257,-75.306828,WALMART,2021-05-01,large
Kemptville Supercentre,340 Colonnade Dr,"Kemptville, ON, K0G 1J0",613-258-6295,45.028284,-75.629408,WALMART,2021-05-01,large
Carleton Place Supercentre,450 Mcneely Ave,"Carleton Place, ON, K7C 0A6",613-253-1319,45.134036,-76.124826,WALMART,2021-05-01,large
Smiths Falls Supercentre,114 Lombard St,"Smiths Falls, ON, K7A 5B8",613-284-0838,44.892097,-76.030459,WALMART,2021-05-01,large
Renfrew Supercentre,980 O'brien Rd,"Renfrew, ON, K7V 0B4",613-432-4676,45.4846,-76.7096,WALMART,2021-05-01,large
"South Kanata, Ottawa, ON (Colleague Testing)",760 Eagleson Rd,"Kanata, Ontario, K2M 0A7",6135925701,45.282909,-75.866059,REAL CANADIAN SUPERSTORE,2021-05-01,large
South Kanata,760 Eagleson Rd,"Kanata, Ontario, K2M 0A7",6135925701,45.282945,-75.866724,REAL CANADIAN SUPERSTORE,2021-05-01,large
Brockville,1972 Parkedale Ave,"Brockville, Ontario, K6V 7N4",6134989889,44.614024,-75.688765,REAL CANADIAN SUPERSTORE,2021-05-01,large
"Westboro, Ottawa, ON (Colleague Testing)",190 Richmond Rd,"Ottawa, Ontario, K1Z 6W6",6137229635,45.394305,-75.747729,REAL CANADIAN SUPERSTORE,2021-05-01,large
Westboro,190 Richmond Rd,"Ottawa, Ontario, K1Z 6W6",6137229635,45.394265,-75.747343,REAL CANADIAN SUPERSTORE,2021-05-01,large
"Innes Road, Ottawa, ON (Colleague Testing)",4270 Innes Rd,"Ottawa, Ontario, K4A 5E6",6138377887,45.456634,-75.495482,REAL CANADIAN SUPERSTORE,2021-05-01,large
South Orleans,4270 Innes Rd,"Ottawa, Ontario, K4A 5E6",6138377887,45.457124,-75.495225,REAL CANADIAN SUPERSTORE,2021-05-01,large
"Brockville, ON (Colleague Testing)",1972 Parkedale Ave,"Brockville, Ontario, K6V 7N4",6134989889,44.613905,-75.68912,REAL CANADIAN SUPERSTORE,2021-05-01,large
NA,3049 Jefferson Dr Brockville K6V6N7,NA,613-345-0272,44.599033,-75.7040659,FOOD BASICS,2021-05-01,large
NA,150 Katimavik Road Kanata K2L 2N2,NA,613-592-2942,45.3124188,-75.8958402,FOOD BASICS,2021-05-01,large
NA,"2615 Highway #43, R.R. #5 Kemptville K0G 1J0",NA,613-258-1266,45.0199425,-75.65948999999999,FOOD BASICS,2021-05-01,large
NA,3712 Innes Road Orleans K1W 0C8,NA,613-837-0650,45.4501454,-75.5174796,FOOD BASICS,2021-05-01,large
NA,667 Kirkwood Avenue Ottawa K1Z 8N7,NA,613-722-7412,45.3863658,-75.7388344,FOOD BASICS,2021-05-01,large
NA,1670 Heron Road Ottawa K1V 0C2,NA,613-731-0066,45.37920829999999,-75.644858,FOOD BASICS,2021-05-01,large
NA,"1021 Cyrville Road, Unit 1 Ottawa K1J 7S3",NA,613-842-4445,45.42578750000001,-75.6359037,FOOD BASICS,2021-05-01,large
NA,900 Greenbank Road Ottawa K2J 1S8,NA,613-823-4458,45.2847264,-75.7564617,FOOD BASICS,2021-05-01,large
NA,"1465 Merivale Road, Unit 13 Ottawa K2E 5N9",NA,613-224-1544,45.3609612,-75.7340239,FOOD BASICS,2021-05-01,large
NA,9030 County Road 17 Rockland K4K 1V5,NA,613-446-2825,45.5481786,-75.301749,FOOD BASICS,2021-05-01,large
NA,5703 Hazeldean Road Stittsville K2S 0P6,NA,613-831-3394,45.2852452,-75.9135878,FOOD BASICS,2021-05-01,large
Sobeys Orleans,2276 - Tenth Line Road,"Orleans, on, K4A 0X4",613-590-9179,45.45176,-75.48502,SOBEY'S,2021-05-01,large
Sobeys Trim and Innes,5150 Innes Road,"Orleans, on, K4A 0G4",613-590-2205,45.46942,-75.45648,SOBEY'S,2021-05-01,large
Sobeys Kanata,700 Terry Fox Drive,"Kanata, on, K2L 4H4",613-831-1444,45.292704,-75.895607,SOBEY'S,2021-05-01,large
Sobeys March Road,840 March Road,"Kanata, on, K2W 0C9",613-599-8965,45.356598,-75.93446,SOBEY'S,2021-05-01,large
FreshCo Bank & Findley Creek,4750 Bank Street,"Ottawa, on, K1J 0K8",613-822-4549,45.31869,-75.59575,FRESHCO,2021-05-01,large
FreshCo Carleton Place Lans,110 Lansdowne Avenue,"Carleton Place, on, K7C 2T7",613-253-6141,45.13387,-76.1393,FRESHCO,2021-05-01,large
FreshCo McArthur & LaFontaine,320 McArthur Avenue,"Ottawa, on, K1L 5G2",613-744-4343,45.43002,-75.65384,FRESHCO,2021-05-01,large
FreshCo Robertson & Moodie,2150 Robertson Road,"Nepean, on, K2H 9S1",613-726-8038,45.31919,-75.83553,FRESHCO,2021-05-01,large
FreshCo Strandherd & Crestha,"2480 Strandherd Dr., Building A","Ottawa, on, K2G 4S4",613-823-7269,45.27412,-75.70968,FRESHCO,2021-05-01,large
FreshCo Merivale & Meadowla,"1595 Merivale Road, Unit # 5","Ottawa, on, K2G 3J4",613-226-1651,45.35288,-75.73224,FRESHCO,2021-05-01,large
Foodland Greely,1349 Meadow Drive,"Greely, on, K4P 1N3",613-821-3016,45.265635,-75.563013,FOODLAND,2021-05-01,large
Foodland Osgoode,5669 Main Street,"Osgoode, on, K0A 2W0",613-826-2282,45.14989,-75.60212,FOODLAND,2021-05-01,large
Foodland Iroquois,37 Plaza Drive,"Iroquois, on, K0E 1K0",613-652-4814,44.84904,-75.3161,FOODLAND,2021-05-01,large
Foodland Ingleside,11 Thorold Lane,"Ingleside, on, K0C 1M0",613-537-2049,44.99745,-74.98971,FOODLAND,2021-05-01,large
Foodland Greely,101-6045 Bank Street,"Greely, on, K4P 0G5",613-821-3016,45.263939,-75.553599,FOODLAND,2021-05-01,large
Foodland Winchester,12015 Main Street West,"Winchester, on, K0C 2K0",613-774-1958,45.0877,-75.37288,FOODLAND,2021-05-01,large
Foodland Russell,148 Craig Street,"Russell, on, K4R 1A1",613-445-0468,45.25696,-75.37441,FOODLAND,2021-05-01,large
Foodland Greely,101-6045 Bank Street,"Greely, on, K4P 0G5",613-821-3016,45.26334,-75.55429,FOODLAND,2021-05-01,large
Jack & Faith's NOFRILLS Arnprior,39 Winner's Circle Dr Rr 3,"Arnprior, Ontario, K7S 3G9",NA,45.421907,-76.369324,NO FRILLS,2021-05-01,large
Chris & Tanya’s NOFRILLS Renfrew,680 O'Brien Rd,"Renfrew, Ontario, K7V 3Z4",18442958219,45.476501,-76.66007,NO FRILLS,2021-05-01,large
Brandon & Megan's No Frills (Colleague Testing),30 Iber Road,"Stittsville, Ontario, K2S 2R1",NA,45.280904,-75.912797,NO FRILLS,2021-05-01,large
Sterling's NOFRILLS Renfrew,680 O'Brien Rd,"Renfrew, Ontario, K7V 3Z4",18442958219,45.476501,-76.66007,NO FRILLS,2021-05-01,large
"1226 Place d'Orleans Dr., Ottawa",1226 Place d'Orleans Dr.,"Ottawa, Ontario, K1C 7K3",NA,45.476686,-75.522756,NO FRILLS,2021-05-01,large
Daniel's NOFRILLS Casselman,726 Principale St Rr 3,"Casselman, Ontario, K0A 1M0",NA,45.313438,-75.086489,NO FRILLS,2021-05-01,large
Brandon & Megan's NOFRILLS (Colleague Testing),1226 Place D'Orleans Dr,"Ottawa, Ontario, K1C 7K3",8002962332,45.476686,-75.522756,NO FRILLS,2021-05-01,large
Mark's NOFRILLS Arnprior,39 Winner's Circle Dr Rr 3,"Arnprior, Ontario, K7S 3G9",NA,45.421563,-76.369423,NO FRILLS,2021-05-01,large
Sterling's NOFRILLS Renfrew (Colleague Testing),680 O'Brien Rd,"Renfrew, Ontario, K7V 3Z4",8002962332,45.4765055,-76.6622594,NO FRILLS,2021-05-01,large
"Brandon & Megan's NOFRILLS - Ends July 25, 2020",1226 Place D'Orleans Dr,"Ottawa, Ontario, K1C 7K3",18442958219,45.476991,-75.520017,NO FRILLS,2021-05-01,large
Chris & Tanya’s NOFRILLS Renfrew (Colleague Testing),680 O'Brien Rd,"Renfrew, Ontario, K7V 3Z4",18442958219,45.476501,-76.66007,NO FRILLS,2021-05-01,large
Brandon & Megan's NOFRILLS Stittsville,30 Iber Rd,"Stittsville, Ontario, K2S 2R1",18442958219,45.281055,-75.910072,NO FRILLS,2021-05-01,large
Mark's NOFRILLS Arnprior (Colleague Testing),39 Winner's Circle Dr Rr 3,"Arnprior, Ontario, K7S 3G9",NA,45.421563,-76.369423,NO FRILLS,2021-05-01,large
Joe & Lily's No Frills,1226 Place D'Orleans Dr,"Ottawa, Ontario, K1C 7K3",18442958219,45.476991,-75.520017,NO FRILLS,2021-05-01,large
Ottawa Store,"224 Hunt Club Road  Ottawa, ON. K1V 1C1",NA,613-731-8113,45.3339133,-75.6905898,T&T,2021-05-01,large
Lansdowne Park,951 Bank St,"Ottawa, ON K1S 3W7",(613) 565-7150,45.39930330800007,-75.68596079499997,Whole Foods Market,2021-05-14,large
NA,"3033 Woodroffe Avenue
","Ottawa, ON
K2G 6H2",613-823-8835,45.288468255000055,-75.72440586499994,Farm Boy,2021-05-14,large
NA,"2950 Bank Street
","Ottawa ON
K1T 1N8",613-260-7330,45.346069697000075,-75.62625940799995,Farm Boy,2021-05-14,large
NA,"1500 Bank St.
","Ottawa, ON
K1H 7Z1",613-739-7199,45.380945868000026,-75.67010168099995,Farm Boy,2021-05-14,large
NA,"1495 Richmond Road
","Ottawa, ON
K2B 6R9",613-688-2882,45.36296767600004,-75.79098620099995,Farm Boy,2021-05-14,large
NA,"585 Montreal Road
","Ottawa, ON
K1K 4K3",613-744-3463,45.44270963800005,-75.64447540799995,Farm Boy,2021-05-14,large
NA,"457 Hazeldean Road
","Ottawa, ON
K2L 1V1",613-836-8085,45.30008008500005,-75.88621156099998,Farm Boy,2021-05-14,large
NA,"499 Terry Fox Drive
","Ottawa, ON
K2T 1H7",613-271-8727,45.31007508700003,-75.92214241199997,Farm Boy,2021-05-14,large
NA,"193 Metcalfe Street
","Ottawa, ON
K2P 0S5",613-598-0257,45.41888821500004,-75.69320164899995,Farm Boy,2021-05-14,large
NA,"1642 Merivale Road
","Ottawa, ON
K2G 4A1",613-228-7417,45.34529598700004,-75.73150069299999,Farm Boy,2021-05-14,large
NA,"3035 St. Joseph Boulevard
","Ottawa, ON
K1E 1E1",613-590-1830,45.47773410100007,-75.51327685599995,Farm Boy,2021-05-14,large
NA,"2030 Tenth Line Road
","Ottawa, ON
K4A 4X4",613-841-4221,45.45973535600007,-75.48826728399996,Farm Boy,2021-05-14,large
NA,"50 Rideau Street
","Ottawa, ON
K1N 9J7",613-244-1033,45.42571081400007,-75.69199548799998,Farm Boy,2021-05-14,large
NA,"1250 Stittsville Main St.
","Ottawa, ON
K2S 1S9",613-836-4594,45.268400919000044,-75.93116173999994,Farm Boy,2021-05-14,large
NA,"830 Belfast Rd
","Ottawa Train Yards
830 Belfast Rd
Ottawa, ON
K1G 0Z4",613-288-0616,45.41367831600007,-75.64620646699996,Farm Boy,2021-05-14,large
NA,"317 McRae Avenue
","Ottawa, ON
K1Z 8P4",613-722-7300,45.396026437000046,-75.74964055099997,Farm Boy,2021-05-14,large
"Delis, Sandwiches, Grocery",114 Preston St,,(613) 233-1972,45.40855589600005,-75.71470521899994,Luciano Foods,2021-07-06,small
"Kitchen Supplies, Grocery",244 Elgin Street,,(613) 565-1212,45.418221638000034,-75.69096712099997,Pot & Pantry,2021-07-06,small
International Grocery,1731 St Laurent Boulevard,,(613) 618-7239,45.406123953000076,-75.62555153199997,Bienvenidos,2021-07-06,small
