name,address,note,category
Dunn’s Famous Deli,"355 Dalhousie Street, Ottawa, ON K1N","Delis, Diners",deli meat cheese
Sherwood Supermarket,"111 Sherwood Drive, Ottawa, ON K1Y 3V1","Grocery, Delis",deli meat cheese
Polka Delicatessen,"1576 Walkley Road, Ottawa, ON K1V 6P5",Specialty Food,deli meat cheese
Upper Crust,"267 O'Connor Street, Ottawa, ON K2P 1V3","Delis, Sandwiches, Breakfast &amp; Brunch",deli meat cheese
Casa Nicastro Delicatessen,"304 Preston St, Ottawa, ON K1R 7R6","Delis, Sandwiches, Specialty Food",deli meat cheese
Ottawa Bagelshop &amp; Deli,"1321 Wellington St W, Ottawa, ON K1Y 3B6","Delis, Bagels",deli meat cheese
Dumouchel Meat &amp; Deli,"351 Donald Street, Ottawa, ON K1K 1M4","Butcher, Meat Shops, Delis",deli meat cheese
Saslove’s Meat Market,"50 Byward Market Sq, Ottawa, ON K1N 7A2","Specialty Food, Butcher",deli meat cheese
Marché Hintonburg Market,"1059 Wellington Street, Ottawa, ON K1Y 2Y1","Butcher, Cheese Shops, Grocery",deli meat cheese
Art Is In Bakery,"250 City Centre Avenue, Ottawa, ON K1R 1C7","Bakeries, Sandwiches",deli meat cheese
Il Negozio Nicastro,"1355 Wellington Street W, Ottawa, ON K1Y 3C2","Delis, Sandwiches, Italian",deli meat cheese
Capital Diner,"164 Laurier Avenue W, Ottawa, ON K1P 5J4","Diners, Breakfast &amp; Brunch, Sandwiches",deli meat cheese
Lunch,"121 Bank Street, Ottawa, ON K1P 5N5",Sandwiches,deli meat cheese
Casa Dei Panini,"52 Antares Drive, Ottawa, ON K2E 7Z1","Sandwiches, Italian, Breakfast &amp; Brunch",deli meat cheese
Kettlemans Bagel,"912 Bank Street, Ottawa, ON K1S 3W4",Bagels,deli meat cheese
Chuck’s Deli &amp; Convenience,"100 Trainyards Drive, Ottawa, ON K1G 3S5","Convenience Stores, Delis",deli meat cheese
La Maison Bisson,"2 Boulevard Louise-Champagna, Gatineau, QC J9A 2X1","Delicatessen, Meat Shops",deli meat cheese
Mid-East Food Centre,"1010 Belfast Road, Ottawa, ON K1G 4A2",Grocery,deli meat cheese
LITTLE ITALY FINE FOODS,"178 MAIN ST, Ottawa, ON K1S 1C2","Delis, Desserts, Coffee &amp; Tea",deli meat cheese
3 Sisters Bakeshop,"2211 Arch Street, Ottawa, ON K1G","Cafes, Bakeries, Sandwiches",deli meat cheese
Marcello’s,"407 Laurier Avenue W, Ottawa, ON K1R 7Y7","Buffets, Delis",deli meat cheese
Arlington Five,"5 Arlington Avenue, Ottawa, ON K2P 1C1","Coffee &amp; Tea, Sandwiches",deli meat cheese
Pelican Seafood Market &amp; Grill,"1500 Bank Street, Ottawa, ON K1H 7Z2","Seafood, Seafood Markets",deli meat cheese
Herb &amp; Spice Shop,"375 Bank Street, Ottawa, ON K2P 1Y2","Health Food Store, Herbs &amp; Spices, Cosmetics &amp; Beauty Supply",deli meat cheese
Benny’s All day Resto Bar,"2370 Laurier Street, Clarence-Rockland, ON K4K 1L5","American (Traditional), Delis, Pizza",deli meat cheese
Olga’s Delights,"588 Bank Street, Ottawa, ON K1S 3T3","Sandwiches, Delis",deli meat cheese
Adams Sausages,"1437 Michael Street, Ottawa, ON K1B 4S1","Butcher, Meat Shops, Imported Food",deli meat cheese
Pesto’s Italian Delicatessen,"471 Hazeldean Road, Kanata, ON K2L 4B8","Delis, Sandwiches, Italian",deli meat cheese
La p’tite épicerie,"158 rue Notre Dame de l'Ile, Gatineau, QC J8X 3T3",Sandwiches,deli meat cheese
Nate’e Deli Express,"6 Antares Drive, Ottawa, ON K2E 8A9","Breakfast &amp; Brunch, Delis",deli meat cheese
Sanguiccio,"183 Preston Street, Ottawa, ON K1R 7P8","Sandwiches, Imported Food",deli meat cheese
Vie Bella Market and Deli,"87 Sparks St, Ottawa, ON K1P 1A2",Delis,deli meat cheese
Brookfield Restaurant &amp; Catering,"704 Brookfield Road, Ottawa, ON K1V 6J4","Breakfast &amp; Brunch, Delis, Lebanese",deli meat cheese
The Chopped Leaf,"140 Trainyards Dr, Ottawa, ON K1G 3S2","Salad, Soup",deli meat cheese
Druxy’s Famous Deli Sandwiches,"100 Metcalfe St, Ottawa, ON K1P 5M1","Delis, Sandwiches",deli meat cheese
Budapest Delicatessen,"54 Byward Market Sq, Ottawa, ON K1N 7A2","Delis, Sandwiches",deli meat cheese
Harry Deli,"320 Queen Street, Ottawa, ON K1R 5A3","Delis, Sandwiches",deli meat cheese
Stacked Smoked Meat,"2679 Bank Street, Ottawa, ON K1T 1N1","Delis, Diners, Sandwiches",deli meat cheese
Marcello’s Catering,"333 Preston St, Ottawa, ON K1S 5N4",Caterers,deli meat cheese
Kaz’s Kitchen &amp; Grocery,"207 Guigues Ave, Ottawa, ON K1N 5J3",Grocery,deli meat cheese
Free Range Meat &amp; Deli,"194 Robertson Rd, Ottawa, ON K2H 9J5","Delicatessen, Meat Shops",deli meat cheese
International Cheese &amp; Deli,"40 ByWard Market Sq, Ottawa, ON K1N 7A2","Caterers, Cheese Shops",deli meat cheese
Black Forest Deli &amp; Cheese,"1500 Bank St, Ottawa, ON K1H 7Z2","Delis, Specialty Food",deli meat cheese
Firehouse Subs,"2014 Ogilvie Rd., Gloucester, ON K1J 7N9","Sandwiches, Fast Food, Delis",deli meat cheese
Grill Master Restaurant &amp; Catering,"30 Colonnade Rd, Ottawa, ON K2E 7J6","Caterers, Restaurants",deli meat cheese
WFM Coffee Bar,"951 Bank St, Ottawa, ON K1S 3W7","Organic Stores, Grocery, Juice Bars &amp; Smoothies",deli meat cheese
Pete &amp; Gus Meat Market,"1 Jockvale Rd, Ottawa, ON K2J 4J9",Meat Shops,deli meat cheese
Charlies Groceteria,"220 Carruthers Avenue, Ottawa, ON K1Y 1N9","Grocery, Delis, Laundromat",deli meat cheese
Marcello’s Market &amp; Deli,"99 Bank St, Ottawa, ON K1P 6B9","Delis, Sandwiches",deli meat cheese
Bobbie’s Pizza &amp; Subs,"1443 Ogilvie Road, Gloucester, ON K1J 7P3","Sandwiches, Italian, Pizza",deli meat cheese
Le Muffin Plus,"111 Albert St, Ottawa, ON K1P 5K9",Delis,deli meat cheese
Thyme &amp; Again,"1255 Wellington St W, Ottawa, ON K1Y 3A6","Caterers, Specialty Food, Desserts",deli meat cheese
North &amp; Navy,"226 Nepean Street, Ottawa, ON K2P 0B8","Italian, Wine Bars, Seafood",deli meat cheese
Mamma Teresa Ristorante,"300 Somerset St W, Ottawa, ON K2P 0J6",Italian,deli meat cheese
United Kosher Deli &amp; Catering,"21 Nadolny Sachs Private, Ottawa, ON K2A 2E1","Specialty Food, Caterers",deli meat cheese
Parma Ravioli,"1314 Wellington St W, Ottawa, ON K1Y 3B2",Italian,deli meat cheese
Arturo’s Ristorante,"94 Beechwood Ave, Ottawa, ON K1M 1L9","Pizza, Italian",deli meat cheese
Bigg’s Deli &amp; Bar,"1099 St Laurent Boulevard, Ottawa, ON K1K 3B1","Delis, Sandwiches",deli meat cheese
Marcello’s Marche Et Deli,"25 Rue Eddy, Gatineau, QC J8X 4B5",Caterers,deli meat cheese
Dunn’s Famous Deli,"203 Queen St, Ottawa, ON K1P 5C9","Delis, Sandwiches",deli meat cheese
Johnny Farina Restaurant,"216 Elgin Street, Ottawa, ON K2P 1L7","Italian, Pizza, Delis",deli meat cheese
The Hill Bakehouse And Deli,"35 2339 Ogilvie Road, Ottawa, ON K1J 8M6",Delis,deli meat cheese
Wakefield General Store Genl Str,"802 Ch Riverside RR 2, Wakefield, QC J0X 3G0",Grocery,deli meat cheese
Le Deli,"200 Promenade Du Portage, Gatineau, QC J8X 4H4","Sandwiches, Delis",deli meat cheese
Prodeli,"215 Rue Bellehumeur, Gatineau, QC J8T 8H3","Delis, Sandwiches, Specialty Food",deli meat cheese
Nickels Deli Grillade,"78 Greber Blvd, Gatineau, QC J8T 3P8","Delis, Sandwiches",deli meat cheese
Centrepointe Cafe &amp; Deli,"117 Centrepointe Drive, Nepean, ON K2G 5X3","Delis, Cafes",deli meat cheese
Bell Pastry &amp; Deli Place Du Portage,"50 Rue Victoria, Gatineau, QC J8X 3X1",Caterers,deli meat cheese
Marcello’s Market &amp; Deli,"181 Bank St, Ottawa, ON K2P 1W5","Delis, Sandwiches",deli meat cheese
Chenoy’s,"120 Blvd De L'hopital, Gatineau, QC J8T 8M2",Specialty Food,deli meat cheese
Centrale Bergham,"2208 St Joseph Boulevard, Ottawa, ON K1C 1E8","Burgers, Sandwiches, Halal",deli meat cheese
La Station,"611 Boulevard Saint Joseph, Gatineau, QC J8Y 4A6","Sandwiches, Burgers, Pizza",deli meat cheese
Il Perugino Caffe &amp; Bar,"277 Dalhousie St, Ottawa, ON K1N 7E5","Cafes, Italian",deli meat cheese
Hasty Market,"1234 Merivale Rd, Ottawa, ON K2C 4C3",Convenience Stores,deli meat cheese
Misto Fine Food Emporium,"1387 Carling Avenue, Ottawa, ON K1Z 7L6","Delis, Italian",deli meat cheese
Steele’s Restaurant,"1900 Merivale Rd, Ottawa, ON K2G 4N4","Sandwiches, Breakfast &amp; Brunch, Burgers",deli meat cheese
Deli Du Marche,"320 Saint-Joseph Blvd, Gatineau, QC J8Y 3Y8","Delis, Sandwiches",deli meat cheese
Farm Boy,"1642 Merivale Road, Ottawa, ON K2G 4A1",Grocery,deli meat cheese
The House of Cheese,"34 Byward Market Sq, Ottawa, ON K1N 7A2",Cheese Shops,deli meat cheese
Jacob’s Deli,"75 Albert St, Ottawa, ON K1P 5E7","Delis, Sandwiches",deli meat cheese
Farm Boy,"499 Terry Fox Drive, Ottawa, ON K2T 1H7",Grocery,deli meat cheese
Extreme Pita,"1125 Colonel By Dr, Ottawa, ON K1S 5B6",Sandwiches,deli meat cheese
Firehouse Subs,"280 West Hunt Club Rd, Nepean, ON K2E 0B7","Sandwiches, Delis, Fast Food",deli meat cheese
Rock’N Deli,"1100 Boulevard Maloney, Gatineau, QC J8T 6G3","Salad, Sandwiches",deli meat cheese
IGA Extra,"203 Boulevard des Grive, Gatineau, QC J9A 0C7",Grocery,deli meat cheese
Lunch,"60 A Lebreton Street, Ottawa, ON K1R 7H3",Delis,deli meat cheese
Firehouse Subs,"3838 Innes Rd, Ottawa, ON K1W 1K9","Fast Food, Delis, Sandwiches",deli meat cheese
Canal Ritz Restaurant,"375 Queen Elizabeth Drive, Ottawa, ON K1S 5M5","Italian, Canadian (New)",deli meat cheese
Deli Kat Cafe,"277 Sparks St, Ottawa, ON K1R 7X9",Delis,deli meat cheese
Marcello’s Deli &amp; Market,"240 Sparks St, Ottawa, ON K1P 6C9","Delis, Sandwiches",deli meat cheese
Ladles Deli,"2323 Riverside Dr, Ottawa, ON K1H 8L5","Delis, Sandwiches",deli meat cheese
Monty’s Deli,"78 Hinton Ave N, Ottawa, ON K1Y 0Z8","Delis, Sandwiches",deli meat cheese
Encore Deli-cious Sandwiches,"58 Antares Dr, Ottawa, ON K2E 7W6",Delis,deli meat cheese
Yorgo’s,"1356 Clyde Aveune, Ottawa, ON K2C 3Z4","Greek, Salad, Pizza",deli meat cheese
Le Smoked Meat a Bonnie,"137, Rue Principale, Aylmer, QC J9H 3M7",Delis,deli meat cheese
Lacomca International Deli,"1127 Baxter Rd, Ottawa, ON K2C 3R4","Delis, Sandwiches",deli meat cheese
Marcello’s Marche Et Deli,"1 Promenade Du Portage, Gatineau, QC J8X 4B1","Delis, Sandwiches",deli meat cheese
Farm Boy,"457 Hazeldean Road, Kanata, ON K2L 1V1",Grocery,deli meat cheese
Thomas Lunch Box Delhi &amp; Candy,"1129 Baxter Rd, Ottawa, ON K2C 3R4","Delis, Sandwiches",deli meat cheese
Firehouse Subs,"41 Marketplace Ave, Nepean, ON K2J 5G4","Sandwiches, Fast Food, Delis",deli meat cheese
Via Slack Coffee,"1950 Merivale Road, Ottawa, ON K2G 5T5","Coffee &amp; Tea, Patisserie/Cake Shop, Delis",deli meat cheese
Deli Express,"177 Saint-Joseph Blvd, Gatineau, QC J8Y 3X1","Delis, Sandwiches",deli meat cheese
Silver Platter Catering,"500 Palladium Drive, Kanata, ON K2V 1C2",Caterers,deli meat cheese
Deli Du Marche,"425 La Verendrye Blvd E, Gatineau, QC J8R 2W8",Delis,deli meat cheese
Deli Nicolas,"1100 Maloney Blvd W, Gatineau, QC J8T 6G3","Delis, Sandwiches",deli meat cheese
Pinecrest Deli,"2831 Dumaurier Ave, Ottawa, ON K2B 7W3","Delis, Sandwiches",deli meat cheese
Mama Rosa,"375 Des Epinettes Avenue, Orléans, ON K1E 3E6","Pizza, Italian",deli meat cheese
Aramark,"285 Coventry Road, Ottawa, ON K1K 4G5",Delis,deli meat cheese
Moncion’s Your Independant Grocer,"671 River Road, Gloucester, ON K1V 2G2","Grocery, Pharmacy",deli meat cheese
Maison,"4750 Bank Street, Ottawa, ON K1T 3W7","Grocery, Bakeries, Delis",deli meat cheese
Serious Cheese,"442 Hazeldean Road, Kanata, ON K2L 1V2",Cheese Shops,deli meat cheese
La Trappe à Fromage,"425 Chemin Vanier, Gatineau, QC J9J 3H9","Cheese Shops, Delicatessen, Meat Shops",deli meat cheese
La Trappe à Fromage,"574 Boulevard Maloney Est, Gatineau, QC J8P 1G1",Cheese Shops,deli meat cheese
ByWard Fruit Market,"36 ByWard Market Sq, Ottawa, ON K1N 7A2","Fruits &amp; Veggies, Farmers' Market",deli meat cheese
La Trappe à Fromage,"114 Boulevard Saint-Raymond, Gatineau, QC J8Y 1S9",Cheese Shops,deli meat cheese
La Trappe à Fromage,"200 Rue Bellehumeur, Gatineau, QC J8T 8N6","Cheese Shops, Delicatessen",deli meat cheese
